分类,相对路径,用途,数据行数,字段数,字节数,SHA256,实际读取或生成
实际读取原始表,01_实际读取原始表/olist_orders_dataset.csv,订单状态与购买履约时间,99441,8,17654914,8df58ef3d2d7e9944010f7beecd9b75367f5588ec6e3c91cec19ae3345ef9ecf,是
实际读取原始表,01_实际读取原始表/olist_order_items_dataset.csv,卖家商品明细价格运费与GMV,112650,7,15438671,0bc4d068c4fe38cbb01bd90e8746e3c613fe7b4baef75fab7b0e329701c3e279,是
实际读取原始表,01_实际读取原始表/olist_order_payments_dataset.csv,支付方式金额分期与支付序列,103886,5,5777138,4f713964f2815dbbaa40b9488268c55aac3627bfce5aa96cf58d1f3616de3cc0,是
实际读取原始表,01_实际读取原始表/olist_order_reviews_dataset.csv,订单评价得分,99224,7,14451670,012b61c7593e34f51fa614efdf802b9c7056ce6aae5307ddb93236e7cfc797d7,是
实际读取原始表,01_实际读取原始表/olist_products_dataset.csv,商品品类尺寸重量图片与文本长度,32951,9,2379446,3e6569628a17fbc75fd206ee357b59e20364b9afa90f5b6cd5b4d624c58aa9cc,是
实际读取原始表,01_实际读取原始表/olist_sellers_dataset.csv,卖家邮编城市与州,3095,4,174703,1f643d2b950373b85735e7794b20986f528d7a000432e7c6f9bcbb44d0846a0e,是
实际读取原始表,01_实际读取原始表/olist_customers_dataset.csv,订单顾客与跨订单唯一顾客标识,99441,5,9033957,983a422239e1712ded753b3bf9ecf47dc73f144d306029dcfa99e70a226883d2,是
实际读取原始表,01_实际读取原始表/olist_geolocation_dataset.csv,邮编前缀经纬度与地理信息,1000163,5,61273883,b514f6fc991b9566aeba02aa5d67e2c3630f034b60a0e05aa0d082a3b66d88d6,是
实际读取原始表,01_实际读取原始表/olist_marketing_qualified_leads_dataset.csv,营销线索来源,8000,4,703836,5537753b7549ce4068e52e2402c29f2773c5375fc0575520ae8f3f301f666573,是
实际读取原始表,01_实际读取原始表/olist_closed_deals_dataset.csv,营销成交卖家与申报信息,842,14,171352,1433f402d8fff00ca167579de641d9525f6e846368958c166f699ef1b0c31f3d,是
辅助文件,02_辅助文件_未参与建模/product_category_name_translation.csv,葡萄牙语与英语品类名称映射,71,2,2613,a81f0d1f27b27e7293f761bc79e3ce8f348ee39c4b3ed3e49bde38f478586278,否
最终建模面板,03_最终建模面板/seller_month_panel.csv,V1-V4卖家月度主分析面板,14677,43,5972833,7212bf462a8b23ba6455bed5fe7354481b43d3e3a0f633a13ced1a97c3046a1e,生成
最终建模面板,03_最终建模面板/seller_week_panel.csv,V5卖家周度稳健性面板,33190,43,12343606,bef6bd6f902d076de1e3dcda5234acf02163ba8d650e34c43b2d7972b22a48ff,生成
