method,fraction,group,run,half,J,set,native_size
xgb_sko_ridge,0.5,0,half_00_A,A,0.4117647058823529,"[0, 22, 18, 26, 16, 20, 7, 25, 27, 3, 24, 12]",0.0
xgb_sko_quad,0.5,0,half_00_A,A,0.5,"[0, 16, 17, 18, 26, 2, 22, 24, 1, 20, 3, 23]",0.0
xgb_sko_scale,0.5,0,half_00_A,A,0.2631578947368421,"[0, 18, 20, 26, 22, 17, 16, 7, 25, 3, 1, 23]",0.0
xgb_sko_quad_scale,0.5,0,half_00_A,A,0.6,"[0, 17, 16, 18, 2, 26, 1, 25, 22, 23, 3, 24]",0.0
tabm_sko_ridge,0.5,0,half_00_A,A,0.5,"[0, 18, 26, 22, 27, 20, 28, 17, 2, 25, 6, 1]",0.0
tabm_sko_quad,0.5,0,half_00_A,A,0.6,"[0, 16, 18, 2, 27, 26, 22, 20, 1, 3, 6, 28]",5.0
tabm_sko_scale,0.5,0,half_00_A,A,0.4117647058823529,"[0, 19, 18, 17, 16, 26, 22, 20, 25, 6, 1, 28]",0.0
tabm_sko_quad_scale,0.5,0,half_00_A,A,0.4117647058823529,"[0, 16, 18, 2, 19, 26, 27, 1, 6, 3, 17, 22]",11.0
xgb_sko_ridge,0.5,0,half_00_B,B,0.3333333333333333,"[0, 21, 25, 28, 18, 23, 27, 6, 8, 20, 5, 26]",0.0
xgb_sko_quad,0.5,0,half_00_B,B,0.3333333333333333,"[0, 15, 23, 17, 21, 25, 9, 18, 8, 6, 5, 3]",5.0
xgb_sko_scale,0.5,0,half_00_B,B,0.4117647058823529,"[0, 25, 17, 15, 21, 23, 8, 28, 7, 27, 6, 16]",0.0
xgb_sko_quad_scale,0.5,0,half_00_B,B,0.5,"[0, 17, 23, 25, 7, 21, 15, 24, 2, 9, 8, 26]",0.0
tabm_sko_ridge,0.5,0,half_00_B,B,0.3333333333333333,"[0, 16, 19, 25, 7, 22, 10, 6, 5, 3, 8, 20]",0.0
tabm_sko_quad,0.5,0,half_00_B,B,0.3333333333333333,"[0, 16, 19, 15, 7, 25, 18, 22, 10, 3, 5, 24]",0.0
tabm_sko_scale,0.5,0,half_00_B,B,0.3333333333333333,"[0, 16, 19, 25, 15, 7, 27, 22, 10, 20, 8, 24]",7.0
tabm_sko_quad_scale,0.5,0,half_00_B,B,0.4117647058823529,"[0, 16, 19, 15, 7, 25, 18, 24, 28, 22, 3, 8]",6.0
xgb_sko_ridge,0.5,1,half_01_A,A,0.3333333333333333,"[0, 16, 22, 27, 18, 25, 8, 4, 20, 24, 3, 17]",0.0
xgb_sko_quad,0.5,1,half_01_A,A,0.3333333333333333,"[0, 27, 19, 22, 21, 17, 24, 3, 20, 4, 2, 9]",0.0
xgb_sko_scale,0.5,1,half_01_A,A,0.4117647058823529,"[0, 18, 25, 4, 27, 8, 16, 15, 22, 3, 2, 20]",0.0
xgb_sko_quad_scale,0.5,1,half_01_A,A,0.4117647058823529,"[0, 27, 21, 22, 15, 25, 24, 2, 4, 8, 19, 18]",0.0
tabm_sko_ridge,0.5,1,half_01_A,A,0.4117647058823529,"[0, 16, 19, 22, 27, 4, 20, 2, 18, 25, 26, 5]",0.0
tabm_sko_quad,0.5,1,half_01_A,A,0.5,"[0, 16, 19, 15, 27, 22, 20, 4, 2, 3, 26, 18]",5.0
tabm_sko_scale,0.5,1,half_01_A,A,0.6,"[0, 16, 19, 15, 4, 18, 2, 27, 25, 20, 22, 1]",0.0
tabm_sko_quad_scale,0.5,1,half_01_A,A,0.6,"[0, 16, 15, 19, 27, 20, 4, 18, 2, 22, 3, 17]",0.0
xgb_sko_ridge,0.5,1,half_01_B,B,0.4117647058823529,"[0, 16, 21, 25, 19, 23, 8, 22, 3, 5, 27, 20]",0.0
xgb_sko_quad,0.5,1,half_01_B,B,0.2631578947368421,"[0, 16, 17, 15, 27, 19, 8, 3, 24, 25, 4, 5]",20.0
xgb_sko_scale,0.5,1,half_01_B,B,0.4117647058823529,"[0, 16, 21, 22, 15, 25, 8, 27, 4, 20, 5, 3]",0.0
xgb_sko_quad_scale,0.5,1,half_01_B,B,0.3333333333333333,"[0, 16, 19, 15, 17, 25, 3, 8, 4, 23, 7, 6]",0.0
tabm_sko_ridge,0.5,1,half_01_B,B,0.4117647058823529,"[0, 16, 19, 3, 8, 20, 18, 27, 26, 24, 5, 25]",0.0
tabm_sko_quad,0.5,1,half_01_B,B,0.3333333333333333,"[0, 16, 19, 3, 18, 8, 27, 24, 6, 20, 2, 5]",0.0
tabm_sko_scale,0.5,1,half_01_B,B,0.6,"[0, 16, 19, 15, 27, 3, 20, 8, 9, 18, 22, 10]",0.0
tabm_sko_quad_scale,0.5,1,half_01_B,B,0.4117647058823529,"[0, 16, 15, 19, 3, 18, 6, 27, 20, 2, 24, 8]",0.0
xgb_sko_ridge,0.5,2,half_02_A,A,0.6,"[0, 16, 17, 23, 7, 25, 21, 15, 2, 18, 9, 20]",8.0
xgb_sko_quad,0.5,2,half_02_A,A,0.5,"[0, 15, 23, 21, 22, 7, 2, 18, 16, 25, 20, 6]",11.0
xgb_sko_scale,0.5,2,half_02_A,A,0.4117647058823529,"[0, 16, 17, 15, 25, 23, 19, 2, 7, 22, 9, 3]",9.0
xgb_sko_quad_scale,0.5,2,half_02_A,A,0.5,"[0, 15, 18, 16, 22, 2, 7, 19, 21, 3, 23, 25]",10.0
tabm_sko_ridge,0.5,2,half_02_A,A,0.5,"[0, 16, 28, 20, 25, 2, 19, 4, 10, 22, 23, 1]",0.0
tabm_sko_quad,0.5,2,half_02_A,A,0.5,"[0, 15, 16, 19, 2, 28, 18, 20, 4, 8, 23, 10]",6.0
tabm_sko_scale,0.5,2,half_02_A,A,0.5,"[0, 16, 15, 28, 20, 19, 2, 25, 22, 4, 18, 27]",0.0
tabm_sko_quad_scale,0.5,2,half_02_A,A,0.6,"[0, 15, 16, 19, 18, 28, 2, 20, 4, 22, 10, 21]",7.0
xgb_sko_ridge,0.5,2,half_02_B,B,0.4117647058823529,"[0, 25, 16, 22, 7, 23, 27, 8, 5, 1, 26, 20]",5.0
xgb_sko_quad,0.5,2,half_02_B,B,0.2631578947368421,"[0, 22, 23, 21, 7, 16, 5, 20, 17, 27, 19, 3]",5.0
xgb_sko_scale,0.5,2,half_02_B,B,0.4117647058823529,"[0, 25, 22, 16, 20, 1, 27, 7, 8, 15, 5, 26]",0.0
xgb_sko_quad_scale,0.5,2,half_02_B,B,0.4117647058823529,"[0, 22, 23, 16, 19, 7, 21, 2, 20, 5, 24, 27]",6.0
tabm_sko_ridge,0.5,2,half_02_B,B,0.3333333333333333,"[0, 16, 20, 22, 25, 15, 26, 18, 2, 5, 7, 23]",0.0
tabm_sko_quad,0.5,2,half_02_B,B,0.5,"[0, 16, 18, 22, 15, 20, 25, 26, 2, 5, 23, 10]",0.0
tabm_sko_scale,0.5,2,half_02_B,B,0.5,"[0, 16, 15, 25, 20, 7, 22, 2, 5, 26, 18, 23]",6.0
tabm_sko_quad_scale,0.5,2,half_02_B,B,0.3333333333333333,"[0, 16, 15, 18, 25, 5, 2, 22, 7, 27, 19, 26]",0.0
