method,run,group,fraction,half,J,set
lasso_pair_q20,half_00_A,0,0.5,A,0.6,"[20, 0, 25, 16, 23, 27, 26, 2, 22, 17, 6, 11]"
linear_orbit_student,half_00_A,0,0.5,A,0.6,"[0, 16, 2, 25, 20, 21, 22, 27, 13, 26, 23, 10]"
xgb_shap,half_00_A,0,0.5,A,0.7142857142857143,"[21, 0, 23, 16, 24, 19, 20, 15, 18, 2, 25, 28]"
xgb_pfi,half_00_A,0,0.5,A,0.8461538461538461,"[21, 0, 16, 19, 23, 15, 20, 18, 2, 24, 1, 28]"
tabm_pfi,half_00_A,0,0.5,A,0.7142857142857143,"[0, 23, 16, 20, 19, 21, 15, 2, 27, 25, 24, 17]"
deep_lasso,half_00_A,0,0.5,A,0.8461538461538461,"[20, 0, 23, 21, 25, 16, 19, 24, 27, 18, 15, 26]"
xgb_naive,half_00_A,0,0.5,A,0.8461538461538461,"[16, 19, 0, 18, 15, 2, 17, 1, 25, 20, 7, 8]"
xgb_midpoint,half_00_A,0,0.5,A,0.5,"[16, 19, 0, 15, 17, 18, 1, 2, 20, 25, 8, 24]"
xgb_orbit,half_00_A,0,0.5,A,0.6,"[16, 19, 0, 15, 18, 2, 17, 1, 20, 25, 22, 24]"
xgb_orbit_student,half_00_A,0,0.5,A,0.5,"[16, 19, 0, 15, 17, 2, 13, 1, 18, 25, 20, 10]"
tabm_naive,half_00_A,0,0.5,A,0.5,"[16, 0, 15, 19, 18, 20, 2, 27, 1, 22, 25, 5]"
tabm_midpoint,half_00_A,0,0.5,A,0.4117647058823529,"[16, 0, 15, 19, 18, 20, 27, 2, 1, 22, 24, 5]"
tabm_orbit,half_00_A,0,0.5,A,0.4117647058823529,"[16, 0, 15, 19, 18, 20, 27, 2, 1, 22, 24, 5]"
tabm_orbit_student,half_00_A,0,0.5,A,0.5,"[16, 0, 18, 15, 27, 20, 22, 21, 1, 25, 2, 19]"
lasso_pair_q20,half_00_B,0,0.5,B,0.6,"[0, 20, 16, 25, 26, 11, 22, 23, 15, 19, 13, 27]"
linear_orbit_student,half_00_B,0,0.5,B,0.5,"[0, 16, 23, 22, 21, 19, 27, 26, 14, 17, 6, 25]"
xgb_shap,half_00_B,0,0.5,B,0.8461538461538461,"[23, 21, 0, 24, 16, 15, 19, 25, 7, 1, 18, 20]"
