method,run,fraction,size,empty
lasso_pair_q20,half_00_A,0.5,0,True
linear_orbit_student,half_00_A,0.5,0,True
xgb_naive,half_00_A,0.5,0,True
xgb_midpoint,half_00_A,0.5,0,True
xgb_orbit,half_00_A,0.5,0,True
xgb_orbit_student,half_00_A,0.5,0,True
tabm_naive,half_00_A,0.5,0,True
tabm_midpoint,half_00_A,0.5,0,True
tabm_orbit,half_00_A,0.5,0,True
tabm_orbit_student,half_00_A,0.5,0,True
lasso_pair_q20,half_00_B,0.5,0,True
linear_orbit_student,half_00_B,0.5,0,True
xgb_naive,half_00_B,0.5,5,False
xgb_midpoint,half_00_B,0.5,5,False
xgb_orbit,half_00_B,0.5,5,False
xgb_orbit_student,half_00_B,0.5,15,False
tabm_naive,half_00_B,0.5,0,True
tabm_midpoint,half_00_B,0.5,0,True
tabm_orbit,half_00_B,0.5,0,True
tabm_orbit_student,half_00_B,0.5,6,False
lasso_pair_q20,half_01_A,0.5,0,True
linear_orbit_student,half_01_A,0.5,0,True
xgb_naive,half_01_A,0.5,0,True
xgb_midpoint,half_01_A,0.5,0,True
xgb_orbit,half_01_A,0.5,0,True
xgb_orbit_student,half_01_A,0.5,0,True
tabm_naive,half_01_A,0.5,5,False
tabm_midpoint,half_01_A,0.5,5,False
tabm_orbit,half_01_A,0.5,5,False
tabm_orbit_student,half_01_A,0.5,0,True
lasso_pair_q20,half_01_B,0.5,0,True
linear_orbit_student,half_01_B,0.5,0,True
xgb_naive,half_01_B,0.5,0,True
xgb_midpoint,half_01_B,0.5,0,True
xgb_orbit,half_01_B,0.5,0,True
xgb_orbit_student,half_01_B,0.5,0,True
tabm_naive,half_01_B,0.5,0,True
tabm_midpoint,half_01_B,0.5,0,True
tabm_orbit,half_01_B,0.5,0,True
tabm_orbit_student,half_01_B,0.5,0,True
lasso_pair_q20,half_02_A,0.5,8,False
linear_orbit_student,half_02_A,0.5,0,True
xgb_naive,half_02_A,0.5,0,True
xgb_midpoint,half_02_A,0.5,0,True
xgb_orbit,half_02_A,0.5,0,True
xgb_orbit_student,half_02_A,0.5,0,True
tabm_naive,half_02_A,0.5,10,False
tabm_midpoint,half_02_A,0.5,10,False
tabm_orbit,half_02_A,0.5,10,False
tabm_orbit_student,half_02_A,0.5,0,True
lasso_pair_q20,half_02_B,0.5,0,True
linear_orbit_student,half_02_B,0.5,0,True
xgb_naive,half_02_B,0.5,0,True
xgb_midpoint,half_02_B,0.5,0,True
xgb_orbit,half_02_B,0.5,0,True
xgb_orbit_student,half_02_B,0.5,7,False
tabm_naive,half_02_B,0.5,0,True
tabm_midpoint,half_02_B,0.5,0,True
tabm_orbit,half_02_B,0.5,0,True
tabm_orbit_student,half_02_B,0.5,0,True
lasso_pair_q20,half_03_A,0.5,0,True
linear_orbit_student,half_03_A,0.5,0,True
xgb_naive,half_03_A,0.5,0,True
xgb_midpoint,half_03_A,0.5,0,True
xgb_orbit,half_03_A,0.5,0,True
xgb_orbit_student,half_03_A,0.5,0,True
tabm_naive,half_03_A,0.5,0,True
tabm_midpoint,half_03_A,0.5,0,True
tabm_orbit,half_03_A,0.5,0,True
tabm_orbit_student,half_03_A,0.5,0,True
lasso_pair_q20,half_03_B,0.5,0,True
linear_orbit_student,half_03_B,0.5,0,True
xgb_naive,half_03_B,0.5,0,True
xgb_midpoint,half_03_B,0.5,0,True
xgb_orbit,half_03_B,0.5,0,True
xgb_orbit_student,half_03_B,0.5,5,False
tabm_naive,half_03_B,0.5,0,True
tabm_midpoint,half_03_B,0.5,0,True
tabm_orbit,half_03_B,0.5,0,True
tabm_orbit_student,half_03_B,0.5,0,True
lasso_pair_q20,half_04_A,0.5,0,True
linear_orbit_student,half_04_A,0.5,0,True
xgb_naive,half_04_A,0.5,10,False
xgb_midpoint,half_04_A,0.5,6,False
xgb_orbit,half_04_A,0.5,10,False
xgb_orbit_student,half_04_A,0.5,0,True
tabm_naive,half_04_A,0.5,0,True
tabm_midpoint,half_04_A,0.5,0,True
tabm_orbit,half_04_A,0.5,0,True
tabm_orbit_student,half_04_A,0.5,0,True
lasso_pair_q20,half_04_B,0.5,0,True
linear_orbit_student,half_04_B,0.5,0,True
xgb_naive,half_04_B,0.5,0,True
xgb_midpoint,half_04_B,0.5,0,True
xgb_orbit,half_04_B,0.5,0,True
xgb_orbit_student,half_04_B,0.5,0,True
tabm_naive,half_04_B,0.5,0,True
tabm_midpoint,half_04_B,0.5,0,True
tabm_orbit,half_04_B,0.5,0,True
tabm_orbit_student,half_04_B,0.5,6,False
lasso_pair_q20,half_05_A,0.5,5,False
linear_orbit_student,half_05_A,0.5,7,False
xgb_naive,half_05_A,0.5,0,True
xgb_midpoint,half_05_A,0.5,0,True
xgb_orbit,half_05_A,0.5,0,True
xgb_orbit_student,half_05_A,0.5,8,False
tabm_naive,half_05_A,0.5,0,True
tabm_midpoint,half_05_A,0.5,0,True
tabm_orbit,half_05_A,0.5,0,True
tabm_orbit_student,half_05_A,0.5,11,False
lasso_pair_q20,half_05_B,0.5,5,False
linear_orbit_student,half_05_B,0.5,6,False
xgb_naive,half_05_B,0.5,0,True
xgb_midpoint,half_05_B,0.5,0,True
xgb_orbit,half_05_B,0.5,0,True
xgb_orbit_student,half_05_B,0.5,0,True
tabm_naive,half_05_B,0.5,15,False
tabm_midpoint,half_05_B,0.5,15,False
tabm_orbit,half_05_B,0.5,15,False
tabm_orbit_student,half_05_B,0.5,0,True
lasso_pair_q20,half_06_A,0.5,0,True
linear_orbit_student,half_06_A,0.5,5,False
xgb_naive,half_06_A,0.5,0,True
xgb_midpoint,half_06_A,0.5,0,True
xgb_orbit,half_06_A,0.5,0,True
xgb_orbit_student,half_06_A,0.5,0,True
tabm_naive,half_06_A,0.5,0,True
tabm_midpoint,half_06_A,0.5,0,True
tabm_orbit,half_06_A,0.5,0,True
tabm_orbit_student,half_06_A,0.5,0,True
lasso_pair_q20,half_06_B,0.5,0,True
linear_orbit_student,half_06_B,0.5,0,True
xgb_naive,half_06_B,0.5,0,True
xgb_midpoint,half_06_B,0.5,0,True
xgb_orbit,half_06_B,0.5,0,True
xgb_orbit_student,half_06_B,0.5,0,True
tabm_naive,half_06_B,0.5,7,False
tabm_midpoint,half_06_B,0.5,7,False
tabm_orbit,half_06_B,0.5,7,False
tabm_orbit_student,half_06_B,0.5,0,True
lasso_pair_q20,half_07_A,0.5,0,True
linear_orbit_student,half_07_A,0.5,0,True
xgb_naive,half_07_A,0.5,5,False
xgb_midpoint,half_07_A,0.5,5,False
xgb_orbit,half_07_A,0.5,5,False
xgb_orbit_student,half_07_A,0.5,6,False
tabm_naive,half_07_A,0.5,5,False
tabm_midpoint,half_07_A,0.5,5,False
tabm_orbit,half_07_A,0.5,5,False
tabm_orbit_student,half_07_A,0.5,11,False
lasso_pair_q20,half_07_B,0.5,6,False
linear_orbit_student,half_07_B,0.5,0,True
xgb_naive,half_07_B,0.5,0,True
xgb_midpoint,half_07_B,0.5,0,True
xgb_orbit,half_07_B,0.5,0,True
xgb_orbit_student,half_07_B,0.5,0,True
tabm_naive,half_07_B,0.5,0,True
tabm_midpoint,half_07_B,0.5,0,True
tabm_orbit,half_07_B,0.5,0,True
tabm_orbit_student,half_07_B,0.5,0,True
lasso_pair_q20,half_08_A,0.5,0,True
linear_orbit_student,half_08_A,0.5,0,True
xgb_naive,half_08_A,0.5,0,True
xgb_midpoint,half_08_A,0.5,0,True
xgb_orbit,half_08_A,0.5,0,True
xgb_orbit_student,half_08_A,0.5,5,False
tabm_naive,half_08_A,0.5,0,True
tabm_midpoint,half_08_A,0.5,0,True
tabm_orbit,half_08_A,0.5,0,True
tabm_orbit_student,half_08_A,0.5,0,True
lasso_pair_q20,half_08_B,0.5,11,False
linear_orbit_student,half_08_B,0.5,13,False
xgb_naive,half_08_B,0.5,11,False
xgb_midpoint,half_08_B,0.5,7,False
xgb_orbit,half_08_B,0.5,10,False
xgb_orbit_student,half_08_B,0.5,0,True
tabm_naive,half_08_B,0.5,6,False
tabm_midpoint,half_08_B,0.5,6,False
tabm_orbit,half_08_B,0.5,6,False
tabm_orbit_student,half_08_B,0.5,0,True
lasso_pair_q20,half_09_A,0.5,0,True
linear_orbit_student,half_09_A,0.5,8,False
xgb_naive,half_09_A,0.5,0,True
xgb_midpoint,half_09_A,0.5,5,False
xgb_orbit,half_09_A,0.5,0,True
xgb_orbit_student,half_09_A,0.5,0,True
tabm_naive,half_09_A,0.5,0,True
tabm_midpoint,half_09_A,0.5,0,True
tabm_orbit,half_09_A,0.5,0,True
tabm_orbit_student,half_09_A,0.5,0,True
lasso_pair_q20,half_09_B,0.5,0,True
linear_orbit_student,half_09_B,0.5,0,True
xgb_naive,half_09_B,0.5,5,False
xgb_midpoint,half_09_B,0.5,5,False
xgb_orbit,half_09_B,0.5,5,False
xgb_orbit_student,half_09_B,0.5,12,False
tabm_naive,half_09_B,0.5,0,True
tabm_midpoint,half_09_B,0.5,0,True
tabm_orbit,half_09_B,0.5,0,True
tabm_orbit_student,half_09_B,0.5,0,True
lasso_pair_q20,half_10_A,0.5,0,True
linear_orbit_student,half_10_A,0.5,0,True
xgb_naive,half_10_A,0.5,0,True
xgb_midpoint,half_10_A,0.5,0,True
xgb_orbit,half_10_A,0.5,0,True
xgb_orbit_student,half_10_A,0.5,0,True
tabm_naive,half_10_A,0.5,0,True
tabm_midpoint,half_10_A,0.5,0,True
tabm_orbit,half_10_A,0.5,0,True
tabm_orbit_student,half_10_A,0.5,0,True
lasso_pair_q20,half_10_B,0.5,0,True
linear_orbit_student,half_10_B,0.5,0,True
xgb_naive,half_10_B,0.5,0,True
xgb_midpoint,half_10_B,0.5,0,True
xgb_orbit,half_10_B,0.5,0,True
xgb_orbit_student,half_10_B,0.5,0,True
tabm_naive,half_10_B,0.5,0,True
tabm_midpoint,half_10_B,0.5,0,True
tabm_orbit,half_10_B,0.5,0,True
tabm_orbit_student,half_10_B,0.5,0,True
lasso_pair_q20,half_11_A,0.5,0,True
linear_orbit_student,half_11_A,0.5,0,True
xgb_naive,half_11_A,0.5,0,True
xgb_midpoint,half_11_A,0.5,0,True
xgb_orbit,half_11_A,0.5,0,True
xgb_orbit_student,half_11_A,0.5,0,True
tabm_naive,half_11_A,0.5,0,True
tabm_midpoint,half_11_A,0.5,0,True
tabm_orbit,half_11_A,0.5,0,True
tabm_orbit_student,half_11_A,0.5,0,True
lasso_pair_q20,half_11_B,0.5,0,True
linear_orbit_student,half_11_B,0.5,0,True
xgb_naive,half_11_B,0.5,0,True
xgb_midpoint,half_11_B,0.5,0,True
xgb_orbit,half_11_B,0.5,0,True
xgb_orbit_student,half_11_B,0.5,0,True
tabm_naive,half_11_B,0.5,0,True
tabm_midpoint,half_11_B,0.5,0,True
tabm_orbit,half_11_B,0.5,0,True
tabm_orbit_student,half_11_B,0.5,0,True
lasso_pair_q20,half_12_A,0.5,0,True
linear_orbit_student,half_12_A,0.5,11,False
xgb_naive,half_12_A,0.5,0,True
xgb_midpoint,half_12_A,0.5,0,True
xgb_orbit,half_12_A,0.5,0,True
xgb_orbit_student,half_12_A,0.5,0,True
tabm_naive,half_12_A,0.5,0,True
tabm_midpoint,half_12_A,0.5,0,True
tabm_orbit,half_12_A,0.5,0,True
tabm_orbit_student,half_12_A,0.5,0,True
lasso_pair_q20,half_12_B,0.5,0,True
linear_orbit_student,half_12_B,0.5,0,True
xgb_naive,half_12_B,0.5,0,True
xgb_midpoint,half_12_B,0.5,0,True
xgb_orbit,half_12_B,0.5,0,True
xgb_orbit_student,half_12_B,0.5,0,True
tabm_naive,half_12_B,0.5,0,True
tabm_midpoint,half_12_B,0.5,0,True
tabm_orbit,half_12_B,0.5,0,True
tabm_orbit_student,half_12_B,0.5,0,True
lasso_pair_q20,half_13_A,0.5,0,True
linear_orbit_student,half_13_A,0.5,0,True
xgb_naive,half_13_A,0.5,6,False
xgb_midpoint,half_13_A,0.5,6,False
xgb_orbit,half_13_A,0.5,7,False
xgb_orbit_student,half_13_A,0.5,0,True
tabm_naive,half_13_A,0.5,0,True
tabm_midpoint,half_13_A,0.5,0,True
tabm_orbit,half_13_A,0.5,0,True
tabm_orbit_student,half_13_A,0.5,0,True
lasso_pair_q20,half_13_B,0.5,0,True
linear_orbit_student,half_13_B,0.5,0,True
xgb_naive,half_13_B,0.5,0,True
xgb_midpoint,half_13_B,0.5,0,True
xgb_orbit,half_13_B,0.5,0,True
xgb_orbit_student,half_13_B,0.5,0,True
tabm_naive,half_13_B,0.5,0,True
tabm_midpoint,half_13_B,0.5,0,True
tabm_orbit,half_13_B,0.5,0,True
tabm_orbit_student,half_13_B,0.5,0,True
lasso_pair_q20,half_14_A,0.5,0,True
linear_orbit_student,half_14_A,0.5,0,True
xgb_naive,half_14_A,0.5,6,False
