method,group,J
deep_lasso,0,0.7142857142857143
deep_lasso,1,0.7142857142857143
deep_lasso,2,0.8461538461538461
deep_lasso,3,0.8461538461538461
deep_lasso,4,0.7142857142857143
deep_lasso,5,0.7142857142857143
deep_lasso,6,0.8461538461538461
deep_lasso,7,0.6
deep_lasso,8,0.8461538461538461
deep_lasso,9,0.7142857142857143
deep_lasso,10,0.8461538461538461
deep_lasso,11,0.7142857142857143
deep_lasso,12,0.6
deep_lasso,13,0.7142857142857143
deep_lasso,14,0.8461538461538461
deep_lasso,15,0.7142857142857143
deep_lasso,16,0.8461538461538461
deep_lasso,17,0.7142857142857143
deep_lasso,18,0.6
deep_lasso,19,0.7142857142857143
deep_lasso,20,0.6
deep_lasso,21,0.8461538461538461
deep_lasso,22,0.8461538461538461
deep_lasso,23,0.6
deep_lasso,24,0.8461538461538461
deep_lasso,25,0.8461538461538461
deep_lasso,26,0.7142857142857143
deep_lasso,27,0.8461538461538461
deep_lasso,28,0.6
deep_lasso,29,0.7142857142857143
lasso_pair_q20,0,0.2
lasso_pair_q20,1,0.3333333333333333
lasso_pair_q20,2,0.3333333333333333
lasso_pair_q20,3,0.3333333333333333
lasso_pair_q20,4,0.4117647058823529
lasso_pair_q20,5,0.2631578947368421
lasso_pair_q20,6,0.2
lasso_pair_q20,7,0.4117647058823529
lasso_pair_q20,8,0.3333333333333333
lasso_pair_q20,9,0.3333333333333333
lasso_pair_q20,10,0.2631578947368421
lasso_pair_q20,11,0.3333333333333333
lasso_pair_q20,12,0.2
lasso_pair_q20,13,0.3333333333333333
lasso_pair_q20,14,0.4117647058823529
lasso_pair_q20,15,0.3333333333333333
lasso_pair_q20,16,0.3333333333333333
lasso_pair_q20,17,0.2
lasso_pair_q20,18,0.2631578947368421
lasso_pair_q20,19,0.2631578947368421
lasso_pair_q20,20,0.2631578947368421
lasso_pair_q20,21,0.2
lasso_pair_q20,22,0.3333333333333333
lasso_pair_q20,23,0.4117647058823529
lasso_pair_q20,24,0.4117647058823529
lasso_pair_q20,25,0.5
lasso_pair_q20,26,0.2631578947368421
lasso_pair_q20,27,0.3333333333333333
lasso_pair_q20,28,0.3333333333333333
lasso_pair_q20,29,0.3333333333333333
linear_orbit_student,0,0.4117647058823529
linear_orbit_student,1,0.3333333333333333
linear_orbit_student,2,0.3333333333333333
linear_orbit_student,3,0.4117647058823529
linear_orbit_student,4,0.3333333333333333
linear_orbit_student,5,0.5
linear_orbit_student,6,0.3333333333333333
linear_orbit_student,7,0.2631578947368421
linear_orbit_student,8,0.2
linear_orbit_student,9,0.2631578947368421
linear_orbit_student,10,0.5
linear_orbit_student,11,0.3333333333333333
linear_orbit_student,12,0.2
linear_orbit_student,13,0.6
linear_orbit_student,14,0.4117647058823529
linear_orbit_student,15,0.3333333333333333
linear_orbit_student,16,0.14285714285714285
linear_orbit_student,17,0.3333333333333333
linear_orbit_student,18,0.4117647058823529
linear_orbit_student,19,0.4117647058823529
linear_orbit_student,20,0.2631578947368421
linear_orbit_student,21,0.3333333333333333
linear_orbit_student,22,0.5
linear_orbit_student,23,0.2631578947368421
linear_orbit_student,24,0.3333333333333333
linear_orbit_student,25,0.4117647058823529
linear_orbit_student,26,0.4117647058823529
linear_orbit_student,27,0.3333333333333333
linear_orbit_student,28,0.3333333333333333
linear_orbit_student,29,0.2631578947368421
tabm_midpoint,0,0.3333333333333333
tabm_midpoint,1,0.2631578947368421
tabm_midpoint,2,0.2631578947368421
tabm_midpoint,3,0.09090909090909091
tabm_midpoint,4,0.5
tabm_midpoint,5,0.5
tabm_midpoint,6,0.3333333333333333
tabm_midpoint,7,0.3333333333333333
tabm_midpoint,8,0.3333333333333333
tabm_midpoint,9,0.4117647058823529
tabm_midpoint,10,0.14285714285714285
tabm_midpoint,11,0.2631578947368421
tabm_midpoint,12,0.3333333333333333
tabm_midpoint,13,0.2
tabm_midpoint,14,0.4117647058823529
tabm_midpoint,15,0.3333333333333333
tabm_midpoint,16,0.6
tabm_midpoint,17,0.4117647058823529
tabm_midpoint,18,0.2631578947368421
tabm_midpoint,19,0.3333333333333333
tabm_midpoint,20,0.5
tabm_midpoint,21,0.3333333333333333
tabm_midpoint,22,0.2631578947368421
tabm_midpoint,23,0.3333333333333333
tabm_midpoint,24,0.3333333333333333
tabm_midpoint,25,0.5
tabm_midpoint,26,0.3333333333333333
tabm_midpoint,27,0.3333333333333333
tabm_midpoint,28,0.4117647058823529
tabm_midpoint,29,0.2631578947368421
tabm_naive,0,0.3333333333333333
tabm_naive,1,0.3333333333333333
tabm_naive,2,0.2
tabm_naive,3,0.09090909090909091
tabm_naive,4,0.4117647058823529
tabm_naive,5,0.5
tabm_naive,6,0.3333333333333333
tabm_naive,7,0.4117647058823529
tabm_naive,8,0.3333333333333333
tabm_naive,9,0.4117647058823529
tabm_naive,10,0.2
tabm_naive,11,0.2631578947368421
tabm_naive,12,0.4117647058823529
tabm_naive,13,0.2631578947368421
tabm_naive,14,0.3333333333333333
tabm_naive,15,0.4117647058823529
tabm_naive,16,0.7142857142857143
tabm_naive,17,0.3333333333333333
tabm_naive,18,0.2631578947368421
tabm_naive,19,0.3333333333333333
tabm_naive,20,0.5
tabm_naive,21,0.4117647058823529
tabm_naive,22,0.2631578947368421
tabm_naive,23,0.4117647058823529
tabm_naive,24,0.3333333333333333
tabm_naive,25,0.5
tabm_naive,26,0.2631578947368421
tabm_naive,27,0.3333333333333333
tabm_naive,28,0.4117647058823529
tabm_naive,29,0.2631578947368421
tabm_orbit,0,0.3333333333333333
tabm_orbit,1,0.2631578947368421
tabm_orbit,2,0.2
tabm_orbit,3,0.14285714285714285
tabm_orbit,4,0.5
tabm_orbit,5,0.4117647058823529
tabm_orbit,6,0.3333333333333333
tabm_orbit,7,0.2631578947368421
tabm_orbit,8,0.3333333333333333
tabm_orbit,9,0.4117647058823529
tabm_orbit,10,0.2
tabm_orbit,11,0.2631578947368421
tabm_orbit,12,0.3333333333333333
tabm_orbit,13,0.2
tabm_orbit,14,0.4117647058823529
tabm_orbit,15,0.3333333333333333
tabm_orbit,16,0.6
tabm_orbit,17,0.4117647058823529
tabm_orbit,18,0.2631578947368421
tabm_orbit,19,0.3333333333333333
tabm_orbit,20,0.5
tabm_orbit,21,0.3333333333333333
tabm_orbit,22,0.2631578947368421
tabm_orbit,23,0.3333333333333333
tabm_orbit,24,0.3333333333333333
tabm_orbit,25,0.5
tabm_orbit,26,0.2631578947368421
tabm_orbit,27,0.3333333333333333
tabm_orbit,28,0.4117647058823529
tabm_orbit,29,0.2631578947368421
tabm_orbit_student,0,0.3333333333333333
tabm_orbit_student,1,0.2
tabm_orbit_student,2,0.2
tabm_orbit_student,3,0.09090909090909091
tabm_orbit_student,4,0.4117647058823529
tabm_orbit_student,5,0.2631578947368421
tabm_orbit_student,6,0.4117647058823529
tabm_orbit_student,7,0.2
tabm_orbit_student,8,0.2
tabm_orbit_student,9,0.4117647058823529
tabm_orbit_student,10,0.14285714285714285
tabm_orbit_student,11,0.2631578947368421
tabm_orbit_student,12,0.4117647058823529
tabm_orbit_student,13,0.2
tabm_orbit_student,14,0.3333333333333333
tabm_orbit_student,15,0.2631578947368421
tabm_orbit_student,16,0.4117647058823529
tabm_orbit_student,17,0.4117647058823529
tabm_orbit_student,18,0.3333333333333333
tabm_orbit_student,19,0.2631578947368421
tabm_orbit_student,20,0.5
tabm_orbit_student,21,0.2631578947368421
tabm_orbit_student,22,0.2
tabm_orbit_student,23,0.2631578947368421
tabm_orbit_student,24,0.2631578947368421
tabm_orbit_student,25,0.4117647058823529
tabm_orbit_student,26,0.3333333333333333
tabm_orbit_student,27,0.3333333333333333
tabm_orbit_student,28,0.5
tabm_orbit_student,29,0.2631578947368421
tabm_pfi,0,0.6
tabm_pfi,1,0.7142857142857143
tabm_pfi,2,0.7142857142857143
tabm_pfi,3,0.7142857142857143
tabm_pfi,4,0.6
tabm_pfi,5,0.5
tabm_pfi,6,0.5
tabm_pfi,7,0.7142857142857143
tabm_pfi,8,0.6
tabm_pfi,9,0.6
tabm_pfi,10,0.7142857142857143
tabm_pfi,11,0.8461538461538461
tabm_pfi,12,0.5
tabm_pfi,13,0.6
tabm_pfi,14,0.6
tabm_pfi,15,0.5
tabm_pfi,16,0.5
tabm_pfi,17,0.6
tabm_pfi,18,0.6
tabm_pfi,19,0.6
tabm_pfi,20,0.7142857142857143
tabm_pfi,21,0.6
tabm_pfi,22,0.7142857142857143
tabm_pfi,23,0.6
tabm_pfi,24,0.8461538461538461
tabm_pfi,25,0.7142857142857143
tabm_pfi,26,0.6
tabm_pfi,27,0.6
tabm_pfi,28,0.6
tabm_pfi,29,0.5
xgb_midpoint,0,0.3333333333333333
xgb_midpoint,1,0.4117647058823529
xgb_midpoint,2,0.4117647058823529
xgb_midpoint,3,0.4117647058823529
xgb_midpoint,4,0.2
xgb_midpoint,5,0.4117647058823529
xgb_midpoint,6,0.4117647058823529
xgb_midpoint,7,0.6
xgb_midpoint,8,0.3333333333333333
xgb_midpoint,9,0.4117647058823529
xgb_midpoint,10,0.14285714285714285
xgb_midpoint,11,0.2631578947368421
xgb_midpoint,12,0.6
xgb_midpoint,13,0.3333333333333333
xgb_midpoint,14,0.2631578947368421
xgb_midpoint,15,0.4117647058823529
xgb_midpoint,16,0.4117647058823529
xgb_midpoint,17,0.5
xgb_midpoint,18,0.4117647058823529
xgb_midpoint,19,0.7142857142857143
xgb_midpoint,20,0.5
xgb_midpoint,21,0.3333333333333333
xgb_midpoint,22,0.4117647058823529
xgb_midpoint,23,0.2631578947368421
xgb_midpoint,24,0.2631578947368421
xgb_midpoint,25,0.3333333333333333
xgb_midpoint,26,0.2631578947368421
xgb_midpoint,27,0.2631578947368421
xgb_midpoint,28,0.2631578947368421
xgb_midpoint,29,0.4117647058823529
xgb_naive,0,0.3333333333333333
xgb_naive,1,0.3333333333333333
xgb_naive,2,0.4117647058823529
xgb_naive,3,0.4117647058823529
xgb_naive,4,0.2631578947368421
xgb_naive,5,0.3333333333333333
xgb_naive,6,0.4117647058823529
xgb_naive,7,0.6
xgb_naive,8,0.2631578947368421
xgb_naive,9,0.4117647058823529
xgb_naive,10,0.2
xgb_naive,11,0.2631578947368421
xgb_naive,12,0.6
xgb_naive,13,0.2631578947368421
xgb_naive,14,0.2631578947368421
xgb_naive,15,0.4117647058823529
xgb_naive,16,0.3333333333333333
xgb_naive,17,0.5
xgb_naive,18,0.4117647058823529
xgb_naive,19,0.5
xgb_naive,20,0.5
xgb_naive,21,0.3333333333333333
xgb_naive,22,0.3333333333333333
xgb_naive,23,0.2631578947368421
xgb_naive,24,0.2631578947368421
xgb_naive,25,0.4117647058823529
xgb_naive,26,0.3333333333333333
xgb_naive,27,0.2
xgb_naive,28,0.2631578947368421
xgb_naive,29,0.3333333333333333
xgb_orbit,0,0.2631578947368421
xgb_orbit,1,0.4117647058823529
xgb_orbit,2,0.4117647058823529
xgb_orbit,3,0.3333333333333333
xgb_orbit,4,0.2
xgb_orbit,5,0.3333333333333333
xgb_orbit,6,0.4117647058823529
xgb_orbit,7,0.6
xgb_orbit,8,0.4117647058823529
xgb_orbit,9,0.4117647058823529
xgb_orbit,10,0.2
xgb_orbit,11,0.2631578947368421
xgb_orbit,12,0.6
xgb_orbit,13,0.2631578947368421
xgb_orbit,14,0.3333333333333333
xgb_orbit,15,0.4117647058823529
xgb_orbit,16,0.3333333333333333
xgb_orbit,17,0.5
xgb_orbit,18,0.4117647058823529
xgb_orbit,19,0.7142857142857143
xgb_orbit,20,0.5
xgb_orbit,21,0.3333333333333333
xgb_orbit,22,0.4117647058823529
xgb_orbit,23,0.2631578947368421
xgb_orbit,24,0.2631578947368421
xgb_orbit,25,0.3333333333333333
xgb_orbit,26,0.3333333333333333
xgb_orbit,27,0.2631578947368421
xgb_orbit,28,0.2631578947368421
xgb_orbit,29,0.4117647058823529
xgb_orbit_student,0,0.2631578947368421
xgb_orbit_student,1,0.2631578947368421
xgb_orbit_student,2,0.3333333333333333
xgb_orbit_student,3,0.2631578947368421
xgb_orbit_student,4,0.2
xgb_orbit_student,5,0.3333333333333333
xgb_orbit_student,6,0.2631578947368421
