method,run,group,fraction,half,J,set
lasso_pair_q20,half_00_A,0,0.5,A,0.3333333333333333,"[20, 23, 25, 16, 26, 28, 2, 17, 1, 19, 10, 11]"
linear_orbit_student,half_00_A,0,0.5,A,0.4117647058823529,"[20, 16, 15, 21, 23, 13, 25, 28, 26, 2, 1, 3]"
xgb_shap,half_00_A,0,0.5,A,0.7142857142857143,"[21, 0, 23, 16, 24, 19, 20, 15, 18, 2, 25, 28]"
xgb_pfi,half_00_A,0,0.5,A,0.8461538461538461,"[21, 0, 16, 19, 23, 15, 20, 18, 2, 24, 1, 28]"
tabm_pfi,half_00_A,0,0.5,A,0.7142857142857143,"[0, 23, 16, 20, 19, 21, 15, 2, 27, 25, 24, 17]"
deep_lasso,half_00_A,0,0.5,A,0.8461538461538461,"[20, 0, 23, 21, 25, 16, 19, 24, 27, 18, 15, 26]"
xgb_naive,half_00_A,0,0.5,A,0.5,"[18, 19, 21, 17, 23, 20, 28, 4, 26, 13, 11, 25]"
xgb_midpoint,half_00_A,0,0.5,A,0.5,"[18, 21, 19, 17, 23, 20, 4, 26, 28, 25, 13, 11]"
xgb_orbit,half_00_A,0,0.5,A,0.5,"[18, 21, 19, 23, 17, 20, 28, 4, 26, 13, 11, 5]"
xgb_orbit_student,half_00_A,0,0.5,A,0.5,"[23, 17, 13, 21, 11, 26, 19, 18, 20, 4, 28, 5]"
tabm_naive,half_00_A,0,0.5,A,0.2631578947368421,"[20, 23, 16, 21, 13, 3, 15, 17, 19, 18, 11, 26]"
tabm_midpoint,half_00_A,0,0.5,A,0.3333333333333333,"[20, 23, 16, 21, 13, 3, 15, 17, 19, 18, 26, 11]"
tabm_orbit,half_00_A,0,0.5,A,0.3333333333333333,"[20, 23, 16, 21, 13, 3, 15, 17, 19, 18, 26, 11]"
tabm_orbit_student,half_00_A,0,0.5,A,0.2631578947368421,"[23, 20, 21, 12, 28, 3, 17, 13, 11, 26, 15, 16]"
lasso_pair_q20,half_00_B,0,0.5,B,0.3333333333333333,"[20, 25, 27, 2, 5, 13, 7, 1, 3, 4, 8, 9]"
linear_orbit_student,half_00_B,0,0.5,B,0.4117647058823529,"[21, 25, 27, 28, 26, 9, 14, 22, 6, 16, 2, 1]"
xgb_shap,half_00_B,0,0.5,B,0.8461538461538461,"[23, 21, 0, 24, 16, 15, 19, 25, 7, 1, 18, 20]"
xgb_pfi,half_00_B,0,0.5,B,0.7142857142857143,"[23, 21, 0, 16, 24, 20, 19, 15, 18, 28, 25, 1]"
tabm_pfi,half_00_B,0,0.5,B,0.7142857142857143,"[23, 0, 21, 15, 16, 19, 20, 25, 7, 24, 22, 28]"
deep_lasso,half_00_B,0,0.5,B,0.8461538461538461,"[23, 21, 0, 25, 16, 15, 19, 20, 27, 24, 7, 9]"
xgb_naive,half_00_B,0,0.5,B,0.3333333333333333,"[16, 21, 18, 1, 25, 0, 28, 2, 26, 15, 24, 20]"
xgb_midpoint,half_00_B,0,0.5,B,0.4117647058823529,"[16, 21, 18, 25, 1, 26, 28, 2, 15, 27, 20, 24]"
xgb_orbit,half_00_B,0,0.5,B,0.3333333333333333,"[16, 21, 18, 25, 1, 28, 26, 2, 15, 24, 0, 20]"
xgb_orbit_student,half_00_B,0,0.5,B,0.4117647058823529,"[1, 21, 16, 20, 25, 6, 2, 26, 18, 27, 5, 10]"
tabm_naive,half_00_B,0,0.5,B,0.2631578947368421,"[21, 25, 19, 16, 24, 20, 2, 1, 8, 28, 26, 13]"
tabm_midpoint,half_00_B,0,0.5,B,0.3333333333333333,"[21, 25, 19, 16, 24, 20, 2, 1, 8, 28, 26, 13]"
tabm_orbit,half_00_B,0,0.5,B,0.3333333333333333,"[21, 25, 19, 16, 24, 20, 2, 1, 8, 28, 26, 13]"
tabm_orbit_student,half_00_B,0,0.5,B,0.2631578947368421,"[8, 25, 19, 21, 16, 1, 3, 2, 28, 26, 24, 20]"
lasso_pair_q20,half_01_A,1,0.5,A,0.2631578947368421,"[20, 0, 26, 16, 2, 27, 19, 1, 10, 22, 5, 11]"
linear_orbit_student,half_01_A,1,0.5,A,0.3333333333333333,"[20, 17, 22, 19, 4, 27, 6, 0, 21, 16, 26, 2]"
xgb_shap,half_01_A,1,0.5,A,0.8461538461538461,"[21, 0, 24, 16, 23, 15, 19, 20, 18, 2, 25, 7]"
xgb_pfi,half_01_A,1,0.5,A,0.7142857142857143,"[21, 0, 16, 24, 19, 23, 18, 15, 20, 28, 2, 17]"
tabm_pfi,half_01_A,1,0.5,A,0.6,"[23, 0, 15, 19, 16, 21, 20, 2, 22, 28, 27, 9]"
deep_lasso,half_01_A,1,0.5,A,1.0,"[21, 23, 15, 0, 25, 20, 16, 19, 27, 18, 7, 24]"
xgb_naive,half_01_A,1,0.5,A,0.3333333333333333,"[18, 16, 19, 24, 3, 17, 7, 28, 26, 15, 20, 9]"
xgb_midpoint,half_01_A,1,0.5,A,0.4117647058823529,"[18, 16, 19, 24, 3, 17, 28, 9, 27, 26, 15, 23]"
xgb_orbit,half_01_A,1,0.5,A,0.4117647058823529,"[18, 16, 19, 24, 3, 17, 28, 9, 15, 26, 21, 27]"
xgb_orbit_student,half_01_A,1,0.5,A,0.2,"[18, 24, 16, 26, 19, 3, 17, 13, 28, 9, 15, 12]"
tabm_naive,half_01_A,1,0.5,A,0.3333333333333333,"[20, 0, 16, 23, 18, 19, 2, 27, 24, 17, 1, 22]"
tabm_midpoint,half_01_A,1,0.5,A,0.4117647058823529,"[20, 23, 0, 16, 18, 2, 19, 24, 27, 17, 1, 22]"
tabm_orbit,half_01_A,1,0.5,A,0.4117647058823529,"[20, 0, 23, 16, 18, 2, 19, 24, 27, 17, 1, 22]"
tabm_orbit_student,half_01_A,1,0.5,A,0.2,"[24, 18, 20, 2, 10, 27, 17, 16, 22, 19, 0, 26]"
lasso_pair_q20,half_01_B,1,0.5,B,0.4117647058823529,"[20, 23, 25, 16, 22, 8, 11, 14, 15, 1, 2, 6]"
linear_orbit_student,half_01_B,1,0.5,B,0.4117647058823529,"[8, 23, 20, 2, 22, 7, 25, 16, 17, 1, 3, 4]"
xgb_shap,half_01_B,1,0.5,B,0.6,"[23, 21, 0, 16, 19, 24, 15, 25, 20, 18, 17, 8]"
xgb_pfi,half_01_B,1,0.5,B,0.7142857142857143,"[23, 0, 21, 16, 19, 20, 15, 2, 25, 24, 18, 22]"
tabm_pfi,half_01_B,1,0.5,B,0.8461538461538461,"[23, 0, 16, 21, 15, 19, 20, 2, 25, 24, 22, 27]"
deep_lasso,half_01_B,1,0.5,B,0.7142857142857143,"[23, 21, 0, 16, 20, 19, 25, 15, 27, 8, 9, 18]"
xgb_naive,half_01_B,1,0.5,B,0.2631578947368421,"[23, 0, 21, 17, 2, 15, 8, 16, 19, 7, 13, 9]"
xgb_midpoint,half_01_B,1,0.5,B,0.3333333333333333,"[23, 21, 0, 17, 2, 15, 19, 8, 18, 16, 7, 9]"
xgb_orbit,half_01_B,1,0.5,B,0.3333333333333333,"[23, 21, 0, 17, 2, 15, 16, 19, 8, 7, 18, 9]"
xgb_orbit_student,half_01_B,1,0.5,B,0.2,"[23, 2, 21, 11, 15, 10, 12, 13, 0, 8, 9, 17]"
tabm_naive,half_01_B,1,0.5,B,0.3333333333333333,"[23, 21, 8, 20, 18, 6, 2, 28, 24, 5, 9, 1]"
tabm_midpoint,half_01_B,1,0.5,B,0.2631578947368421,"[23, 21, 8, 20, 18, 2, 6, 28, 24, 5, 9, 7]"
tabm_orbit,half_01_B,1,0.5,B,0.2631578947368421,"[23, 21, 8, 20, 18, 6, 2, 28, 24, 5, 9, 7]"
tabm_orbit_student,half_01_B,1,0.5,B,0.2,"[8, 23, 21, 6, 18, 5, 28, 24, 20, 2, 9, 3]"
lasso_pair_q20,half_02_A,2,0.5,A,0.3333333333333333,"[21, 20, 0, 25, 16, 26, 27, 14, 10, 17, 1, 4]"
linear_orbit_student,half_02_A,2,0.5,A,0.4117647058823529,"[16, 25, 8, 20, 26, 21, 27, 7, 19, 15, 1, 3]"
xgb_shap,half_02_A,2,0.5,A,0.7142857142857143,"[21, 24, 0, 23, 19, 16, 15, 18, 20, 9, 27, 7]"
xgb_pfi,half_02_A,2,0.5,A,0.8461538461538461,"[21, 0, 24, 23, 19, 15, 16, 18, 20, 27, 2, 28]"
tabm_pfi,half_02_A,2,0.5,A,0.7142857142857143,"[23, 0, 19, 15, 16, 21, 20, 2, 27, 18, 25, 9]"
deep_lasso,half_02_A,2,0.5,A,0.8461538461538461,"[23, 0, 21, 20, 19, 25, 16, 27, 15, 24, 18, 2]"
xgb_naive,half_02_A,2,0.5,A,0.4117647058823529,"[18, 27, 0, 24, 3, 20, 17, 15, 9, 8, 25, 21]"
xgb_midpoint,half_02_A,2,0.5,A,0.4117647058823529,"[18, 0, 27, 24, 3, 20, 17, 15, 8, 9, 21, 25]"
xgb_orbit,half_02_A,2,0.5,A,0.4117647058823529,"[18, 27, 0, 24, 3, 17, 20, 15, 8, 9, 21, 25]"
xgb_orbit_student,half_02_A,2,0.5,A,0.3333333333333333,"[20, 17, 8, 11, 24, 12, 25, 3, 27, 0, 6, 18]"
tabm_naive,half_02_A,2,0.5,A,0.2,"[0, 16, 20, 24, 3, 19, 8, 25, 27, 13, 9, 17]"
tabm_midpoint,half_02_A,2,0.5,A,0.2631578947368421,"[0, 16, 20, 24, 3, 19, 8, 25, 27, 13, 9, 17]"
tabm_orbit,half_02_A,2,0.5,A,0.2631578947368421,"[0, 16, 20, 24, 3, 25, 8, 19, 27, 13, 9, 17]"
tabm_orbit_student,half_02_A,2,0.5,A,0.2,"[3, 8, 24, 20, 13, 0, 25, 16, 9, 19, 27, 5]"
lasso_pair_q20,half_02_B,2,0.5,B,0.4117647058823529,"[20, 0, 27, 7, 9, 18, 22, 1, 3, 4, 5, 10]"
linear_orbit_student,half_02_B,2,0.5,B,0.6,"[23, 0, 20, 28, 22, 27, 15, 25, 1, 3, 4, 5]"
xgb_shap,half_02_B,2,0.5,B,0.8461538461538461,"[23, 0, 21, 16, 15, 25, 19, 20, 2, 24, 18, 7]"
xgb_pfi,half_02_B,2,0.5,B,0.7142857142857143,"[23, 21, 0, 16, 19, 15, 20, 2, 18, 25, 24, 7]"
