method,batch,k,reference_jaccard
copula_mvr,0,4,1.0
copula_mvr,0,8,0.7777777777777778
copula_mvr,0,10,1.0
copula_mvr,0,12,1.0
copula_mvr,0,14,1.0
copula_mvr,1,4,1.0
copula_mvr,1,8,0.7777777777777778
copula_mvr,1,10,1.0
copula_mvr,1,12,1.0
copula_mvr,1,14,1.0
copula_mvr,2,4,1.0
copula_mvr,2,8,1.0
copula_mvr,2,10,1.0
copula_mvr,2,12,1.0
copula_mvr,2,14,1.0
copula_mvr,3,4,1.0
copula_mvr,3,8,1.0
copula_mvr,3,10,1.0
copula_mvr,3,12,1.0
copula_mvr,3,14,1.0
copula_mvr,4,4,1.0
copula_mvr,4,8,0.7777777777777778
copula_mvr,4,10,1.0
copula_mvr,4,12,1.0
copula_mvr,4,14,1.0
copula_mvr,5,4,1.0
copula_mvr,5,8,0.7777777777777778
copula_mvr,5,10,1.0
copula_mvr,5,12,1.0
copula_mvr,5,14,1.0
copula_mvr,6,4,1.0
copula_mvr,6,8,0.7777777777777778
copula_mvr,6,10,1.0
copula_mvr,6,12,1.0
copula_mvr,6,14,1.0
copula_mvr,7,4,1.0
copula_mvr,7,8,0.7777777777777778
copula_mvr,7,10,1.0
copula_mvr,7,12,1.0
copula_mvr,7,14,1.0
copula_mvr,8,4,1.0
copula_mvr,8,8,1.0
copula_mvr,8,10,1.0
copula_mvr,8,12,1.0
copula_mvr,8,14,1.0
copula_mvr,9,4,1.0
copula_mvr,9,8,1.0
copula_mvr,9,10,1.0
copula_mvr,9,12,1.0
copula_mvr,9,14,1.0
elastic_net,0,4,1.0
elastic_net,0,8,1.0
elastic_net,0,10,1.0
elastic_net,0,12,1.0
elastic_net,0,14,1.0
elastic_net,1,4,1.0
elastic_net,1,8,1.0
elastic_net,1,10,1.0
elastic_net,1,12,1.0
elastic_net,1,14,1.0
elastic_net,2,4,1.0
elastic_net,2,8,1.0
elastic_net,2,10,1.0
elastic_net,2,12,1.0
elastic_net,2,14,1.0
elastic_net,3,4,1.0
elastic_net,3,8,1.0
elastic_net,3,10,1.0
elastic_net,3,12,1.0
elastic_net,3,14,1.0
elastic_net,4,4,1.0
elastic_net,4,8,1.0
elastic_net,4,10,1.0
elastic_net,4,12,1.0
elastic_net,4,14,1.0
elastic_net,5,4,1.0
elastic_net,5,8,1.0
elastic_net,5,10,1.0
elastic_net,5,12,1.0
elastic_net,5,14,1.0
elastic_net,6,4,1.0
elastic_net,6,8,1.0
elastic_net,6,10,1.0
elastic_net,6,12,1.0
elastic_net,6,14,1.0
elastic_net,7,4,1.0
elastic_net,7,8,1.0
elastic_net,7,10,1.0
elastic_net,7,12,1.0
elastic_net,7,14,1.0
elastic_net,8,4,1.0
elastic_net,8,8,1.0
elastic_net,8,10,1.0
elastic_net,8,12,1.0
elastic_net,8,14,1.0
elastic_net,9,4,1.0
elastic_net,9,8,1.0
elastic_net,9,10,1.0
elastic_net,9,12,1.0
elastic_net,9,14,1.0
stability_selection,0,4,0.6
stability_selection,0,8,0.7777777777777778
stability_selection,0,10,1.0
stability_selection,0,12,0.7142857142857143
