case,group,without_penalty,with_penalty
half_00_A,0,1.0,0.8461538461538461
half_00_B,0,0.6,0.7142857142857143
half_01_A,1,1.0,1.0
half_01_B,1,0.8461538461538461,0.8461538461538461
half_02_A,2,0.7142857142857143,1.0
half_02_B,2,0.8461538461538461,0.8461538461538461
half_03_A,3,1.0,1.0
half_03_B,3,1.0,0.8461538461538461
half_04_A,4,0.8461538461538461,0.7142857142857143
half_04_B,4,0.8461538461538461,0.8461538461538461
half_05_A,5,0.8461538461538461,0.8461538461538461
half_05_B,5,0.6,0.8461538461538461
half_06_A,6,0.7142857142857143,1.0
half_06_B,6,0.8461538461538461,0.8461538461538461
half_07_A,7,0.6,0.7142857142857143
half_07_B,7,0.7142857142857143,0.8461538461538461
half_08_A,8,1.0,1.0
half_08_B,8,0.7142857142857143,0.5
half_09_A,9,0.8461538461538461,0.8461538461538461
half_09_B,9,0.8461538461538461,0.8461538461538461
half_10_A,10,0.7142857142857143,0.8461538461538461
half_10_B,10,0.8461538461538461,0.8461538461538461
half_11_A,11,1.0,0.8461538461538461
half_11_B,11,0.7142857142857143,0.8461538461538461
half_12_A,12,0.7142857142857143,0.6
half_12_B,12,0.7142857142857143,0.7142857142857143
half_13_A,13,1.0,0.7142857142857143
half_13_B,13,0.7142857142857143,0.7142857142857143
half_14_A,14,0.8461538461538461,0.8461538461538461
half_14_B,14,0.6,0.8461538461538461
half_15_A,15,0.7142857142857143,0.7142857142857143
half_15_B,15,1.0,0.8461538461538461
half_16_A,16,1.0,0.8461538461538461
half_16_B,16,1.0,0.7142857142857143
half_17_A,17,0.7142857142857143,0.7142857142857143
half_17_B,17,0.8461538461538461,0.8461538461538461
half_18_A,18,0.6,1.0
half_18_B,18,1.0,0.7142857142857143
half_19_A,19,0.8461538461538461,0.8461538461538461
half_19_B,19,0.7142857142857143,0.8461538461538461
half_20_A,20,0.8461538461538461,0.8461538461538461
half_20_B,20,0.6,0.7142857142857143
half_21_A,21,0.8461538461538461,0.8461538461538461
half_21_B,21,0.8461538461538461,0.8461538461538461
half_22_A,22,0.7142857142857143,0.7142857142857143
half_22_B,22,0.8461538461538461,0.7142857142857143
half_23_A,23,0.7142857142857143,0.7142857142857143
half_23_B,23,0.7142857142857143,0.7142857142857143
half_24_A,24,1.0,1.0
half_24_B,24,0.8461538461538461,0.8461538461538461
half_25_A,25,1.0,0.8461538461538461
half_25_B,25,1.0,1.0
half_26_A,26,0.8461538461538461,1.0
half_26_B,26,0.8461538461538461,0.7142857142857143
half_27_A,27,0.8461538461538461,0.8461538461538461
half_27_B,27,0.7142857142857143,0.8461538461538461
half_28_A,28,0.8461538461538461,1.0
half_28_B,28,0.6,0.6
half_29_A,29,0.8461538461538461,1.0
half_29_B,29,0.8461538461538461,0.7142857142857143
