feature,label_zh,min,max,unique,missing_fraction
avg_price,平均商品价格,0.85,6735.0,8101,0.0
avg_freight,平均运费,0.03,314.4,9396,0.0
avg_product_weight_g,平均商品重量,2.0,30000.0,5499,7.270612185546023e-05
avg_product_length_cm,平均商品长度,8.0,105.0,2345,7.270612185546023e-05
avg_product_height_cm,平均商品高度,2.0,105.0,2306,7.270612185546023e-05
avg_product_width_cm,平均商品宽度,6.0,104.0,2239,7.270612185546023e-05
avg_product_photos_qty,平均商品图片数,1.0,19.0,928,0.01657699578304493
avg_product_name_length,平均商品标题长度,7.0,64.0,2229,0.01657699578304493
avg_product_description_length,平均商品描述长度,4.0,3992.0,7535,0.01657699578304493
avg_payment_installments,平均支付分期期数,1.0,24.0,1579,0.0
avg_payment_sequential,平均支付序列数,1.0,15.0,284,0.0
credit_card_ratio,信用卡支付占比,0.0,1.0,1836,0.0
boleto_ratio,Boleto支付占比,0.0,1.0,374,0.0
voucher_ratio,代金券支付占比,0.0,1.0,1690,0.0
debit_card_ratio,借记卡支付占比,0.0,1.0,151,0.0
avg_review_score,月末可见平均评价,1.0,5.0,382,0.2667587610876836
avg_delivery_days,月末已送达平均天数,1.1145949074074073,29.304421296296297,10733,0.21739130434782608
avg_approval_days,月末已审核平均天数,0.0,23.162094907407408,11290,0.006107314235858659
avg_ship_days,月末已承运平均准备天数,0.0014814814814814814,24.18986111111111,12725,0.07139741166206194
avg_estimate_gap_days,月末已送达预计提前天数,-13.235515046296296,139.39739583333332,10740,0.21739130434782608
item_count,购买件数,1.0,358.0,153,0.0
order_count,购买订单数,1.0,271.0,139,0.0
category_count,活跃品类数,0.0,17.0,17,0.0
unique_customer_count,独立顾客数,1.0,268.0,140,0.0
buyer_state_diversity,买家州数量,1.0,22.0,22,0.0
dominant_customer_state_share,第一大买家州占比,0.1,1.0,453,0.0
interstate_ratio,跨州交易占比,0.0,1.0,515,0.0
avg_distance_km,平均买卖家距离,0.0,3343.136268501934,13684,0.004289661189472153
seller_state_frequency,已观察卖家州频率,0.0003636363636363636,0.6049618320610687,230,0.0
marketing_origin_frequency,已成交营销来源频率,0.0,0.3439153439153439,41,0.0
has_marketing_deal,月末已匹配营销成交,0.0,1.0,2,0.0
