repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km,seller_state_frequency,marketing_origin_frequency,has_marketing_deal
0,0.66305226,0.085309386,-0.017169833,0.025883436,-0.045043588,0.08871806,-0.00633955,0.26422822,0.18700922,-0.012328863,0.05255854,-0.0941118,-0.060365558,0.0571301,0.20244026,-0.012727261,-0.004945755,-0.13847435,0.27046418,0.04869795,0.17166543,0.255962,-0.056673765,0.3096912,0.1309911,0.05280304,-0.033173203,-0.004755616,0.1420927,0.17764342,0.075988054
1,0.631931,-0.12195969,0.09839296,-0.0677017,0.10859585,0.1437869,-0.041849256,0.14750803,0.12267876,-0.033124804,-0.04476595,0.03799498,-0.061191916,-0.13156044,-0.16251647,0.13711536,0.04620874,0.06782961,0.3331505,0.06311679,0.2229662,0.25096643,0.14285731,0.31610394,0.16052854,0.0655458,0.06406319,-0.056830645,0.17507124,0.061311245,0.02190435
2,0.65883255,-0.11152911,-0.120773196,0.00775671,0.1475563,0.045514584,0.008154988,0.31607616,0.04936993,-0.1267932,0.049382806,-0.031015992,-0.048705697,0.004134655,-0.0666033,0.21733403,0.029904485,0.006042123,0.31883514,0.038814545,0.16373241,0.2089932,0.2036643,0.26043415,0.14872313,0.013993025,0.013441324,0.0009160042,0.017754197,-0.15816122,0.011718273
3,0.7078874,-0.04860449,0.016556382,-0.021147847,-0.086189985,0.023144841,0.102449894,0.3138796,0.102576256,0.021018982,0.06778872,-0.0757916,0.11305618,-0.108703494,0.05518174,-0.10570228,0.052212596,-0.063899636,0.32857728,0.20782602,0.24809813,0.25171328,0.023524642,0.29709196,0.07577157,0.072414756,0.10605776,0.02499342,0.05474782,-0.17052674,0.03718829
4,0.7243314,0.06461513,-0.008246064,-0.041176677,0.12478101,0.024887085,-0.14991975,0.20345092,0.17063487,-0.08588815,0.08623147,-0.05479276,-0.033937216,0.046168566,-0.02016437,0.026750445,0.010779381,-0.050154567,0.3636992,0.1821078,0.26540732,0.3201207,0.022827387,0.2840644,0.07600033,0.07116079,-0.12554848,-0.1156764,0.07995772,-0.07939744,0.033276916
5,0.70489985,0.09487128,0.095553756,-0.049794912,0.13304555,0.15569448,0.13758326,0.22741032,0.082586884,0.0016533136,-0.048099875,-0.070837975,-0.0029860735,0.047247052,0.09559953,0.053462744,0.0056329966,0.038359165,0.3962958,0.20782167,0.2373699,0.22749567,0.11037958,0.22769642,0.0064918995,-0.001000762,-0.10154611,0.028728843,0.19859803,-0.12689185,-0.22145629
6,0.7022632,0.0016951561,-0.02695012,-0.011438251,-0.0781492,0.19048041,-0.107863426,0.039551735,-0.16293395,-0.102561,0.10194969,0.02281642,0.089654565,0.1387837,0.073892355,-0.038954973,0.13985276,0.14932334,0.3690228,0.01382637,0.24797523,0.21451187,-0.055683017,0.30727232,0.18464136,0.00069463253,0.01614976,-0.07030499,0.25716925,-0.1965732,0.10680485
7,0.73294634,-0.02869916,0.014320254,-0.043371677,-0.07729137,0.08452666,0.13517427,0.12135148,-0.094848275,0.0032371283,0.032486558,-0.05349469,-0.0894075,-0.1339984,0.09265292,-0.12668735,0.08805978,-0.04416108,0.37006402,0.1875683,0.27233696,0.2851293,0.050706267,0.31646848,0.0927701,0.11675525,0.02403438,-0.09555757,0.13672984,-0.08196664,0.08527148
8,0.77675664,0.016380072,0.008189559,-0.013574958,-0.08158398,0.1372019,0.2295587,0.17233384,0.123482704,-0.083875,0.106420636,0.044371605,-0.018154263,-0.12953329,-0.07895553,0.043700337,0.069306254,-0.06829035,0.3173498,0.085590005,0.151891,0.25343657,-0.04489422,0.3233931,0.07962537,0.11417174,0.019643307,-0.0007251501,0.0267694,-0.026815176,0.0051989555
9,0.7669302,0.05968952,-0.028184533,-0.19236743,0.036836505,0.2273252,-0.04791236,0.30132824,0.042596698,0.0060127974,0.22946048,-0.05275631,-0.16533649,0.13894832,-0.03464198,0.023663044,0.041245222,-0.07861364,0.36972106,0.13781178,0.23906422,0.27128613,0.017235637,0.2677307,0.13674974,0.079811335,-0.0065728426,0.015394926,0.08330548,0.036038637,0.03390193
10,0.74258447,0.15941226,0.08339393,-0.049377322,0.24602056,0.079731226,0.21175802,0.24879038,0.1212008,-0.032338858,0.14015174,-0.12784135,-0.021469712,0.12558913,0.121098876,0.19699264,-0.033888936,-0.02027011,0.24373984,0.022957921,0.2001301,0.28497267,0.10472453,0.34222853,0.118780136,0.06899214,-0.011070251,0.016474009,0.12879467,-0.03535509,-0.21297729
