method,q,alpha_kn,feature,label_zh,mean_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
v4_worst_swap_generator_lasso,0.1,0.05,avg_price,平均商品价格,0.3857199251651764,1.0,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_freight,平均运费,0.12658429145812988,1.0,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_product_weight_g,平均商品重量,-0.006132645066827536,0.5666666666666667,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_product_length_cm,平均商品长度,0.002356067532673478,0.6,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_product_height_cm,平均商品高度,0.05857556313276291,1.0,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_product_width_cm,平均商品宽度,-0.008726944215595722,0.3333333333333333,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_product_photos_qty,平均商品图片数,-0.009016052819788456,0.1,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_product_name_length,平均商品标题长度,0.060441114008426666,0.9333333333333333,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_product_description_length,平均商品描述长度,0.03135340288281441,0.9666666666666667,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_payment_installments,平均支付分期期数,-0.010708336718380451,0.23333333333333334,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_payment_sequential,平均支付序列数,0.002293120604008436,0.5666666666666667,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,credit_card_ratio,信用卡支付占比,-0.022492103278636932,0.1,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,boleto_ratio,Boleto支付占比,-0.017219997942447662,0.16666666666666666,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,voucher_ratio,代金券支付占比,-0.004659305792301893,0.3333333333333333,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,debit_card_ratio,借记卡支付占比,-0.006411484908312559,0.36666666666666664,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_review_score,平均评价得分,0.007168158423155546,0.7666666666666667,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_delivery_days,平均下单至送达天数,0.07459453493356705,1.0,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_approval_days,平均下单至审核天数,-0.010193617083132267,0.13333333333333333,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_ship_days,平均审核至承运天数,0.18870942294597626,1.0,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,avg_estimate_gap_days,平均预计提前送达天数,0.08601737767457962,1.0,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,item_count,成交件数,0.09101083874702454,1.0,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,order_count,成交订单数,0.03472417593002319,0.8,0.0,0.0,False
v4_worst_swap_generator_lasso,0.1,0.05,category_count,活跃品类数,0.06342651695013046,1.0,0.0,0.0,False
