method,swap_ratio,swapped_features,rbf_mmd,rbf_mmd_p,deep_kernel_mmd,deep_kernel_mmd_p,classifier_auc,classifier_p,kernel_permutations,kernel_minimum_attainable_p,classifier_permutations,classifier_minimum_attainable_p
copula_mvr,0.1,3,0.0008815083893669,0.92,0.0008095371470668,0.335,0.6412568698996199,0.01,199,0.005,99,0.01
copula_mvr,0.3,9,0.0009349465993875,0.845,0.0008419695182206,0.34,0.6858042892398069,0.01,199,0.005,99,0.01
copula_mvr,0.5,16,0.0008393206561914,0.94,0.0022945327416914,0.11,0.8262265514996444,0.01,199,0.005,99,0.01
copula_mvr,0.7,22,0.0012155252642949,0.49,0.0025850219704144,0.1,0.8451017426456116,0.01,199,0.005,99,0.01
copula_mvr,1.0,31,0.0011435879021066,0.52,7.468984094627373e-05,0.94,0.8843983254856242,0.01,199,0.005,99,0.01
v2_deep_train_calibrated,0.1,3,0.0010849458289048,0.655,0.1524738944457069,0.005,0.8458871443927993,0.01,199,0.005,99,0.01
v2_deep_train_calibrated,0.3,9,0.0011271311532941,0.58,0.2060473925431727,0.005,0.8191134612181865,0.01,199,0.005,99,0.01
v2_deep_train_calibrated,0.5,16,0.001089989371136,0.645,0.0963662616297598,0.005,0.9593890520674044,0.01,199,0.005,99,0.01
v2_deep_train_calibrated,0.7,22,0.0018759743404417,0.055,0.7966158602211738,0.005,0.9646086617511244,0.01,199,0.005,99,0.01
v2_deep_train_calibrated,1.0,31,0.0012341161015683,0.455,0.1572900009964399,0.005,0.9210907810867688,0.01,199,0.005,99,0.01
v4_worst_swap_train_calibrated,0.1,3,0.0009654212526928,0.8,0.3936500410634631,0.005,0.8917503482263167,0.01,199,0.005,99,0.01
v4_worst_swap_train_calibrated,0.3,9,0.0013073470473368,0.345,0.5919685783161502,0.005,0.8994165316658844,0.01,199,0.005,99,0.01
v4_worst_swap_train_calibrated,0.5,16,0.0011302826669932,0.585,0.8985096285092442,0.005,0.975521960968372,0.01,199,0.005,99,0.01
v4_worst_swap_train_calibrated,0.7,22,0.0013805264959978,0.345,0.9726700448600248,0.005,0.9799060167451438,0.01,199,0.005,99,0.01
v4_worst_swap_train_calibrated,1.0,31,0.0009384174205708,0.82,0.1835826825047437,0.005,0.9380071992005936,0.01,199,0.005,99,0.01
