k,validation_rmse_log,n_test,rmse_log,mae_log,r2_log,wape_raw,cumulative_contribution,features,labels_zh,recommended_default,selected_by_user
1,2.3737395991729326,3508,2.4122830269175948,1.9926872936423725,0.2766666833114656,0.7454265330146251,0.30046045780181885,unique_customer_count,独立顾客数,False,False
2,2.3735293524185086,3508,2.4127134586135197,1.9928999210152285,0.276408526735341,0.7447528162707906,0.5084704160690308,unique_customer_count|order_count,独立顾客数、成交订单数,False,False
3,2.339277066114288,3508,2.3826191055262314,1.9334866341272683,0.29434700879536146,0.669381137923427,0.6608432531356812,unique_customer_count|order_count|avg_price,独立顾客数、成交订单数、平均商品价格,False,False
4,2.3349412116425015,3508,2.3883330393165885,1.9179954566847703,0.29095839393513334,0.6667506393137411,0.721109926700592,unique_customer_count|order_count|avg_price|avg_ship_days,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数,False,False
5,2.338428400895964,3508,2.390154725111417,1.9159629470588304,0.2898763475038112,0.6651413133404457,0.7739865779876709,unique_customer_count|order_count|avg_price|avg_ship_days|avg_estimate_gap_days,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数、平均预计提前送达天数,False,False
6,2.337751549172357,3508,2.391066951006723,1.9197251380975584,0.28933419280883077,0.6650265245224488,0.8089470267295837,unique_customer_count|order_count|avg_price|avg_ship_days|avg_estimate_gap_days|buyer_state_diversity,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数、平均预计提前送达天数、买家州数量,False,False
7,2.343023276347511,3508,2.3868964480129082,1.9189837878187384,0.29181111978340346,0.6661721614083534,0.8433015942573547,unique_customer_count|order_count|avg_price|avg_ship_days|avg_estimate_gap_days|buyer_state_diversity|avg_delivery_days,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数、平均预计提前送达天数、买家州数量、平均下单至送达天数,False,False
8,2.341157475016823,3508,2.389335968840082,1.921115538891904,0.29036277510143005,0.6652772505565429,0.8712546229362488,unique_customer_count|order_count|avg_price|avg_ship_days|avg_estimate_gap_days|buyer_state_diversity|avg_delivery_days|item_count,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数、平均预计提前送达天数、买家州数量、平均下单至送达天数、成交件数,False,False
9,2.3466449147769644,3508,2.386975141419311,1.926018856418699,0.29176442256360313,0.6664849163675816,0.8990603685379028,unique_customer_count|order_count|avg_price|avg_ship_days|avg_estimate_gap_days|buyer_state_diversity|avg_delivery_days|item_count|avg_freight,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数、平均预计提前送达天数、买家州数量、平均下单至送达天数、成交件数、平均运费,False,False
10,2.34256992491968,3508,2.385337534516986,1.9223938809228756,0.2927358726638929,0.6686329849486207,0.926218569278717,unique_customer_count|order_count|avg_price|avg_ship_days|avg_estimate_gap_days|buyer_state_diversity|avg_delivery_days|item_count|avg_freight|avg_product_name_length,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数、平均预计提前送达天数、买家州数量、平均下单至送达天数、成交件数、平均运费、平均商品标题长度,True,True
11,2.3443777388443414,3508,2.384342390521269,1.9219356910294718,0.29332587959032097,0.6689327732849858,0.9509207606315613,unique_customer_count|order_count|avg_price|avg_ship_days|avg_estimate_gap_days|buyer_state_diversity|avg_delivery_days|item_count|avg_freight|avg_product_name_length|avg_product_height_cm,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数、平均预计提前送达天数、买家州数量、平均下单至送达天数、成交件数、平均运费、平均商品标题长度、平均商品高度,False,False
12,2.3440475229559943,3508,2.3826623491822816,1.9191919498698937,0.29432139388100953,0.6733125135300647,0.9733685851097107,unique_customer_count|order_count|avg_price|avg_ship_days|avg_estimate_gap_days|buyer_state_diversity|avg_delivery_days|item_count|avg_freight|avg_product_name_length|avg_product_height_cm|avg_product_description_length,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数、平均预计提前送达天数、买家州数量、平均下单至送达天数、成交件数、平均运费、平均商品标题长度、平均商品高度、平均商品描述长度,False,False
13,2.3439764553068354,3508,2.383016505529645,1.9172457124557778,0.2941115956848014,0.674486296813969,0.9914460778236389,unique_customer_count|order_count|avg_price|avg_ship_days|avg_estimate_gap_days|buyer_state_diversity|avg_delivery_days|item_count|avg_freight|avg_product_name_length|avg_product_height_cm|avg_product_description_length|seller_state_frequency,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数、平均预计提前送达天数、买家州数量、平均下单至送达天数、成交件数、平均运费、平均商品标题长度、平均商品高度、平均商品描述长度、卖家所在州频率,False,False
14,2.343263770630285,3508,2.383787559745296,1.9150918186978878,0.29365472408310533,0.6720312613546673,1.0,unique_customer_count|order_count|avg_price|avg_ship_days|avg_estimate_gap_days|buyer_state_diversity|avg_delivery_days|item_count|avg_freight|avg_product_name_length|avg_product_height_cm|avg_product_description_length|seller_state_frequency|category_count,独立顾客数、成交订单数、平均商品价格、平均审核至承运天数、平均预计提前送达天数、买家州数量、平均下单至送达天数、成交件数、平均运费、平均商品标题长度、平均商品高度、平均商品描述长度、卖家所在州频率、活跃品类数,False,False
