method,q,alpha_kn,feature,label_zh,mean_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
grip2_style_pairwise_mlp,0.1,0.05,avg_price,平均商品价格,1.1852236986160278,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_freight,平均运费,0.07016243785619736,0.8,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_product_weight_g,平均商品重量,0.1256438046693802,0.9,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_product_length_cm,平均商品长度,0.0503041036427021,0.7,0.0,0.0,False
grip2_style_pairwise_mlp,0.1,0.05,avg_product_height_cm,平均商品高度,0.17439433932304382,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_product_width_cm,平均商品宽度,0.22963038086891174,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_product_photos_qty,平均商品图片数,0.15277516841888428,0.7,0.0,0.0,False
grip2_style_pairwise_mlp,0.1,0.05,avg_product_name_length,平均商品标题长度,0.3917379677295685,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_product_description_length,平均商品描述长度,-0.029991185292601585,0.4,0.0,0.0,False
grip2_style_pairwise_mlp,0.1,0.05,avg_payment_installments,平均支付分期期数,0.024770226329565048,0.5,0.0,0.0,False
grip2_style_pairwise_mlp,0.1,0.05,avg_payment_sequential,平均支付序列数,-0.06382139027118683,0.3,0.0,0.0,False
grip2_style_pairwise_mlp,0.1,0.05,credit_card_ratio,信用卡支付占比,0.0966721922159195,0.85,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,boleto_ratio,Boleto支付占比,0.06540795415639877,0.7,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,voucher_ratio,代金券支付占比,-0.0682467371225357,0.2,0.0,0.0,False
grip2_style_pairwise_mlp,0.1,0.05,debit_card_ratio,借记卡支付占比,0.0771389827132225,0.8,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_review_score,平均评价得分,0.057959116995334625,0.75,0.0,0.0,False
grip2_style_pairwise_mlp,0.1,0.05,avg_delivery_days,平均下单至送达天数,0.09276698529720306,0.9,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_approval_days,平均下单至审核天数,0.04044107347726822,0.6,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_ship_days,平均审核至承运天数,0.6483827829360962,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_estimate_gap_days,平均预计提前送达天数,0.027778655290603638,0.75,0.0,0.0,False
grip2_style_pairwise_mlp,0.1,0.05,item_count,成交件数,0.5908815264701843,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,order_count,成交订单数,0.850135326385498,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,category_count,活跃品类数,0.2546491026878357,0.95,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,unique_customer_count,独立顾客数,1.0055878162384033,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,buyer_state_diversity,买家州数量,0.1710776388645172,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,dominant_customer_state_share,第一大买家州占比,0.18208615481853485,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,interstate_ratio,跨州交易占比,-0.02453482523560524,0.35,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,avg_distance_km,平均卖家-买家距离,0.012067442759871483,0.45,0.0,0.0,False
grip2_style_pairwise_mlp,0.1,0.05,seller_state_frequency,卖家所在州频率,0.2581738829612732,1.0,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,marketing_origin_frequency,营销来源频率,-0.03477845340967178,0.4,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.1,0.05,has_marketing_deal,是否匹配营销成交线索,0.12111987173557281,0.8,0.0,0.0,False
grip2_style_pairwise_mlp,0.2,0.1,avg_price,平均商品价格,1.1852236986160278,1.0,0.8,24.024999618530273,False
grip2_style_pairwise_mlp,0.2,0.1,avg_freight,平均运费,0.07016243785619736,0.8,0.15,3.875,False
grip2_style_pairwise_mlp,0.2,0.1,avg_product_weight_g,平均商品重量,0.1256438046693802,0.9,0.25,6.974999904632568,False
grip2_style_pairwise_mlp,0.2,0.1,avg_product_length_cm,平均商品长度,0.0503041036427021,0.7,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.2,0.1,avg_product_height_cm,平均商品高度,0.17439433932304382,1.0,0.3,8.524999618530273,False
grip2_style_pairwise_mlp,0.2,0.1,avg_product_width_cm,平均商品宽度,0.22963038086891174,1.0,0.5,14.725000381469727,False
grip2_style_pairwise_mlp,0.2,0.1,avg_product_photos_qty,平均商品图片数,0.15277516841888428,0.7,0.35,10.850000381469727,False
grip2_style_pairwise_mlp,0.2,0.1,avg_product_name_length,平均商品标题长度,0.3917379677295685,1.0,0.7,20.924999237060547,False
grip2_style_pairwise_mlp,0.2,0.1,avg_product_description_length,平均商品描述长度,-0.029991185292601585,0.4,0.1,3.0999999046325684,False
grip2_style_pairwise_mlp,0.2,0.1,avg_payment_installments,平均支付分期期数,0.024770226329565048,0.5,0.15,4.650000095367432,False
grip2_style_pairwise_mlp,0.2,0.1,avg_payment_sequential,平均支付序列数,-0.06382139027118683,0.3,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.2,0.1,credit_card_ratio,信用卡支付占比,0.0966721922159195,0.85,0.25,6.974999904632568,False
grip2_style_pairwise_mlp,0.2,0.1,boleto_ratio,Boleto支付占比,0.06540795415639877,0.7,0.15,3.875,False
grip2_style_pairwise_mlp,0.2,0.1,voucher_ratio,代金券支付占比,-0.0682467371225357,0.2,0.0,0.0,False
grip2_style_pairwise_mlp,0.2,0.1,debit_card_ratio,借记卡支付占比,0.0771389827132225,0.8,0.2,5.425000190734863,False
grip2_style_pairwise_mlp,0.2,0.1,avg_review_score,平均评价得分,0.057959116995334625,0.75,0.1,3.0999999046325684,False
grip2_style_pairwise_mlp,0.2,0.1,avg_delivery_days,平均下单至送达天数,0.09276698529720306,0.9,0.2,5.425000190734863,False
grip2_style_pairwise_mlp,0.2,0.1,avg_approval_days,平均下单至审核天数,0.04044107347726822,0.6,0.15,3.875,False
grip2_style_pairwise_mlp,0.2,0.1,avg_ship_days,平均审核至承运天数,0.6483827829360962,1.0,0.8,24.024999618530273,False
grip2_style_pairwise_mlp,0.2,0.1,avg_estimate_gap_days,平均预计提前送达天数,0.027778655290603638,0.75,0.05,1.5499999523162842,False
grip2_style_pairwise_mlp,0.2,0.1,item_count,成交件数,0.5908815264701843,1.0,0.8,24.024999618530273,False
grip2_style_pairwise_mlp,0.2,0.1,order_count,成交订单数,0.850135326385498,1.0,0.8,24.024999618530273,False
grip2_style_pairwise_mlp,0.2,0.1,category_count,活跃品类数,0.2546491026878357,0.95,0.6,17.825000762939453,False
grip2_style_pairwise_mlp,0.2,0.1,unique_customer_count,独立顾客数,1.0055878162384033,1.0,0.8,24.024999618530273,False
grip2_style_pairwise_mlp,0.2,0.1,buyer_state_diversity,买家州数量,0.1710776388645172,1.0,0.35,10.074999809265137,False
grip2_style_pairwise_mlp,0.2,0.1,dominant_customer_state_share,第一大买家州占比,0.18208615481853485,1.0,0.5,14.725000381469727,False
grip2_style_pairwise_mlp,0.2,0.1,interstate_ratio,跨州交易占比,-0.02453482523560524,0.35,0.05,0.7749999761581421,False
grip2_style_pairwise_mlp,0.2,0.1,avg_distance_km,平均卖家-买家距离,0.012067442759871483,0.45,0.0,0.0,False
grip2_style_pairwise_mlp,0.2,0.1,seller_state_frequency,卖家所在州频率,0.2581738829612732,1.0,0.6,17.825000762939453,False
grip2_style_pairwise_mlp,0.2,0.1,marketing_origin_frequency,营销来源频率,-0.03477845340967178,0.4,0.05,0.7749999761581421,False
grip2_style_pairwise_mlp,0.2,0.1,has_marketing_deal,是否匹配营销成交线索,0.12111987173557281,0.8,0.2,6.199999809265137,False
grip2_style_pairwise_mlp,0.3,0.15,avg_price,平均商品价格,1.1852236986160278,1.0,1.0,19.762500762939453,True
grip2_style_pairwise_mlp,0.3,0.15,avg_freight,平均运费,0.07016243785619736,0.8,0.3,3.745833158493042,False
grip2_style_pairwise_mlp,0.3,0.15,avg_product_weight_g,平均商品重量,0.1256438046693802,0.9,0.5,6.587500095367432,False
grip2_style_pairwise_mlp,0.3,0.15,avg_product_length_cm,平均商品长度,0.0503041036427021,0.7,0.2,2.195833206176758,False
grip2_style_pairwise_mlp,0.3,0.15,avg_product_height_cm,平均商品高度,0.17439433932304382,1.0,0.65,10.462499618530273,True
grip2_style_pairwise_mlp,0.3,0.15,avg_product_width_cm,平均商品宽度,0.22963038086891174,1.0,0.8,14.337501525878906,True
grip2_style_pairwise_mlp,0.3,0.15,avg_product_photos_qty,平均商品图片数,0.15277516841888428,0.7,0.5,7.620833396911621,False
grip2_style_pairwise_mlp,0.3,0.15,avg_product_name_length,平均商品标题长度,0.3917379677295685,1.0,0.95,18.987499237060547,True
grip2_style_pairwise_mlp,0.3,0.15,avg_product_description_length,平均商品描述长度,-0.029991185292601585,0.4,0.2,2.195833206176758,False
grip2_style_pairwise_mlp,0.3,0.15,avg_payment_installments,平均支付分期期数,0.024770226329565048,0.5,0.35,5.295833110809326,False
grip2_style_pairwise_mlp,0.3,0.15,avg_payment_sequential,平均支付序列数,-0.06382139027118683,0.3,0.15,1.679166555404663,False
grip2_style_pairwise_mlp,0.3,0.15,credit_card_ratio,信用卡支付占比,0.0966721922159195,0.85,0.35,5.037499904632568,False
grip2_style_pairwise_mlp,0.3,0.15,boleto_ratio,Boleto支付占比,0.06540795415639877,0.7,0.2,2.4541666507720947,False
grip2_style_pairwise_mlp,0.3,0.15,voucher_ratio,代金券支付占比,-0.0682467371225357,0.2,0.05,0.5166666507720947,False
grip2_style_pairwise_mlp,0.3,0.15,debit_card_ratio,借记卡支付占比,0.0771389827132225,0.8,0.3,4.7791666984558105,False
grip2_style_pairwise_mlp,0.3,0.15,avg_review_score,平均评价得分,0.057959116995334625,0.75,0.2,2.4541666507720947,False
grip2_style_pairwise_mlp,0.3,0.15,avg_delivery_days,平均下单至送达天数,0.09276698529720306,0.9,0.35,4.262499809265137,False
grip2_style_pairwise_mlp,0.3,0.15,avg_approval_days,平均下单至审核天数,0.04044107347726822,0.6,0.25,3.745833158493042,False
grip2_style_pairwise_mlp,0.3,0.15,avg_ship_days,平均审核至承运天数,0.6483827829360962,1.0,1.0,19.762500762939453,True
grip2_style_pairwise_mlp,0.3,0.15,avg_estimate_gap_days,平均预计提前送达天数,0.027778655290603638,0.75,0.15,3.0999999046325684,False
grip2_style_pairwise_mlp,0.3,0.15,item_count,成交件数,0.5908815264701843,1.0,1.0,19.762500762939453,True
