method,q,alpha_kn,feature,label_zh,mean_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
business_group_knockoff,0.1,0.05,price_cost,价格成本,0.09544654457726819,1.0,0.0,0.0,False
business_group_knockoff,0.1,0.05,physical_size,商品物理属性,0.013560965549233634,1.0,0.0,0.0,False
business_group_knockoff,0.1,0.05,content,商品内容,0.0158516985186947,1.0,0.0,0.0,False
business_group_knockoff,0.1,0.05,payment_process,支付过程,-0.0022191320753266416,0.23333333333333334,0.0,0.0,False
business_group_knockoff,0.1,0.05,payment_method,支付方式,0.0067499713043568015,0.9833333333333333,0.0,0.0,False
business_group_knockoff,0.1,0.05,reputation,口碑,-0.0009586675247007894,0.0,0.0,0.0,False
business_group_knockoff,0.1,0.05,fulfillment,履约,0.027353574447722247,1.0,0.0,0.0,False
business_group_knockoff,0.1,0.05,transaction_scale,交易规模,0.22864868561969817,1.0,0.0,0.0,False
business_group_knockoff,0.1,0.05,market_concentration,市场集中度,0.021645199116141087,1.0,0.0,0.0,False
business_group_knockoff,0.1,0.05,market_reach,市场覆盖,0.08162897646454544,1.0,0.0,0.0,False
business_group_knockoff,0.1,0.05,seller_geography,卖家地域,0.00916536018784031,1.0,0.0,0.0,False
business_group_knockoff,0.1,0.05,marketing,营销,0.014539087224187952,1.0,0.0,0.0,False
business_group_knockoff,0.2,0.1,price_cost,价格成本,0.09544654457726819,1.0,0.8166666666666667,9.8,True
business_group_knockoff,0.2,0.1,physical_size,商品物理属性,0.013560965549233634,1.0,0.8166666666666667,9.8,True
business_group_knockoff,0.2,0.1,content,商品内容,0.0158516985186947,1.0,0.8166666666666667,9.8,True
business_group_knockoff,0.2,0.1,payment_process,支付过程,-0.0022191320753266416,0.23333333333333334,0.13333333333333333,1.6,False
business_group_knockoff,0.2,0.1,payment_method,支付方式,0.0067499713043568015,0.9833333333333333,0.8,9.6,True
business_group_knockoff,0.2,0.1,reputation,口碑,-0.0009586675247007894,0.0,0.0,0.0,False
business_group_knockoff,0.2,0.1,fulfillment,履约,0.027353574447722247,1.0,0.8166666666666667,9.8,True
business_group_knockoff,0.2,0.1,transaction_scale,交易规模,0.22864868561969817,1.0,0.8166666666666667,9.8,True
business_group_knockoff,0.2,0.1,market_concentration,市场集中度,0.021645199116141087,1.0,0.8166666666666667,9.8,True
business_group_knockoff,0.2,0.1,market_reach,市场覆盖,0.08162897646454544,1.0,0.8166666666666667,9.8,True
business_group_knockoff,0.2,0.1,seller_geography,卖家地域,0.00916536018784031,1.0,0.8166666666666667,9.8,True
business_group_knockoff,0.2,0.1,marketing,营销,0.014539087224187952,1.0,0.8166666666666667,9.8,True
business_group_knockoff,0.3,0.15,price_cost,价格成本,0.09544654457726819,1.0,1.0,12.0,True
business_group_knockoff,0.3,0.15,physical_size,商品物理属性,0.013560965549233634,1.0,1.0,12.0,True
business_group_knockoff,0.3,0.15,content,商品内容,0.0158516985186947,1.0,1.0,12.0,True
business_group_knockoff,0.3,0.15,payment_process,支付过程,-0.0022191320753266416,0.23333333333333334,0.13333333333333333,1.6,False
business_group_knockoff,0.3,0.15,payment_method,支付方式,0.0067499713043568015,0.9833333333333333,0.8166666666666667,9.8,True
business_group_knockoff,0.3,0.15,reputation,口碑,-0.0009586675247007894,0.0,0.0,0.0,False
business_group_knockoff,0.3,0.15,fulfillment,履约,0.027353574447722247,1.0,1.0,12.0,True
business_group_knockoff,0.3,0.15,transaction_scale,交易规模,0.22864868561969817,1.0,1.0,12.0,True
business_group_knockoff,0.3,0.15,market_concentration,市场集中度,0.021645199116141087,1.0,1.0,12.0,True
business_group_knockoff,0.3,0.15,market_reach,市场覆盖,0.08162897646454544,1.0,1.0,12.0,True
business_group_knockoff,0.3,0.15,seller_geography,卖家地域,0.00916536018784031,1.0,0.95,11.4,True
business_group_knockoff,0.3,0.15,marketing,营销,0.014539087224187952,1.0,1.0,12.0,True
