q,feature,label_zh,monthly_selected,weekly_selected,selected_both,monthly_frequency,weekly_frequency
0.1,avg_price,平均商品价格,False,False,False,0.0166666666666666,0.0
0.1,avg_freight,平均运费,False,False,False,0.0166666666666666,0.0
0.1,avg_product_weight_g,平均商品重量,False,False,False,0.0,0.0
0.1,avg_product_length_cm,平均商品长度,False,False,False,0.0,0.0
0.1,avg_product_height_cm,平均商品高度,False,False,False,0.0166666666666666,0.0
0.1,avg_product_width_cm,平均商品宽度,False,False,False,0.0,0.0
0.1,avg_product_photos_qty,平均商品图片数,False,False,False,0.0,0.0
0.1,avg_product_name_length,平均商品标题长度,False,False,False,0.0166666666666666,0.0
0.1,avg_product_description_length,平均商品描述长度,False,False,False,0.0166666666666666,0.0
0.1,avg_payment_installments,平均支付分期期数,False,False,False,0.0,0.0
0.1,avg_payment_sequential,平均支付序列数,False,False,False,0.0166666666666666,0.0
0.1,credit_card_ratio,信用卡支付占比,False,False,False,0.0166666666666666,0.0
0.1,boleto_ratio,Boleto支付占比,False,False,False,0.0,0.0
0.1,voucher_ratio,代金券支付占比,False,False,False,0.0,0.0
0.1,debit_card_ratio,借记卡支付占比,False,False,False,0.0166666666666666,0.0
0.1,avg_review_score,平均评价得分,False,False,False,0.0166666666666666,0.0
0.1,avg_delivery_days,平均下单至送达天数,False,False,False,0.0166666666666666,0.0
0.1,avg_approval_days,平均下单至审核天数,False,False,False,0.0,0.0
0.1,avg_ship_days,平均审核至承运天数,False,False,False,0.0166666666666666,0.0
0.1,avg_estimate_gap_days,平均预计提前送达天数,False,False,False,0.0166666666666666,0.0
0.1,item_count,成交件数,False,False,False,0.0166666666666666,0.0
0.1,order_count,成交订单数,False,False,False,0.0166666666666666,0.0
0.1,category_count,活跃品类数,False,False,False,0.0166666666666666,0.0
0.1,unique_customer_count,独立顾客数,False,False,False,0.0166666666666666,0.0
0.1,buyer_state_diversity,买家州数量,False,False,False,0.0166666666666666,0.0
