target,generator,stat_model,q,alpha_kn,feature,label_zh,mean_w,median_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_price,平均商品价格,0.008801405318081379,0.008817647583782673,1.0,0.88,26.040000915527344,True
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_freight,平均运费,0.0010532833402976394,0.0009364942088723183,0.96,0.44,12.399999618530273,True
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_product_weight_g,平均商品重量,0.0006235141772776842,0.0006313081830739975,0.76,0.24,6.199999809265137,False
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_product_length_cm,平均商品长度,0.0013412268599495292,0.0013173297047615051,1.0,0.56,16.1200008392334,True
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_product_height_cm,平均商品高度,0.001319592585787177,0.0012088492512702942,1.0,0.6,17.360000610351562,True
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_product_width_cm,平均商品宽度,0.0010500989155843854,0.0010475674644112587,0.96,0.36,9.920000076293945,True
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_product_photos_qty,平均商品图片数,0.0003471642849035561,0.0003478704020380974,0.68,0.16,4.340000152587891,False
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_product_name_length,平均商品标题长度,0.0022222662810236216,0.00220991438254714,1.0,0.84,24.799999237060547,True
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_product_description_length,平均商品描述长度,0.00038331103860400617,0.0005700942128896713,0.72,0.2,5.579999923706055,False
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_payment_installments,平均支付分期期数,0.0006701730890199542,0.0007062666118144989,0.84,0.2,4.960000038146973,False
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_payment_sequential,平均支付序列数,-0.00015755175263620913,-0.00034285010769963264,0.4,0.04,0.6200000047683716,False
log_gmv_next_week,copula,xgboost,0.2,0.1,credit_card_ratio,信用卡支付占比,-0.00019175426859874278,-0.00013326061889529228,0.36,0.04,1.2400000095367432,False
log_gmv_next_week,copula,xgboost,0.2,0.1,boleto_ratio,Boleto支付占比,6.0607268096646294e-05,0.00016407109797000885,0.56,0.08,2.4800000190734863,False
log_gmv_next_week,copula,xgboost,0.2,0.1,voucher_ratio,代金券支付占比,-0.0002727239625528455,-0.0002716490998864174,0.32,0.04,0.6200000047683716,False
log_gmv_next_week,copula,xgboost,0.2,0.1,debit_card_ratio,借记卡支付占比,2.004325324378442e-05,6.361119449138641e-05,0.52,0.04,1.2400000095367432,False
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_review_score,平均评价得分,0.00012256824993528426,-1.6069505363702774e-05,0.48,0.0,0.0,False
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_delivery_days,平均下单至送达天数,-0.00043801378342323005,-0.0005079563707113266,0.2,0.0,0.0,False
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_approval_days,平均下单至审核天数,-0.00030094210524111986,-0.00013961363583803177,0.4,0.04,1.2400000095367432,False
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_ship_days,平均审核至承运天数,0.0052397651597857475,0.005276171490550041,1.0,0.88,26.040000915527344,True
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_estimate_gap_days,平均预计提前送达天数,0.0001742382301017642,0.00020676013082265854,0.6,0.08,2.4800000190734863,False
log_gmv_next_week,copula,xgboost,0.2,0.1,item_count,成交件数,0.015729663893580437,0.004991867113858461,0.88,0.76,22.940000534057617,True
log_gmv_next_week,copula,xgboost,0.2,0.1,order_count,成交订单数,0.3908153772354126,0.39258873462677,1.0,0.88,26.040000915527344,True
log_gmv_next_week,copula,xgboost,0.2,0.1,category_count,活跃品类数,0.002001491840928793,0.0020585544407367706,0.96,0.84,24.799999237060547,True
log_gmv_next_week,copula,xgboost,0.2,0.1,unique_customer_count,独立顾客数,0.16368545591831207,0.16095823049545288,1.0,0.88,26.040000915527344,True
log_gmv_next_week,copula,xgboost,0.2,0.1,buyer_state_diversity,买家州数量,0.053315840661525726,0.03562979772686958,1.0,0.88,26.040000915527344,True
log_gmv_next_week,copula,xgboost,0.2,0.1,dominant_customer_state_share,第一大买家州占比,0.014013176783919334,0.005621955264359713,0.92,0.68,19.84000015258789,True
log_gmv_next_week,copula,xgboost,0.2,0.1,interstate_ratio,跨州交易占比,5.183210669201799e-05,1.599034294486046e-05,0.56,0.08,2.4800000190734863,False
log_gmv_next_week,copula,xgboost,0.2,0.1,avg_distance_km,平均卖家-买家距离,1.6053189028752968e-05,-0.0001565832644701004,0.36,0.12,3.0999999046325684,False
log_gmv_next_week,copula,xgboost,0.2,0.1,seller_state_frequency,卖家所在州频率,0.0017128976760432124,0.0016225697472691536,1.0,0.76,22.31999969482422,True
log_gmv_next_week,copula,xgboost,0.2,0.1,marketing_origin_frequency,营销来源频率,0.0021296734921634197,0.0020738570019602776,1.0,0.8,23.559999465942383,True
log_gmv_next_week,copula,xgboost,0.2,0.1,has_marketing_deal,是否匹配营销成交线索,0.0014853294705972075,0.0014927154406905174,0.92,0.6,17.360000610351562,True
