repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km
0,0.0,0.017994737251917445,-0.00194748813199054,0.0,0.004554080333103922,-0.0060992177184285125,0.0007243656546941233,-0.00025063369271133827,-0.0013794532958393895,0.0,0.0,0.0,0.0,-0.0008224371335684174,0.0,-0.0007951253104296657,0.0,0.0,0.013772584890523451,0.0059718634883118415,0.006643271304751892,0.02579389424899773,0.004710515262106941,-0.0894204184656961,0.03258686434987673,0.022748871335115134,0.0,0.0
1,0.0,0.01548947856706286,0.0,-0.00410092788806263,0.006955106932185838,0.0,0.0,0.0010559834690234105,-0.006084837384530533,0.0,0.0,0.0,0.0,0.0023057782020876527,0.0,-0.00046116488052604495,0.0,0.0,0.016707584694734726,-0.010136624459485702,0.009803648320695526,0.11403052582602415,0.0045121884513158045,0.0,0.028301072619381844,0.002108934783791979,-0.0018419675930614655,-0.0005313526419181935
2,0.0,0.01559644944527529,0.0,0.0,0.007450469078884976,0.0,0.000417837254184992,0.0014752967363097006,0.0,-0.0016989227119201574,0.0,0.0,0.0,-0.0036182919548727053,0.0,0.0,0.0,0.0,0.016129092390406323,-0.0038247164812414817,-0.0074106211701854855,-0.03565343549252082,0.004491555904651023,0.0,0.029061770146662773,0.011180321326263294,0.0,0.0
3,0.0,0.016290300466042268,0.0,-0.0027487883675752535,0.007317380630434639,0.0,0.0004614007742507829,0.0016068775377665035,0.0,-0.002476536791503736,-0.004366475840427616,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022732803510858105,0.01584124770626887,0.00045775256588036087,-0.006640355634563049,0.10471815131941825,0.0030974411069360584,0.0,0.035769405680464314,0.024098511160929207,0.0,0.0
4,0.0,0.01662066622802929,0.0,0.0,0.007448186366678337,0.0,0.00041152310972741017,0.001534130489903775,0.0,-0.0022757799324270305,0.0,0.0,0.0,0.0020274906784709997,0.0,0.0,0.0,-0.0024727710925644703,0.015483787742824056,0.005840261680103076,-0.011663185968867775,0.03969649888917816,0.0014647877338555102,-0.06371885808799384,0.02076815330096729,0.014612533886085733,0.0,0.0
5,0.0,0.015250906563976225,0.0,0.0,0.007260594171160771,0.0,0.0004436536839075465,0.0016646785912181002,0.0,0.0,-0.0030545226287107554,0.0,-0.0012879045460118138,-0.0030982406211881343,0.0,0.0,0.0,0.0,0.015537009785193503,0.005736451557549039,0.006614636623229169,0.06068818339023332,0.00489440578232381,0.0,0.03677046916028743,0.02346465504568344,-0.001848291453745894,0.0
6,0.0,0.016031240658975533,0.0,0.0,0.001029426450844675,0.0,0.0005971888869719726,0.0014639223340174932,0.0,-4.6048753323465975e-05,0.0,0.0,-0.004496884948569817,0.0021476468750689292,0.0,0.0,0.0,0.0,0.01356847747065526,0.004945821800585799,0.006452626376668683,0.07138665922946408,-0.0009938832969879265,0.0,0.03724564289238064,0.02254053544879011,-0.0025137133435400986,0.0
7,0.0,0.016440785064152422,0.0,0.0,0.004437980856049373,0.0,0.0006495407461220789,0.00035403097404184823,0.0,0.0,-0.0037123527615228937,0.0,-0.0010603685493198347,0.0,0.0,0.0,0.0,0.0,0.015584661064548524,0.005908379596278028,-0.002549648722753901,0.031165561845664137,0.0028240447212007766,-0.0059562885162560844,0.03561203974408364,0.023731855846872915,0.0,0.0
8,-0.00031120834135806827,0.016355674907468653,-0.00040857584786016277,0.0,0.007376982400628063,0.0,0.0004740416615744531,0.0015928234971661357,0.0,0.0,0.0,0.0,0.0,0.0022702397191586786,0.0,0.0,0.0,-0.004446570127538531,0.015520838663477051,0.005721873104913356,-0.011356578412390756,0.10408461109771677,0.0032255785523412697,0.0,0.035292506647555746,0.02420501433951027,0.0,0.0
9,-0.007143357565459327,0.017128922327762353,0.0,0.0,0.001362016650968757,0.0,0.00091908706452817,0.0020443101336649304,0.0,0.0,-0.005352803406379479,0.0,-0.0010184656368951862,0.0,0.0,-0.002211126538126781,0.0,0.0,0.01653737542175386,-0.006167814428043158,0.00447919243064984,0.08020302461127933,0.004809724544790086,-0.031224472993093298,0.024496611428631604,0.02023706407994899,0.0,0.0
10,0.0,0.015920520171177826,0.0,0.0,0.007356315532429881,0.0,0.0005161388570892528,0.001566587711276977,0.0,-0.0010109902026964413,0.0,0.0,3.0481454663670576e-05,0.0021353875406219754,0.0,0.0,0.0,0.0,0.016305918283474056,-0.005676803487410107,-0.0013242512220068142,0.06463315275150572,0.0047734317966496515,0.0,0.03551969550677316,0.02402523618611284,0.0,0.0
11,0.0,0.017174601388434647,0.0,0.0,0.007426978819939818,0.0,0.0005473151755680095,0.0010782088715645805,0.0,-0.0024496862819542164,0.0,0.0,0.0,0.0015919399741045385,0.0,0.0,0.0,-0.005201434280200334,0.01628914595616374,-0.006468024243572822,-0.010031097860651476,0.09908635421987798,0.00443929644975764,0.0,-0.0061798074257797785,-0.008180424336288362,-0.00011307076095074453,0.0
12,0.0,0.016111391881178896,0.0,0.0,0.0074463682562863984,0.0,0.0005613047666476333,0.0014898156715799982,0.0,0.0,0.0,0.0,0.0,0.0025162006454894238,0.0,0.0,0.0,0.0,0.015551111436174662,0.005835102643879434,0.0067449870034280105,0.11261537157566272,-0.0038807788590660827,0.0,0.036477818345960325,0.02256406455573871,0.0,0.0
13,0.0,0.016933272643025795,0.0,0.0,0.005794564587645713,-0.003889396108676157,0.000590035028157602,0.0016876365322523038,0.0,0.0,-0.003550315657478697,0.0,-0.000588655331460116,0.0,0.0,0.0,0.0,0.0,0.01564679520451299,0.0059058786599072155,0.0053353995374023355,0.1031612306856048,0.004841946814498834,-0.009980536382604644,0.03595364535473599,0.02228337254245139,0.0,0.0
14,-0.0011856960894217805,0.016536516303406665,0.0,0.0,0.007352919153926101,0.0,0.0007127200203194161,0.0017693480996855062,-0.0012994790732056521,-0.001668482120598582,0.0,0.0,-0.00250768740144361,-0.0030773391014489787,0.0,-0.003025537101699606,0.0,-0.0005578025361863235,0.015670947216971907,0.005054100953174056,0.006536138716408417,0.08634706073978189,0.004879403209223979,-0.005146203304816647,0.03641184644821577,0.023244681598669503,0.0,0.0
15,0.0,0.016668128188891608,0.0,0.0,0.006677589741496188,-0.0036732215699073942,0.0005451668934277524,0.0016496050028977681,0.0,-0.0013213233958388436,0.0,0.0,0.0,-0.00307190935888666,0.0,0.0,0.0,0.0,0.015644256625986983,0.0059679845686977815,0.006680914957288937,0.018060165145219575,0.004864537155531831,0.0,0.036228652264803776,0.023591719909636093,0.0,0.0
16,0.0,0.01586585944704617,0.0,0.0,0.007490338893609943,0.0,0.0004661769482575275,-0.0007404101143150378,0.0,0.0,-0.0032169754402343884,0.0,-0.0015936663650266197,0.0,0.0,0.0,0.0,0.0,0.016732526353578143,-0.01034678470128241,0.004557206089992159,0.05385268718986114,0.00325049338103523,0.0,0.02560652314547561,0.020542933521605494,0.0,0.0
17,0.0,0.016466454315335315,0.0,0.0,0.007482325487925921,0.0,0.00042986857750790464,0.0015950633195386183,0.0,0.0,-0.005742748824086,0.0,0.0,0.0,-0.0032088209771283516,-0.00162631184805909,0.0,-0.00025044087105589304,0.015673314012753126,0.005432720421852469,0.005597323366196112,0.08051520496086717,0.004958039376567723,-0.03245310247822869,0.020203785914706437,0.017408993402904298,0.0,0.0
18,0.0,0.01852176680466756,-0.005556383342813736,0.0,0.0051882984033732645,-0.00212433927357738,-0.0018416700977111815,0.0016629941305160323,0.0,0.0,0.0,0.0,-0.0007005897554278809,0.0022865336713656366,-0.00019209292873352391,0.0,0.0,0.0,0.015635114230228075,0.0057646850038353984,-0.005616075653636379,-0.04080495322055104,0.004707784213929345,-0.04441377589240403,0.015049109098418662,0.018944551004271185,0.0,0.0
19,0.0,0.015735842908589117,0.0,0.0,0.00777454426331317,0.0,0.0,-0.010056069627605193,0.0,0.0,0.0,0.0,-0.00048048521469429365,0.002257826276203041,-0.001675155818802329,0.0,0.0,0.0,0.009641607909610253,0.006632739349982394,0.0059743849826208615,0.10565352557218202,0.003398850794610252,-0.006609559612088883,0.021600573226279528,0.019477449668687738,0.0,0.0
20,0.0,0.017462744940741157,-0.005350546764511981,0.0,0.005693560833957587,0.0,0.0006331375289667674,0.0017389965911183247,0.0,0.0,-0.0055736786285044025,0.0,0.0,0.0,0.0,-0.0021542124177270643,0.0,0.0,0.015776380552698033,0.00532441253764173,-0.02988602850857689,-0.006810868119330115,0.004363612498023949,-0.05816830321280009,0.03288768807043462,0.026107621401437128,0.0,0.0
21,0.0,0.016396316895549202,0.0,0.0,0.007398219353548032,0.0,-3.622778922074627e-05,0.001294125494109206,-0.0015388721561195144,0.0,-0.005939159017772035,0.0,-0.0012308496392281793,0.0,-0.0016860326235696521,0.0,0.0,0.0,0.015765317823392144,0.001500778821625802,0.004440195409854969,0.0027620761932937374,0.005050288332887998,0.0,0.01800296240044743,0.018399602363266373,0.0,0.0
22,0.0,0.016973145593600733,-0.0004682823990911129,0.0,0.001721075314636447,0.0,0.0005694160832288017,0.0016825920732854306,0.0,0.0,0.0,0.0,-0.0021862902486318877,0.0020459124680641625,-0.0012145652829219549,0.0,0.0,0.0,0.01566748116629719,0.0042813200805713065,0.0022746467832016363,0.07808598338992806,0.0047622157611736495,-0.034459237361269546,0.03595685172162009,0.023599546382830107,0.0,0.0
23,0.0,0.01127369922013512,0.0,0.0,0.0063197567392380884,0.0,0.0005453624064158944,0.0016123659371835594,0.0,0.0,0.0,0.0,0.0,0.0022856537765131944,0.0,0.0,0.0,0.0,0.015423965307821953,0.00553676257490424,-0.014614405093635739,0.06927933983695063,0.003994857077782116,-0.03110395133641438,0.027128306462733814,0.0031007333656449775,-0.010723822360857652,0.0
24,0.0,0.016566349465602016,0.0,0.0,0.006464641829233328,0.0,0.00038948321693594326,0.0015750343935367695,0.0,0.0,0.0,0.0,0.0,0.0021761736091541303,0.0,-0.0002836685460284629,0.0,0.0,0.016017859135768517,0.004096707493101521,-0.02720807518708836,0.08858947109972144,0.004723112770774518,0.0,0.03327437325206579,0.025813263178690888,-0.001395099513858867,0.0
25,0.0,0.016432521097803514,0.0,-0.0012474168089921054,0.007450984058897966,0.0,0.0002963118588256047,0.0014364678401543503,-0.0017858303395923126,0.0,0.0,0.0,0.0,0.0023436084354342855,0.0,0.0,0.0,-0.0024231327721147677,0.01546819486034195,0.0057852938667845724,0.007577554562964374,0.11464505089199883,0.004791663866031835,0.0,0.034858288043731395,0.018976059087933057,0.0,0.0
26,0.0,0.015602468779914398,0.0,-0.004738261126718732,0.007729329363000164,-0.0012106878889301936,0.00023856616564499724,0.0013676106021094083,-0.0011393458115697159,0.0,-0.007566718554605931,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035919341822907382,0.015367665255898999,0.00568266047071912,0.0012410014482645282,0.10578624190394254,0.0022793047093458436,0.0,0.01879306289659797,0.018451708353600157,0.0,0.0
27,0.0,0.01638432085816278,0.0,0.0,0.00759712830204123,0.0,0.00040934569512976395,0.0015744897178771664,0.0,0.0,0.0,0.0,0.0,0.002319356668658569,0.0,-0.002500448094107642,0.0,-0.0010191169672055548,0.0157707694498189,0.005392793158035344,-0.003035640045011872,0.04409820840064771,0.004865525912155258,-0.039857596088719555,0.02326800195017397,0.02047713593408494,0.0,0.0
28,0.0,0.016370367592731472,0.0,0.0,0.007041173029013741,-0.0026920213300234267,0.0002988091109752045,0.001433344111251688,-0.001965553238026478,0.0,-0.003088492049855289,0.0,0.0,0.00022742484904895164,0.0,0.0,0.0,0.0,0.015641602718636384,0.005992673836678147,-0.004883648977310961,0.10745042441543198,0.0030914873437625973,0.0,0.035918456161784094,0.023956024764512602,0.0,0.0
29,0.0,0.01585201497125371,0.0,0.0,0.007306649794382579,-0.00012537586552001644,0.0005687349046878473,0.000531379861047065,0.0,0.0,0.0,0.0,-0.0009191204564712013,0.0023389594512575563,0.0,0.0,0.0,0.0,0.016094572793219773,-0.0008178705635953024,0.007428727826588625,-0.006024743430662512,0.004560396246139944,0.0,0.028516059259634435,0.007481346691817605,0.0,-0.0005004031621639807
30,0.0,0.01750556613910847,-0.00022833559423667192,-0.005076907413157671,0.00520349583542354,0.0,0.00029769927573521045,0.001513166971704432,-0.0025354967967893684,0.0,0.0,0.0,-0.00022724826620236456,-0.006318746645220474,0.0,0.0,0.0,0.0,0.015622565354446885,0.005846702239699087,0.007188095555531687,0.11246421008502182,0.003810907096814733,0.0,0.035963092391309015,0.023125073753328344,0.0,0.0
31,0.0,0.017250215225401048,-0.0038539256388340822,0.0,0.006228230642500126,0.0,-0.0034761237159578262,-0.0016753100542556349,0.0,0.0,0.0,0.0,0.0,0.0022687111587354545,0.0,0.0,0.0,-0.0018168669128268524,0.014917850397275124,0.005974151458128247,-0.010621889503838333,0.10488216842785147,0.0048758068898821765,0.0,0.03562405109334523,0.024582986041255382,0.0,0.0
32,0.0,0.015132685757519065,-0.0003748702698339348,0.0,0.006992092668528714,0.0,0.000374589879606142,0.0016680602617722843,-0.0002758829469075914,0.0,0.0,0.0,0.0,0.002336357038423613,-7.674437697275258e-05,0.0,0.0,0.0,0.008955717635733874,0.006609786467206156,0.006150199358066995,-0.010949368620199613,0.004764075577925826,-0.10645567383181395,0.03488624270029083,0.023739614274184754,-0.001886220203563889,0.0
33,-0.00016219840043527002,0.016006302543547152,0.0,0.0,0.007648505742109936,0.0,0.00035334551254254305,0.0016110528959781298,0.0,-0.0023942263370498916,-0.002694471536440016,0.0,0.0,0.0007067252213791659,0.0,0.0,0.0,0.0,0.015487227345951083,0.005838985840676463,0.0023300077548657054,0.05717101700379211,0.0047128540957018725,-0.05352516609154872,0.0215576332008782,0.014910392430243776,0.0,0.0
34,0.0,0.014685663450656222,0.0,0.0,0.007194151193606047,0.0,0.0005067848139399107,0.0016083611926485139,0.0,0.0,0.0,0.0,0.0,0.002327435727848755,0.0,-0.001843313620173097,0.0,0.0,0.010597909316582816,0.005952535275381579,0.0031709826163599576,0.1117471452370069,0.004785581817074047,0.0,0.03684190443446681,0.023718808788279436,-0.0031278935498770684,0.0
35,0.0,0.016702831980874126,-0.0009263340270281158,0.0,0.006096251851028498,-0.007380452792367761,-0.0012818055200551153,0.0015866409910381713,0.0,0.0,0.0,0.0,-0.0027445024479021475,-0.002693335698607864,0.0,0.0,0.0,0.0,0.016167376503576636,-0.0032927813899850046,0.006831619130042075,0.11105464797249429,0.004869217165620217,0.0,0.02469880013473741,0.018301465732677345,-0.0012967455960208056,0.0
