outer_repetition,seed,method,seller_fraction,selected_sellers,selected_rows,matched_budget,native_count,overlap,jaccard,exact_match,selected_features,selected_labels
1,20260908,去随机化Knockoff,0.7,1573,7833,12,14,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_name_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品标题长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
1,20260908,Elastic Net,0.7,1573,7833,12,18,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|dominant_customer_state_share,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、第一大买家州占比
1,20260908,稳定性选择,0.7,1573,7833,12,11,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_ship_days|avg_estimate_gap_days|category_count|unique_customer_count|dominant_customer_state_share|avg_distance_km|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均审核至承运天数、平均预计提前送达天数、活跃品类数、独立顾客数、第一大买家州占比、平均卖家-买家距离、卖家所在州频率
1,20260908,影子变量树模型,0.7,1573,7833,12,8,10,0.7142857142857143,False,avg_price|avg_product_weight_g|avg_product_width_cm|avg_product_photos_qty|avg_payment_installments|avg_ship_days|item_count|order_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均商品重量、平均商品宽度、平均商品图片数、平均支付分期期数、平均审核至承运天数、成交件数、成交订单数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
1,20260908,XGBoost-SHAP,0.7,1573,7833,12,12,10,0.7142857142857143,False,avg_price|avg_freight|avg_product_height_cm|avg_payment_installments|avg_delivery_days|avg_approval_days|avg_ship_days|avg_estimate_gap_days|order_count|unique_customer_count|buyer_state_diversity|interstate_ratio,平均商品价格、平均运费、平均商品高度、平均支付分期期数、平均下单至送达天数、平均下单至审核天数、平均审核至承运天数、平均预计提前送达天数、成交订单数、独立顾客数、买家州数量、跨州交易占比
2,20270908,去随机化Knockoff,0.7,1573,7744,12,11,11,0.8461538461538461,False,avg_price|avg_product_name_length|avg_product_description_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|interstate_ratio|seller_state_frequency,平均商品价格、平均商品标题长度、平均商品描述长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、跨州交易占比、卖家所在州频率
2,20270908,Elastic Net,0.7,1573,7744,12,20,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_name_length|avg_product_description_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品标题长度、平均商品描述长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、第一大买家州占比、卖家所在州频率
2,20270908,稳定性选择,0.7,1573,7744,12,12,11,0.8461538461538461,False,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_review_score|avg_ship_days|avg_estimate_gap_days|category_count|unique_customer_count|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均评价得分、平均审核至承运天数、平均预计提前送达天数、活跃品类数、独立顾客数、第一大买家州占比、卖家所在州频率
2,20270908,影子变量树模型,0.7,1573,7744,12,8,11,0.8461538461538461,False,avg_price|avg_product_width_cm|avg_product_photos_qty|avg_product_description_length|avg_payment_installments|avg_ship_days|item_count|order_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均商品宽度、平均商品图片数、平均商品描述长度、平均支付分期期数、平均审核至承运天数、成交件数、成交订单数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
2,20270908,XGBoost-SHAP,0.7,1573,7744,12,12,10,0.7142857142857143,False,avg_price|avg_freight|avg_product_name_length|avg_product_description_length|avg_delivery_days|avg_approval_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|unique_customer_count|buyer_state_diversity,平均商品价格、平均运费、平均商品标题长度、平均商品描述长度、平均下单至送达天数、平均下单至审核天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、独立顾客数、买家州数量
