week,gmv,active_sellers,orders
2017-01-02,3114.96,13,44
2017-01-09,10969.66,31,73
2017-01-16,23316.8,85,189
2017-01-23,53679.159999999996,163,336
2017-01-30,68718.18,186,436
2017-02-06,75998.99,218,513
2017-02-13,51034.99,177,383
2017-02-20,42722.94,179,352
2017-02-27,67456.1,205,461
2017-03-06,73088.13,213,549
2017-03-13,93489.27,246,592
2017-03-20,83894.51,251,626
2017-03-27,84255.28,239,549
2017-04-03,87708.88,240,567
2017-04-10,55773.1,205,423
2017-04-17,83866.63,252,551
2017-04-24,86802.71,251,648
2017-05-01,96876.15,287,755
2017-05-08,109165.93,291,759
2017-05-15,120270.33,320,927
2017-05-22,112627.81,299,765
2017-05-29,112409.52,285,809
2017-06-05,105620.36,298,824
2017-06-12,99926.44,277,731
2017-06-19,85321.24,255,640
2017-06-26,91698.75,288,710
2017-07-03,103260.54,301,809
2017-07-10,111456.39,326,942
2017-07-17,119201.84,323,950
2017-07-24,108054.65,308,911
2017-07-31,116988.69,351,964
2017-08-07,125458.24,360,924
2017-08-14,121450.26,361,1023
2017-08-21,104198.86,358,881
2017-08-28,177090.57,357,991
2017-09-04,130611.8,360,888
2017-09-11,156035.52,411,1152
2017-09-18,124943.0,346,964
2017-09-25,140357.1,362,934
2017-10-02,141310.27,394,988
2017-10-09,147817.69,394,1047
2017-10-16,161839.46,417,1126
2017-10-23,136068.59,373,964
2017-10-30,141792.88,354,916
2017-11-06,154399.01,432,1185
2017-11-13,171959.43,470,1276
2017-11-20,397906.24,626,2949
2017-11-27,263421.92,589,2073
2017-12-04,217090.29,494,1651
2017-12-11,185623.79,468,1384
2017-12-18,125420.25,373,959
2017-12-25,99337.91,316,864
2018-01-01,178664.52,466,1369
2018-01-08,232693.31,510,1763
2018-01-15,214068.21,534,1727
2018-01-22,208363.75,507,1573
2018-01-29,193936.25,513,1580
2018-02-05,200137.44,475,1549
2018-02-12,189658.76,531,1609
2018-02-19,205898.6,522,1725
2018-02-26,254806.54,539,1866
2018-03-05,221494.72,524,1612
2018-03-12,210871.98,527,1554
2018-03-19,223658.45,551,1702
2018-03-26,198739.48,533,1461
2018-04-02,222233.8,593,1581
2018-04-09,227163.88,583,1547
2018-04-16,227918.23,586,1677
2018-04-23,232460.91,597,1681
2018-04-30,239882.91,606,1758
2018-05-07,289594.78,652,1976
2018-05-14,255109.08000000002,632,1839
2018-05-21,132510.93,425,957
2018-05-28,181263.13,469,1099
2018-06-04,202581.64,566,1452
2018-06-11,218937.6,600,1529
2018-06-18,190414.07,567,1461
2018-06-25,182417.52,581,1408
2018-07-02,154236.02,520,1194
2018-07-09,153465.37,461,983
2018-07-16,217457.2,635,1673
2018-07-23,236498.42,671,1649
2018-07-30,271314.44,736,2034
