feature,label_zh,mean_abs_shap,mean_shap
unique_customer_count,独立顾客数,0.63643223,-0.0686804
order_count,成交订单数,0.3415087,-0.04534171
avg_price,平均商品价格,0.2167012,-0.00021970329
avg_ship_days,平均审核至承运天数,0.10013078,0.017562408
buyer_state_diversity,买家州数量,0.06847775,-0.013478123
avg_product_weight_g,平均商品重量,0.0590524,0.010416762
avg_product_name_length,平均商品标题长度,0.05688236,0.009294759
avg_product_width_cm,平均商品宽度,0.05459247,-0.0045483885
avg_distance_km,平均卖家-买家距离,0.05187006,0.0067517767
avg_product_height_cm,平均商品高度,0.046974305,-0.0009864753
avg_delivery_days,平均下单至送达天数,0.03659369,-0.012132201
avg_product_length_cm,平均商品长度,0.030037547,-0.0005736405
avg_product_description_length,平均商品描述长度,0.0275906,0.0013865561
item_count,成交件数,0.020591237,-0.0031591186
avg_freight,平均运费,0.019262234,-0.005205664
seller_state_frequency,卖家所在州频率,0.018243743,0.00031735882
dominant_customer_state_share,第一大买家州占比,0.017307231,-0.0012338236
avg_estimate_gap_days,平均预计提前送达天数,0.016580842,0.0026983153
category_count,活跃品类数,0.015073357,0.0068370155
avg_review_score,平均评价得分,0.014269193,-0.0010199832
avg_product_photos_qty,平均商品图片数,0.013862738,0.00037908665
voucher_ratio,代金券支付占比,0.008306417,0.00094557914
interstate_ratio,跨州交易占比,0.0075525874,0.002387524
avg_payment_installments,平均支付分期期数,0.00685048,0.000103080034
avg_approval_days,平均下单至审核天数,0.006249813,-0.00048129458
avg_payment_sequential,平均支付序列数,0.0031562964,0.00029411225
credit_card_ratio,信用卡支付占比,0.0024853551,-4.5592657e-05
boleto_ratio,Boleto支付占比,0.0016659203,-0.00024847797
debit_card_ratio,借记卡支付占比,0.0,0.0
marketing_origin_frequency,营销来源频率,0.0,0.0
has_marketing_deal,是否匹配营销成交线索,0.0,0.0
