feature,label_zh,n,missing_rate,mean,std,p25,median,p75,min,max,spearman_next_gmv
avg_price,平均商品价格,14677,0.0,158.07998820375485,258.19518163077686,49.9,90.25571428571428,161.9,0.85,6735.0,0.20054074608927824
avg_freight,平均运费,14677,0.0,22.586145488731802,18.366748385949986,14.52,17.696111111111108,23.312,0.03,375.28,0.094495097854749
avg_product_weight_g,平均商品重量,14676,6.813381481229134e-05,2534.012187384844,4295.327601628423,400.0,900.0,2463.5416666666665,2.0,30000.0,0.11569252085623229
avg_product_length_cm,平均商品长度,14676,6.813381481229134e-05,31.298382239729253,16.55070810618088,19.79736842105263,26.0,38.0,8.0,105.0,0.06841298011176443
avg_product_height_cm,平均商品高度,14676,6.813381481229134e-05,17.637655695369755,13.436136978323061,9.186079545454545,14.25,21.753676470588236,2.0,105.0,0.07790195984118341
avg_product_width_cm,平均商品宽度,14676,6.813381481229134e-05,23.293468890638536,11.277069883597196,15.2,20.0,28.61233108108108,6.0,104.0,0.08348837845413724
avg_product_photos_qty,平均商品图片数,14459,0.014853171629079513,2.280254335495835,1.591795913825658,1.0,2.0,3.0,1.0,17.5,0.07472229559781807
avg_product_name_length,平均商品标题长度,14459,0.014853171629079513,47.30706520361462,9.60226541982777,41.417635658914726,49.094339622641506,55.0,7.0,64.0,0.07605019048800422
avg_product_description_length,平均商品描述长度,14459,0.014853171629079513,841.5057988825432,631.3322368688721,413.68333333333334,670.5,1072.0,4.0,3992.0,0.07396642346857066
avg_payment_installments,平均支付分期期数,14677,0.0,3.1264183782607455,2.2819398248918885,1.3333333333333333,2.5,4.0,1.0,24.0,0.16989280419817718
avg_payment_sequential,平均支付序列数,14677,0.0,1.0262498387833152,0.14553515538119513,1.0,1.0,1.0,1.0,7.5,0.22672448789336658
credit_card_ratio,信用卡支付占比,14677,0.0,0.7589323676004608,0.3039299850361895,0.6304073397273892,0.8571428571428571,1.0,0.0,1.0,-0.1250170381482039
boleto_ratio,Boleto支付占比,14677,0.0,0.19411842904528565,0.2850429159220045,0.0,0.0,0.3,0.0,1.0,0.16445375895561773
voucher_ratio,代金券支付占比,14677,0.0,0.03255235514760446,0.11879138977876517,0.0,0.0,0.0,0.0,1.0,0.22127489898955255
debit_card_ratio,借记卡支付占比,14677,0.0,0.014396848206649092,0.0859430865535644,0.0,0.0,0.0,0.0,1.0,0.16953545712853976
avg_review_score,平均评价得分,14653,0.0016352115554949921,4.1619330540894826,0.960482911990511,3.875,4.4,5.0,1.0,5.0,-0.120547920162708
avg_delivery_days,平均下单至送达天数,14674,0.00020440144443687402,12.747973303152,8.174218388046343,8.101785300925926,11.261511541923868,15.40165027006173,0.9359837962962962,191.46354166666663,0.07353078542154944
avg_approval_days,平均下单至审核天数,14676,6.813381481229134e-05,0.42449929951672716,0.585914015079569,0.01355227623456785,0.2533577967171717,0.5968103409900285,0.0,12.137037037037038,0.17232490101625253
avg_ship_days,平均审核至承运天数,14600,0.005246303740546433,3.014794144170308,3.4311361099750273,1.1906539351851853,2.031682002314815,3.53058134778097,0.0014814814814814,48.90704861111111,-0.018108799962019462
avg_estimate_gap_days,平均预计提前送达天数,14674,0.00020440144443687402,11.98189967950646,9.114050769153309,8.127335069444444,12.076302083333331,16.12735785590278,-175.8691087962963,139.39739583333332,0.0005580064887999692
item_count,成交件数,14677,0.0,6.999931866185188,14.79818584034648,1.0,3.0,7.0,1.0,358.0,0.549505166669328
order_count,成交订单数,14677,0.0,6.205559719288683,12.948197589554,1.0,2.0,6.0,1.0,271.0,0.5716874369185427
category_count,活跃品类数,14677,0.0,1.4795939224637187,1.1144366698102877,1.0,1.0,2.0,0.0,17.0,0.3305751357555599
unique_customer_count,独立顾客数,14677,0.0,6.173332424882469,12.850427468413356,1.0,2.0,6.0,1.0,268.0,0.5720902196792312
buyer_state_diversity,买家州数量,14677,0.0,2.9593922463718743,2.7468086214386815,1.0,2.0,4.0,1.0,22.0,0.5509805344878204
dominant_customer_state_share,第一大买家州占比,14677,0.0,0.6867592816818273,0.2769425037336932,0.4705882352941176,0.6666666666666666,1.0,0.1,1.0,-0.44267266484724904
interstate_ratio,跨州交易占比,14677,0.0,0.6736107100798525,0.35680650876338477,0.5,0.75,1.0,0.0,1.0,-0.08135122874769453
avg_distance_km,平均卖家-买家距离,14617,0.004088028888737481,626.9006018620615,460.6580790089276,340.13698941631714,534.1007639863195,798.5328266080564,0.0,3343.136268501934,0.08826996397592883
seller_state_frequency,卖家所在州频率,14677,0.0,0.39322668428386237,0.2573652248169441,0.0788368336025848,0.5974151857835218,0.5974151857835218,0.0003231017770597,0.5974151857835218,0.0511421842975432
marketing_origin_frequency,营销来源频率,14677,0.0,0.01165869961841772,0.05396359764996517,0.0,0.0,0.0,0.0,0.3272946859903382,-0.04007282195779426
has_marketing_deal,是否匹配营销成交线索,14677,0.0,0.05300810792396266,0.2240572892130333,0.0,0.0,0.0,0.0,1.0,-0.04173783302472779
