year_month,gmv,seller_months,active_sellers,orders,next_month_gmv
2017-01,111798.36,219,219,754,133555.2
2017-02,234223.4,402,402,1666,280511.04
2017-03,359198.85,476,476,2551,285819.6
2017-04,340669.68,488,488,2321,407332.48
2017-05,489338.25,563,563,3578,361922.75
2017-06,421923.37,519,519,3160,425738.29
2017-07,481604.52,593,593,3940,450436.35
2017-08,554699.7,683,683,4253,533751.49
2017-09,607399.67,711,711,4196,548662.84
2017-10,648247.65,762,762,4547,819177.54
2017-11,987765.37,937,937,7386,660941.56
2017-12,726033.1900000001,846,846,5575,785760.74
2018-01,924645.0,956,956,7182,740723.92
2018-02,826437.13,928,928,6607,830584.72
2018-03,953356.25,981,981,7096,827666.41
2018-04,973534.09,1105,1105,6931,877730.06
2018-05,977544.6900000001,1105,1105,6863,741668.07
2018-06,856077.86,1165,1165,6213,712839.71
2018-07,867953.46,1238,1238,6260,701631.22
