feature,label_zh,mean_abs_shap,mean_shap
order_count,成交订单数,0.543993,-0.07159781
unique_customer_count,独立顾客数,0.5297048,-0.064426765
avg_price,平均商品价格,0.35045493,0.014792367
avg_ship_days,平均审核至承运天数,0.14658344,0.05606588
buyer_state_diversity,买家州数量,0.13586438,-0.026887413
avg_estimate_gap_days,平均预计提前送达天数,0.087822564,0.036867872
avg_product_name_length,平均商品标题长度,0.06449037,0.008057365
seller_state_frequency,卖家所在州频率,0.0625461,0.0031585793
avg_freight,平均运费,0.054197263,-0.023184365
avg_product_description_length,平均商品描述长度,0.052632984,0.0005944062
avg_delivery_days,平均下单至送达天数,0.044946328,-0.022787519
item_count,成交件数,0.04111993,-0.006342083
avg_product_height_cm,平均商品高度,0.034840338,0.0020279665
avg_approval_days,平均下单至审核天数,0.03319833,0.012207493
avg_product_weight_g,平均商品重量,0.029433437,0.009091404
dominant_customer_state_share,第一大买家州占比,0.028998513,-0.004079463
avg_distance_km,平均卖家-买家距离,0.024959378,-0.003609359
interstate_ratio,跨州交易占比,0.024300963,0.008309271
avg_product_length_cm,平均商品长度,0.022158949,-0.0010748797
avg_payment_installments,平均支付分期期数,0.018783016,0.00010087245
avg_product_width_cm,平均商品宽度,0.015491987,0.0019503522
category_count,活跃品类数,0.013239477,0.008604298
avg_review_score,平均评价得分,0.012447094,0.002006094
avg_product_photos_qty,平均商品图片数,0.0102560315,0.00066162477
voucher_ratio,代金券支付占比,0.0076015117,-0.0010823868
credit_card_ratio,信用卡支付占比,0.0064161415,2.895661e-05
avg_payment_sequential,平均支付序列数,0.0053351684,-0.0004398138
boleto_ratio,Boleto支付占比,0.0031915505,1.9878905e-07
debit_card_ratio,借记卡支付占比,0.00030152232,8.572908e-05
marketing_origin_frequency,营销来源频率,0.0,0.0
has_marketing_deal,是否匹配营销成交线索,0.0,0.0
