repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km,seller_state_frequency,marketing_origin_frequency,has_marketing_deal
0,0.39809602,0.14073917,-0.04442459,0.015425378,0.087365836,0.0067999903,-0.03145248,0.033973392,0.044678196,-0.004571436,0.010796617,-0.003947017,-0.0016939136,0.0,0.016983813,-0.021094162,0.0702673,-0.009361753,0.19517525,0.09079323,0.08550675,0.028376868,0.037600283,1.2185479,0.0,0.2128955,-0.021499654,0.0053309356,0.028022116,0.0,0.013634275
1,0.39886105,0.1530032,-0.010580441,0.0066329725,0.043827225,-0.041209407,-0.0065746447,0.08309685,0.0383554,0.0049143005,-0.015644647,0.001253104,-0.018072205,-0.010480024,-0.026096422,-0.03482082,0.06841623,0.0017628834,0.18699703,0.053791814,0.08595409,0.04980683,0.023598757,1.1610703,-0.023175828,0.22824961,0.006981488,-0.011813697,0.043640837,-0.0053899824,0.0045390055
2,0.4088255,0.13844487,-0.027269311,0.012276814,0.07265924,-0.05206881,-0.029455477,0.08141397,0.047853816,0.0111454865,0.002479746,0.001977329,-0.00981865,-0.014853038,-0.024395103,0.0026056059,0.093356185,-0.022485595,0.2001993,0.096715346,0.08709498,0.030963121,0.08402408,1.1349103,-0.007754395,0.20247617,-0.01357006,-0.0201615,0.04355285,0.0050662803,-0.022885721
3,0.3802236,0.14237174,-0.006794192,0.018264074,0.058223225,0.0019450771,-0.014922765,0.073184244,0.04033622,0.016503422,0.008359879,-0.02495969,0.009664306,0.0,0.01886442,0.020558584,0.06648081,-0.008509516,0.152733,0.08601198,0.08831403,0.040531736,0.06359687,1.1244661,-0.031958915,0.20747203,-0.005979808,0.012856785,0.0433626,0.0,0.0077032633
4,0.39100307,0.1364359,-0.015100742,0.00959188,0.07202236,-0.0522977,-0.023858763,0.08896552,0.029872512,0.0009459633,0.011510027,-0.007637718,-0.0040088,-0.005061973,0.01783263,0.026600147,0.08661961,-0.0028079916,0.2050518,0.09378574,0.10220587,0.04942933,0.06781421,1.178352,0.0,0.24487433,0.0,-0.011636991,0.04296364,0.0,0.0010529831
5,0.39040875,0.13771452,-0.065800585,0.009887949,0.083382584,-0.01105682,-0.0065743197,0.08439008,0.035431385,0.004607901,0.0033758841,-0.042792387,0.0,0.0,0.00041389,0.015954904,0.05264681,-0.022096572,0.18790749,0.072106406,0.09575345,-0.0326173,0.07554818,1.0538431,0.0,0.24983335,-0.0012528013,0.000631816,0.04057689,0.0,-0.015966797
6,0.42400813,0.10403727,-0.0012390595,0.030184533,0.08271312,0.0020370623,0.004817678,0.080409005,0.0439619,-0.034936413,0.010627999,0.0,0.0013040577,0.0,0.016601827,-0.0032689348,0.07813326,0.0010552695,0.189684,0.09199704,0.09602992,0.005115088,0.041600212,1.150822,-0.023711065,0.18619847,-0.0266437,0.0,0.021139799,0.0,0.0023057414
7,0.3772906,0.12649623,-0.016313743,0.017365482,0.07056392,-0.019724667,-0.0101010455,0.07344281,0.04019468,0.0,0.0078938585,-0.058716454,-0.0439956,-0.000827387,-0.036252547,-0.0096300915,0.07193654,-0.0059132567,0.17782867,0.09709537,0.091884635,-0.0033539943,0.07569292,1.1904566,0.0,0.2121539,-0.01378189,0.0,0.033478968,0.0,0.010204146
8,0.40622106,0.14556397,0.010307575,0.030337518,0.06099703,-0.017512975,-0.0062365877,0.08323687,0.041106563,0.010993978,0.013579045,-0.03284508,-0.01597354,-0.00020308688,-0.017239207,0.015526527,0.06795124,0.00013190634,0.16568437,0.041961774,0.09655786,0.032446444,0.038669787,1.1332661,-0.047050055,0.25431272,-0.012369026,-0.009516399,0.04333568,-0.060973335,0.022473847
9,0.35604918,0.15211952,-0.033892807,0.01055595,0.06294685,-0.0081845205,-0.011199326,0.082085066,0.032933973,-0.01613241,0.018301668,0.0,-0.0010533631,-0.000924794,0.011015406,0.013101958,0.03286879,-0.031531654,0.18449698,0.08516109,0.08957052,0.087494634,0.061462108,1.12956,-0.0076535307,0.19511454,-0.016631456,0.0,0.027694406,0.0,0.00540993
10,0.4119031,0.12747374,0.012439825,0.020849336,0.06564087,0.004102368,0.0002479062,0.081442975,0.03155896,-0.0069268346,0.0,-0.0039488194,-0.012938774,-0.032854166,-0.028932093,0.023050612,0.08385951,-0.01780064,0.19645293,0.09995471,0.10029216,0.055914264,0.06425509,1.149523,0.0,0.22776455,-0.00035038375,0.003953648,0.0122583825,-0.077697806,0.07064299
11,0.40333813,0.090660095,0.015304206,0.009833202,0.07623754,0.010737927,-0.016078973,0.07817282,0.03494686,0.014461218,0.008009981,-0.0029547876,0.0,-0.013976366,-0.039008755,0.012582686,0.076640286,-0.0176502,0.17962229,0.095516436,0.038322963,0.015117655,0.074043304,1.2013509,0.0,0.22285002,-0.016640581,0.0,0.029834332,0.0,0.009992474
12,0.36519495,0.11581828,-0.012828037,-0.0019215913,0.071840234,-0.019965488,-0.02483008,0.08554692,0.04775248,0.0142417485,0.010631984,0.0027502729,0.0,0.0052079097,-0.03884965,-0.020720232,0.053709835,-0.017995302,0.17949294,0.05588787,0.08123999,0.046119798,0.08796418,1.1004573,-0.024699077,0.20791309,-0.021890614,-0.00038361317,0.048202664,-0.057337433,0.01145076
13,0.40728918,0.11445216,0.012376914,0.024469202,0.06834577,-0.0072923102,-0.005285168,0.07734502,0.035015255,0.010272728,-0.0020995047,-0.0015177623,-0.008104362,0.0081224535,-0.03027852,-0.0064145997,0.08732125,-0.00028040123,0.19630553,0.056858014,0.024713367,0.0521124,0.061184525,1.1685078,-0.07196846,0.13455072,-0.009987135,-0.014820211,0.042592026,0.0,0.009165901
14,0.40029955,0.1269445,0.004778383,0.012569789,0.07430521,0.018274203,-0.007824654,0.0793456,0.042722326,-0.005670284,0.0035878513,-0.016903423,0.0,-0.006386596,0.023672096,0.020649316,0.089022174,-0.02285895,0.17164615,0.09444513,0.09758573,0.05134016,0.0796199,1.1550733,0.0,0.2539126,-0.0043124775,0.00039759662,0.0021127686,-0.041324455,-0.034571633
15,0.3930428,0.15845855,-0.0021582376,-0.00960552,0.06253901,-0.0256476,-0.001917524,0.06602073,0.031451274,-0.010952332,-0.015919603,-0.0030025104,0.0,-0.033142123,-0.026777377,0.009521289,0.06671769,0.0,0.1970758,0.09569977,0.091093116,0.032731712,0.06798182,1.183967,0.0,0.19446957,-0.0101760365,0.012727718,0.039029878,-0.0055435873,0.011848429
16,0.3982029,0.09428249,0.012324124,0.026114628,0.03969866,0.009910011,0.0,0.08426666,-0.012366898,-0.044062935,0.00838281,0.0,0.007918799,-0.013204478,-0.010315983,0.0010315003,0.09805513,0.0,0.195645,0.0646285,0.039596714,0.010288607,0.07896319,1.1749427,-0.058487702,0.21674292,-0.01146654,0.0,0.038175408,0.0,0.002226837
17,0.41669345,0.08075753,-0.01719496,-0.020708838,0.038292438,0.013703783,-0.006162623,0.06654208,0.039174218,0.0064496966,-0.05343279,-0.0032247338,-0.011405713,-0.08922138,-0.032716174,0.012824283,0.031926595,0.0,0.16277984,0.07311096,0.10288612,0.03523141,0.06455665,1.1592976,-0.034943283,0.17089127,-0.015519679,-0.037777603,0.038468808,0.0,0.0067064213
18,0.38004816,0.15743066,-0.0041931435,0.011829423,0.062428713,-0.029014982,0.0,0.06139438,-0.029357497,0.0028708242,0.010294898,0.0007563533,-0.017068926,0.0,-0.032907538,0.015400811,0.05182226,0.0036539086,0.19475247,0.0789779,0.08232919,0.01784508,0.05993188,1.1683291,-0.021946236,0.22286142,-0.02498216,0.0,0.031812362,0.0,0.00761671
19,0.35103726,0.16057846,-0.043922506,-0.006259039,0.0406477,-0.038693395,-0.013470078,0.079995416,0.038482964,-0.019510273,0.011747804,0.0,0.0,0.00024026725,-0.024333756,-0.01267553,0.093498066,0.0,0.19051412,0.103264615,0.09361895,0.02786207,0.07776722,1.1270963,-0.015610195,0.22787344,-0.005647934,-0.043003455,0.013296664,-0.018512052,-0.0071018613
20,0.36805385,0.16205956,0.011976048,0.0010024644,0.031510178,-0.00042381068,0.0013525991,0.07681197,0.03536039,-0.0074264626,-0.0011738874,-0.05387355,-0.04026798,0.005033154,0.014118263,0.0067740325,0.05475411,0.0,0.19557577,0.085784964,0.09509467,0.050918937,0.07283186,1.1664776,-0.01482874,0.20980212,0.0,-0.003353351,0.007399006,0.0,0.00246019
21,0.40508834,0.14952807,0.0135411555,0.013007613,0.06747413,0.0033748678,-0.0012289362,0.0812061,0.0348269,0.007655368,-0.021236114,0.010781778,0.00075255666,-0.046407532,0.02820007,-0.00087505206,0.069367915,-0.030684626,0.1870609,0.10239133,0.094829835,0.026558205,0.07795053,1.1630417,0.0,0.2548484,-0.036857676,0.0,0.030299157,-0.0051933094,-0.0035082288
22,0.4026413,0.14230153,-0.010230149,-0.005380798,0.070915416,-0.036193192,-0.0026986846,0.07072362,0.040774226,-0.02558726,0.006503221,-0.002302574,0.0,-0.028676573,-0.03864278,0.02339952,0.0625767,-0.055344637,0.1928845,0.07546431,0.08140837,0.025088087,0.067529306,1.2027987,0.0,0.20073903,-0.04641139,-0.0278858,0.034640126,0.0,0.005290025
23,0.41497892,0.108893156,0.014822863,0.008499913,0.06660348,-0.009604711,-0.008827954,0.044679485,0.033482783,0.019642653,0.013133657,-0.025360279,0.0033899373,0.0,0.01868344,0.02158245,0.0833514,0.00062031485,0.19086097,0.092195146,0.064365044,0.062934875,0.0661229,1.1476812,-0.032422952,0.21024355,-0.015071923,-0.032512177,0.030089714,-0.004448952,-0.0080252215
24,0.40035865,0.10877915,0.0070737693,0.0023902562,0.075574145,-0.0152697135,-0.0035321505,0.03608939,0.037973862,0.0016809446,0.00860576,0.0,-0.011887363,0.002632467,0.024764048,0.013621321,0.097233236,-0.004083688,0.20065702,0.08397207,0.08672668,0.042748425,0.060803074,1.1884468,-0.008948962,0.22907832,-0.0064724474,-0.019032536,0.033061225,0.0,0.0076814834
25,0.37681764,0.08876425,-0.020843796,-0.025042832,0.06938264,-0.02934281,-0.026856713,0.022720926,0.04172826,0.0,0.0,-0.024040794,0.0,-0.025481386,-0.028418439,0.0100561585,0.065213114,-0.012738775,0.19240783,0.09014719,0.04452546,0.08110417,0.08263469,1.1451347,0.0,0.20499524,0.005677068,-0.006831849,0.04941726,0.014629865,-0.039603833
26,0.37836933,0.1518099,0.013859194,0.01721738,0.050729115,-0.0006375642,-0.005399194,0.07844079,0.046731118,-0.033849634,-0.061389603,-0.014552382,-0.013736371,-0.045145754,-0.012045611,0.013721951,0.05395355,-0.020542318,0.173972,0.0550622,0.09804344,0.049261022,0.084911436,1.1476427,0.0,0.24724467,-0.014935186,0.0,0.04313662,-0.024802366,0.03519353
27,0.41555113,0.0683872,-0.0045076944,-0.0021209298,0.06640893,-0.014626954,-0.019394869,0.08645776,0.049019657,0.0111279,-0.04432692,0.0,0.0,0.013217975,0.01995186,0.015929954,0.04780456,-0.0010103305,0.16135198,0.084817335,0.101577014,0.036064416,0.07379776,1.1539251,-0.00193364,0.2301411,-0.011888957,-0.007015273,0.035005778,0.0,-0.013598293
