method,swap_ratio,swapped_features,mmd_rbf,mmd_permutation_p,classifier_auc,classifier_permutation_p
copula_mvr,0.1,3,0.0007352912775417941,1.0,0.6400428091265575,0.01
copula_mvr,0.3,9,0.0009515588910595785,0.82,0.7364996063528593,0.01
copula_mvr,0.5,16,0.0008940698347468246,0.95,0.7962100107495951,0.01
copula_mvr,0.7,22,0.0012596231507222555,0.49,0.8678282411542945,0.01
copula_mvr,1.0,31,0.0008668295514284718,0.91,0.8999208920649822,0.01
gaussian_mvr,0.1,3,0.0009108542500066985,0.87,0.8699242229254037,0.01
gaussian_mvr,0.3,9,0.0010390988406621116,0.69,0.9967457872185802,0.01
gaussian_mvr,0.5,16,0.0009256959769214923,0.84,1.0,0.01
gaussian_mvr,0.7,22,0.001019931106366334,0.81,0.9999952686641735,0.01
gaussian_mvr,1.0,31,0.0008169628139402807,0.92,1.0,0.01
deep_knockoff_raw,0.1,3,0.0010272962947037723,0.73,0.9525267225847477,0.01
deep_knockoff_raw,0.3,9,0.0013430981720465862,0.38,0.9999517403745705,0.01
deep_knockoff_raw,0.5,16,0.0012990563588861637,0.31,0.999993376129843,0.01
deep_knockoff_raw,0.7,22,0.001188486972106828,0.5,1.0,0.01
deep_knockoff_raw,1.0,31,0.0013365916194838512,0.29,1.0,0.01
deep_knockoff_calibrated,0.1,3,0.0009907767246879473,0.77,0.8649373949643446,0.01
deep_knockoff_calibrated,0.3,9,0.0011853701549802143,0.59,0.9458640554739662,0.01
deep_knockoff_calibrated,0.5,16,0.0010854116744209996,0.62,0.9526024239579707,0.01
deep_knockoff_calibrated,0.7,22,0.0011963341882970102,0.47,0.9395505609471756,0.01
deep_knockoff_calibrated,1.0,31,0.0010797182735911015,0.67,0.9089236778755166,0.01
