repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km,seller_state_frequency,marketing_origin_frequency,has_marketing_deal
1,0.008691314,-0.0010940828,0.0031330013,0.00041530933,0.0017818301,0.0010638228,0.0007122322,0.0014767316,0.0025031054,-0.0010627545,-1.9504689e-05,-0.0006039711,0.0006214315,-0.0001531993,-0.002757294,0.00043494813,0.0016009216,0.000712994,0.0036101807,0.00014271447,0.0030905409,0.23803717,0.0022897306,0.1992012,0.07724768,0.0010805386,-0.00029261084,0.0015520449,0.0011310605,0.000530025,-0.0012256945
2,0.012074362,0.00045705307,-0.0011250228,0.00075485837,-9.949319e-05,0.0026211697,-0.00046215067,0.0030207457,0.0037186332,0.0018017907,-0.00015488733,0.00072143367,0.0009943815,0.0015531583,0.0009367177,0.00086488854,-0.0012417678,-0.0006089993,0.003917678,0.0010905876,0.0077139945,0.24902089,0.0015069931,0.217001,0.02011296,-0.0032947003,-6.9793314e-05,-0.00032590935,0.0019309451,0.00083912304,-0.0011097272
3,0.010518521,0.00032515312,0.00051406305,0.0006144075,0.00018521771,0.0027960488,0.00028642593,0.0014772746,0.0040568225,0.00090659875,0.00094457157,0.00013251975,-0.00020225067,-0.0005263109,-0.0027400316,0.00043517724,0.00013000565,0.0011996073,0.0013090214,-0.003360407,0.013828825,0.30453634,0.00041963067,0.19228898,0.032308046,-0.0001655221,0.0012761084,-0.0012132595,0.0006538131,0.0004910608,-0.0007889238
4,0.011414271,0.0011876617,-0.0013048528,0.0021500047,0.0010030889,0.0020864666,0.002280116,0.002569688,0.005057304,0.00140682,0.0008501592,0.0006860141,-0.0054287035,0.0007515582,-0.0017284616,-0.00072397944,-0.00075969193,0.0014901343,0.004751934,-0.00020572776,0.013199922,0.20975445,-0.00018142397,0.2245868,0.06559502,0.00032260641,0.00029057031,0.0015664077,-0.00044147763,0.00044457894,0.0007815305
5,0.011390315,-0.0010269899,0.001064009,0.0011534505,-0.0011163792,0.0021317662,-4.8575457e-05,0.0038360693,0.003931671,-0.0005965857,0.0013594506,0.0010595373,-0.0021189745,-0.0006728894,-0.0010057148,0.0007229615,0.0004919614,-0.0005400968,0.0047079334,0.0013000709,0.005718717,0.28542352,0.0016619815,0.21940745,0.03245596,0.0012417897,0.0006778315,-0.0009661685,-0.00039342046,0.00032697245,0.00065851957
6,0.011537381,0.0012359256,0.0009469241,0.00046159653,0.0008312119,0.0016657347,-0.0008973023,0.002954048,0.0011637332,-0.001049283,0.0001807264,-0.00120713,-0.0001759883,0.00025292765,-0.00034096232,0.0013338607,-0.0003942796,-7.541338e-05,0.0020389305,0.0020714318,0.005140989,0.2978452,0.0020455453,0.16946238,0.02126963,0.0028629322,0.00070516765,-0.0013420354,0.0015469352,0.0029414506,7.976312e-06
7,0.012680327,0.0006761872,0.00046194252,0.0011677458,-0.0005947491,0.0016044942,-0.0002651359,0.0009190887,0.0039012711,0.0013110018,0.0008782251,0.00094487984,-0.00094829313,-0.0011241059,-0.001343268,0.0010707751,-0.00088606775,0.00038323458,0.0035923729,0.00011018757,0.00890888,0.2611143,0.0015349993,0.20652324,0.037478846,0.00084572006,-0.0026731882,-0.0021088463,0.0014400114,0.0027560615,0.0005178801
8,0.010778327,-0.0009966427,-0.0025615352,0.0015517492,-0.00095802685,0.0005332916,0.0013629873,0.0013551665,0.004503127,0.0009388784,-0.000399746,-0.0003756862,-0.0003438564,6.1258674e-05,-0.0012334273,-6.070826e-06,-0.0003246651,-0.00030552456,0.0032432014,0.00089712813,0.052846458,0.22528894,0.0032584919,0.21590108,0.037887476,0.014130421,0.0005168612,-0.0011028382,-0.0012024427,-0.0005307221,0.00078584533
9,0.012090886,-0.00027688965,0.0028054928,0.0011892696,0.0008082106,-0.00020090397,0.0021127649,0.002081534,0.003485871,-0.0006253002,0.0019902303,0.0009371699,0.0013228548,-0.0007380573,0.00038087554,0.0017705639,-0.00043781847,-0.00043408433,0.0032352335,0.00029524462,0.029556632,0.21589398,0.0016307081,0.20490031,0.016164636,0.00064316345,0.00035175588,-0.0015671086,0.0002263384,6.3193496e-05,0.0008399538
10,0.011114586,0.0006705751,0.0021323902,0.00074246153,0.0018214965,0.003012415,-0.0003259941,0.0015456742,0.005073533,0.0022820048,0.0006789062,0.0017055245,-0.0010421933,-0.0015324648,-0.0024333168,0.00096426485,0.0007545231,-0.0008742735,0.0037101675,-0.00055487687,-0.0042294525,0.21781579,0.00034016836,0.21677727,0.06778062,-0.00087118894,0.0015824605,-0.00071573583,0.0010561161,0.0017499514,0.0005672863
11,0.01183589,-0.00021558208,0.0010043238,0.0012734737,0.000907572,0.00019191299,0.00026242062,0.002044749,0.004267074,0.0018876866,-0.0013420093,0.0006747241,0.0007587187,-0.00034840265,0.00028816005,0.0007552267,-0.0015375265,0.00013068179,0.0037591914,-0.00031466037,0.0046694838,0.21435739,0.0013979636,0.25046086,0.013476567,0.0006090738,-0.00018027425,-0.0020389995,0.0009261584,0.0006331238,-0.00096489675
12,0.0112801315,-0.00094502047,5.2512623e-06,-0.0015305746,0.00078708585,-0.0011905502,-0.0005322667,0.0042998185,0.0051485198,0.00084624114,-0.0005666064,-0.00021925382,0.0005018469,-0.0008617118,0.0002815309,0.0016882052,-0.001490219,-0.00073208055,0.0014751321,0.0007457617,0.034972657,0.22113991,0.0015127207,0.21640156,0.035435487,0.00096400315,0.001247697,0.00052542053,0.00030212617,0.0013703601,-0.0018599946
13,0.00762558,-0.00058067497,0.0019372711,0.0009967801,-0.0016617551,0.0020370577,0.0018672924,0.0019688183,0.004362444,0.0015677847,0.0008353791,-0.0007463414,-0.00041538244,0.0002510571,-0.0009594001,0.0019176826,-0.0038071694,-0.0002356018,0.003452545,-0.0014058943,0.0017062677,0.27573,0.0011888128,0.22497116,0.02299416,-0.0005770931,0.0012445799,0.00062676426,-0.00032274518,-0.0010712254,0.00017723488
14,0.010265126,-0.0020805332,0.0004606722,0.0015178919,0.001807862,0.00066724047,-0.0013402617,0.00067687593,0.0044006025,0.0018701684,0.0012625549,0.0005168109,-0.0007652454,-0.0019282782,-0.00061857514,0.0011604684,-0.0012377412,0.00035661831,0.0027722623,0.000114826486,0.006762158,0.2418648,0.0015920345,0.24292672,0.026707593,3.2077543e-05,0.002266692,-0.0011337837,0.001438085,-0.0010647797,0.0002529896
15,0.011750637,-0.00067710737,0.00042674597,0.0007668012,0.00017187,0.0006518089,0.000711747,0.002294635,0.0029925727,0.00040939776,-0.00073469896,0.0004046196,-0.00042168656,0.0016713543,-0.00023476314,0.0011666352,-0.0019364292,-0.0010389625,0.0035652416,0.0013621105,0.006621847,0.25773427,0.0024936046,0.2079457,0.056500573,-0.0010393835,0.0005160137,0.00028077746,-0.00035860855,0.0005838792,-0.0026160097
16,0.010412144,-0.00049053226,0.00060371775,0.00018341886,0.00078335125,0.0014537885,-0.0001238021,0.0021348507,0.0034585525,0.00041909143,8.943025e-05,-0.00022819638,-0.0005205367,0.0015801666,-0.00066208467,0.0021367348,0.00026577804,-0.0009773141,0.0052169627,0.00019070599,0.008679468,0.20879824,0.00040745502,0.24345247,0.04169857,-0.0019840938,0.0016523167,-0.0007020063,0.0013420302,-0.001176341,-0.0015406036
17,0.009369599,-0.0009081019,0.0011698361,-0.0022266963,-1.8343795e-05,0.0026796912,0.00159101,0.0031632995,0.0045110118,0.0025828118,-0.0006878353,0.0002514636,0.0014615883,-0.0009892676,-0.0009593745,0.0022080848,-0.00016512675,-0.00032388046,0.0042024734,0.0015060981,0.03687754,0.20985444,0.000941657,0.22770083,0.029616881,-0.0027932539,0.00051491195,-0.0012530931,0.0011571515,-0.00088550337,0.003451581
18,0.008685579,0.00081855804,-0.0010496918,0.001435353,0.0009982488,-0.00061767874,0.0024390281,0.001397592,0.005208498,-0.0006090575,0.0006721113,0.0006545298,0.0009630909,8.492265e-05,0.00013161497,0.00075540505,-0.00094643934,0.00018237578,0.0031971596,0.0011686706,0.010823363,0.29873243,0.0023809234,0.20131494,0.020189073,-0.00018380675,0.000453474,0.0009429343,0.0019615698,-0.00045754714,-0.00043323962
19,0.009903451,6.2328763e-06,0.0008001579,-0.00048785424,0.0009043268,-0.00015664799,-0.0017054812,0.0032448005,0.002379843,0.00058144843,0.0005853148,-0.0005678893,0.0008143652,-0.0008645621,-9.554578e-05,0.000105660874,-0.001428586,-0.0006602425,0.0041796356,0.0018493356,0.039638598,0.26246443,-0.0012171743,0.15242633,0.060104992,0.003542412,0.0011472385,-0.00055402657,-0.0010863803,-0.0028717676,-0.00092097884
20,0.012130253,0.0017121439,-0.00056034,7.01854e-05,-0.0006538662,0.0021008775,0.0005380153,0.0023644492,-0.00020772498,0.0011465484,0.0011234889,-0.000350615,0.001254173,0.00095866853,0.0013203355,0.0023256452,-0.0018005096,0.0008273884,0.005181,0.00092709064,0.02612774,0.26570222,0.0012568464,0.20173308,0.037147343,-0.0022427202,-8.960767e-05,0.00010075653,-0.000490488,9.517232e-05,0.00026082294
21,0.008696483,0.0012775301,-0.0016687079,-0.0011251457,0.0007476397,0.0025260714,-4.6416186e-05,0.0013736552,0.0017476054,0.001510697,0.0016647708,-5.5273063e-05,0.0005627824,0.00041941693,-8.4845815e-05,-1.3131648e-05,-0.0018529608,-0.0001899926,0.0050016204,0.0016289903,0.0063058,0.2587737,0.0024285582,0.19678722,0.037358522,-0.0011806693,0.00064397324,9.272015e-05,0.000802808,-0.0002723504,-0.0016440027
