repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km,seller_state_frequency,marketing_origin_frequency,has_marketing_deal
1,0.13333985063671636,0.0,0.0,0.0,0.0,0.0,0.0,0.0144693598131449,0.00453135069127481,0.0,5.862403827134129e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05846848562739718,0.02111074495156651,0.0836872070444758,0.19295296307770207,0.04307158801217533,0.13729973083061722,0.06773364608801938,-0.0022926681094570488,0.00016738929421406456,0.0,0.016211413004914178,0.0,-0.007616750621815987
2,0.13024583292232794,0.0,0.0,0.0,-0.006675126165957576,0.0,-0.0016094166454785797,0.014072218010534817,0.004721406024253471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05868210684748515,0.020844649207529434,0.09953017927713384,0.16456202576732046,0.042668352901807045,0.14115003366555018,0.0691618676618623,0.006144382321042695,0.0,0.0,0.01542393848477984,-0.0022654839972810724,0.0
3,0.13224482116447123,0.0,0.0,0.0,-0.002832352288039762,0.0,0.0,0.014221328117631247,0.004723776737416998,-0.0030492088186431002,-0.0012170607088932475,0.0,0.0,0.0,0.0,0.0,0.0,-0.0051869031228737005,0.058346009112203466,0.02112926689531029,0.10055029616409476,0.194946651290372,0.04309471637569371,0.13717261534311756,0.0470813204504201,0.0015176912106668783,0.00010210457079711888,0.0,0.01646659002717791,0.0,0.0
4,0.13408614541060349,0.0,0.0,0.0,0.0,0.0,0.0,0.01452455210273803,0.0046108151151085545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009961399172541976,0.0,0.055435676086008266,0.016476759310850925,0.1074022677325865,0.20137752777148196,0.043406351155664845,0.1501268737434428,0.07216975252142245,0.0005183867329433276,0.0,0.0,0.015150276376750793,0.0,0.0
5,0.13446407115884293,0.0,0.0,0.0,0.0,0.0,0.0,0.014640539265696246,0.004661141495281662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014833691887749691,0.0,0.053654818622857474,0.01460537896511127,0.10231860384733295,0.18141906424422302,0.043165371297331986,0.14347172362013347,0.06611020435774312,0.003247404412031746,0.0,0.0,0.014532064804499133,0.0,0.0
6,0.13330945830482355,0.0,0.0,0.0,0.0,0.0,0.0,0.014088186031782832,0.00500961666285757,0.0,0.0,0.0,0.0,-0.012755795976532867,0.0,0.0,0.0,0.0,0.05863341607167654,0.020672390903000555,0.10175339338094665,0.19354122905581356,0.04278650701056681,0.1333969225720773,0.04744403355262887,-0.005223973145542507,0.00030096420210287326,0.0,0.015966001488864706,0.0,0.0
7,0.13080060068613752,0.0,0.0,0.0,0.00038649443643820104,0.0,-0.010969853515631713,0.012805792021974571,0.003973186522328122,-0.002492355226908814,0.0,0.0,0.0,-0.0004569784213370156,0.0,-0.005683186877044349,0.0,0.0,0.0580361926206813,0.019304951259150348,0.10691802673169702,0.19392996546670468,0.042539972314357605,0.1482624178363014,0.06450442253355304,0.00486762096660006,0.0,0.0,0.01588206082140204,-0.0006599718878511266,-0.0013610575732346357
8,0.1330572199813169,0.0,0.0,0.0,0.0,0.0,0.0,0.010425690413382338,0.004157846940296234,0.0,0.0,0.0,0.0,0.0,-0.0027646151413023793,0.0,0.0,0.0,0.05854737712337505,0.020852826173440635,0.10599412433491447,0.20049040432847276,0.043601185386289654,0.14887588140974806,0.06102492697027874,0.004952873304140898,0.0,0.0,0.014020153753714137,-0.003930114504355153,0.0
9,0.13279207999577233,0.0,0.0,0.0,0.0,0.0,0.0,0.014133848045448693,0.004975149622757264,-0.001358267281665428,0.0,0.0,0.0,-0.001234453509032663,0.0,0.0,-4.6370574611709287e-05,0.0,0.05850709767923883,0.021133764022252297,0.10331091875089617,0.19696791827704818,0.03540542158132974,0.13526768491091704,0.07177543675075876,0.007006698733683276,0.0,0.0,0.009322615976507694,0.0,0.0
10,0.1309213343255749,0.0,0.0,0.0,-0.005663320183629938,0.0,0.0,0.014393477123992733,0.004913163353848229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05861060845483839,0.02076523284685731,0.10752535039467276,0.2020791860323846,0.0433798338157951,0.15101825919504144,0.07383161828338235,0.00689412680087685,0.0,0.0,0.015729682922202892,0.0,0.0
11,0.13314101686488744,0.0,0.0,0.0,0.0,0.0,0.0,0.014181177668714918,0.00457698084538458,0.0,0.0,0.0,0.0,-0.002861316263910523,0.0,0.0,0.0,0.0,0.05134643018713627,0.020172051324749633,0.09991024210048728,0.1673462321793898,0.03731649816467,0.141056384557613,0.06874931748051344,0.006757963777971633,0.0,0.0,0.01574826940994967,0.0,0.0
12,0.13079410233251787,0.0,0.0,0.0,0.0,0.0,0.0,0.014063888156682823,0.0046730373872215574,-0.005773057298876806,0.0,0.0,0.0,0.0,-0.001675086918346648,0.0,0.0,0.0,0.059197562072284264,0.020353720680534645,0.06768829617432646,0.17484561343407537,0.04231743892941251,0.09544725778589887,0.05313366660129377,0.003849264395585534,0.0,0.0,0.015993655949216656,0.0,0.0
13,0.1337252402689013,0.0,0.0,0.0,0.0,0.0,0.0,0.014333295038624403,0.004710222951121237,0.0,-0.0014253526124418472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05874995639405519,0.020888898621266208,0.0894233576879897,0.19762469592084575,0.043432475888289794,0.14625029001237871,0.07176981527456122,0.007774419974697485,-0.0027028788872099823,0.0,0.015179880365216886,0.0,-0.00484103284389306
