repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km,seller_state_frequency,marketing_origin_frequency,has_marketing_deal
1,0.13357992300576046,0.0027530648784861644,0.0,0.0,0.0016809280693233705,0.0,0.0,0.01957866891985787,0.008728660020180858,0.0,0.0,0.0,0.0,0.0,0.0029424623307025524,0.0004299867996764515,-0.004250884159934175,0.0,0.0470489803208599,0.017439348684356187,0.07651518524310595,0.14569497440224932,0.03002606148615518,0.1181359137880892,0.07367630600707312,0.0,-0.001717217170590999,0.0,0.009364295100411733,0.0,0.0023565087694232337
2,0.13379098317510427,0.004932957053209765,0.0,0.0,0.0020214158029769453,0.0,0.0,0.019600975601171407,0.008589322528898052,0.0,0.0,0.0,0.0,0.0,0.003125151395611948,0.0003707420748924904,0.0,0.0,0.04791642053259592,0.01998818747146836,0.11442111243903275,0.1816044343133876,0.03688162643469665,0.13620784623081236,0.09339321255977322,0.0,0.0,0.0006839789581028615,0.005488917601449467,-0.0004967668989574732,0.002833206328088969
3,0.1333988633215595,0.0,0.0,-0.0012900060326684057,0.0010290893478548638,0.0,-0.0008930576424557378,0.020343711889607864,0.006412253563463013,0.0,0.0,0.0,0.0,0.0,0.0033280741638675925,0.0,-0.005169676389113971,0.0,0.04641533723466769,0.017882690360230415,0.1131083681243271,0.16951177529529624,0.03694473317686568,0.13346985842221212,0.11094167407480927,0.0,-0.005842030912906113,0.0,0.009249527756304356,0.0,-0.0010382974594384878
4,0.1332384418258224,0.0040920083917853805,0.0,0.0,0.0021174846417312734,0.0,0.0,0.01974503447677408,0.008637388437551394,0.0,0.0,0.0,0.0,-0.00013023655329666794,0.002962405070020109,0.00013761192960298684,0.0,0.0,0.04813259499815461,0.01976016678384016,0.11099105272103511,0.17747737384304857,0.03663518193199926,0.11442533129388675,0.10346723132736849,0.0,-0.0024809365772568903,0.0,0.010213036983119761,-0.006558638214665246,0.0019295701468323328
5,0.13301031278473335,0.0023083313163712173,0.0,0.0,0.0011991273448510836,0.0,0.0,0.019958221640711055,0.008397814837905368,-0.0006848253394124262,0.0,-0.00010465269941842431,0.0,0.0,0.0032078509890841093,0.0,-0.003835545512375429,0.0,0.04679476704099101,0.018428898481202747,0.11314026664742806,0.1781044279745883,0.03691205990848296,0.1329630840981106,0.07885196265959393,0.0,-0.005519490604673996,0.0,0.009070626362140831,0.0,0.0027830619468705805
6,0.13375171677484216,0.005495937101916961,0.0,0.0,0.002529816894441281,0.0,0.0,0.019712383430078598,0.008675383442912438,0.0,0.0,-0.0020826767498125912,0.0,0.0,0.00305425688576135,0.00013996317769924532,0.0,0.0,0.048032874895695306,0.0199339619078498,0.1130597733347592,0.17905717897539947,0.03695272112075805,0.13334284769936455,0.07885424963766992,0.0,0.0,0.002190779688726554,0.010136043517086494,0.0,0.0024054888325105756
7,0.13448274795040172,0.0066646447409465254,0.0,0.0,0.002642109178768656,-0.0017437527060205618,0.0,0.019565945920518083,0.008624753561820244,-0.0009766604901915606,0.0,0.0,0.0,-0.007538721156107662,0.00309407142438684,0.00024092379331398973,0.0,-0.005684250230733814,0.04785125181285324,0.020487320114215855,0.1116050358701242,0.17682335580662575,0.03667602312814688,0.13124116775490288,0.070826850867636,0.0,0.0,0.0021006864523675445,0.009669264964525527,0.0,0.00020467222088213412
8,0.13292178111474096,0.0009265864834898676,0.0,0.0,0.0010658570261955118,0.0,0.0,0.01977943983169394,0.008492702302139254,0.0,0.0,0.0,0.0,0.0,0.0028901580047287437,0.0,-0.007084505129264783,0.0,0.04587244100441806,0.017295164187547733,0.11029986866274157,0.1592063039766051,0.03659055594101238,0.13047661447897763,0.09645100560682776,0.0,0.0,0.0,0.0024588397322746584,0.0,0.0027517039822930046
9,0.1333076824650259,0.0031234362353063025,0.0,0.0,0.001585791158450111,0.0,0.0,0.019505404604934194,0.00852470185833475,0.0,0.0,0.0,0.0,0.0,0.0033031105016719277,0.0,-0.005250557150889061,-0.011353866387948289,0.043206434932317336,0.019014051330720587,0.11354924434540108,0.1819144401974007,0.03671185276563167,0.13636408719854937,0.10203906800212505,0.0,0.0,0.0,0.0030904195557597625,0.0,0.0028205845123357542
10,0.13176959206271271,0.005797519746336726,0.0,0.0,0.0027579011346992462,0.0,-0.007764947279560008,0.018224373877164496,0.005710918104536274,-0.002288797570193599,0.0,-0.0013011150082689175,0.0,-0.0021549869292727367,0.0029168278926553276,0.00027556089245879675,0.0,0.0,0.0478792696655471,0.019863887116703987,0.11651420332650655,0.18348595844691198,0.036165531221067825,0.13727503370718835,0.11054394761815875,0.0,0.0,7.503031931827014e-05,0.010746987389043576,-0.0008645065102006622,0.0025531280817282453
11,0.13254874704892003,0.005135664103322349,0.0,0.0,0.002412935772036477,0.0,0.0,0.019293283425051606,0.003084476674434876,0.0,0.0,0.0,0.0,0.0,0.0031641353081684528,-0.0019317455831065046,0.0,0.0,0.047630235156067936,0.019540449459213603,0.09625208865746727,0.1569293252804593,0.03642746600046549,0.12727173719959817,0.08795422052155691,-0.004478783935330444,0.0,0.0012960538941721742,0.010563977096665603,0.0,0.0028316649626431265
12,0.13438612021311788,0.005732255345807547,0.0,0.0,0.0024113837412039546,0.0,0.0,0.0195059414924642,0.008462756173166698,0.0,0.0,0.0,0.0,0.0,0.0027560607222627625,0.001292035893437272,0.0,-0.006805332250578205,0.04770150937089377,0.01995450355259998,0.07250544058491071,0.15753764918977373,0.03640300656312626,0.12303686938012344,0.08834450028646954,0.0,0.0,0.0009687001241664694,0.010230125152441254,0.0,0.0026733115641041994
13,0.1330165863781928,0.0006847555287561174,0.0,0.0,0.0004405267326032264,0.0,0.0,0.02012852516058566,0.00849368933922964,0.0,0.0,0.0,0.0,0.0,0.002958401055236514,-0.0006053978365335897,0.0,0.0,0.0477931117853203,0.019830065848695184,0.10211430892574545,0.17907197884219642,0.026487103239072936,0.1328584520588255,0.11011416434296895,0.0,-0.008046435017376506,0.0,0.008954513277216029,0.0,0.0029191884069181217
14,0.13300967801739833,0.004256905450129413,0.0,0.0,0.002116347222818648,0.0,0.0,0.01951310605045456,0.005762917906978691,0.0,0.0,0.0,0.0,0.0,0.0031394137811734182,0.0001086707886848259,-0.002091749437542824,0.0,0.047489582461869,0.01886740907610723,0.11672006830041837,0.1844558736346317,0.03708439343984668,0.13858834775735954,0.11100296215059784,-7.451902522894504e-05,0.0,0.0,0.01071848310972955,0.0,-0.0005447812427528875
15,0.13244663049746597,0.0011470081127274109,0.0,0.0,0.0013162523380438088,0.0,0.0,0.01956185950458295,0.008772777686721585,-0.001989343387265231,0.0,0.0,0.0,0.0,0.0031726548334004997,0.0002433734575742695,-0.006576504120059345,-0.0029127696348523577,0.0460683290697525,0.01714134508890806,0.09156616005422658,0.1756942816103597,0.036311844133759194,0.1303534450464546,0.09746530414416055,0.0,0.0,-0.002981978787454673,0.01007657459859523,0.0,0.002834954630066599
16,0.1205856336424968,0.007102344718478918,0.0,0.0,0.0010626400086477608,0.0,0.0,0.019744291941520057,0.007547926064565794,0.0,-0.004176141915670263,0.0,0.0,0.0,0.0031084672447554635,0.0,0.0,0.0,0.04790335860854835,0.02000961538722478,0.10898755809851589,0.14511351287974703,0.03645639441247336,0.12624919905318988,0.10627126620697717,0.0,0.0,0.0,0.008392717525365027,0.0,0.002644486931709351
17,0.13405898804480249,0.005042896141379175,0.0,0.0,0.002100520826034504,0.0,0.0,0.01984990593315828,0.008733901062765264,0.0,0.0,0.0,0.0,-0.0028232756067164593,-0.0009869804787496937,0.0013784406227915892,0.0,0.0,0.048096586917547125,0.018941459842477488,0.07357182379553415,0.1315194389918224,0.03628916605433766,0.11809814307222684,0.09802873433043305,-0.007909628303786156,0.0,0.0007614737385847995,0.010433525417063653,-0.0012624914927993026,0.0022484360780167393
