feature,label_zh,permutation_importance_mean,permutation_importance_sd
unique_customer_count,独立顾客数,0.8072073222582649,0.04994952937352108
order_count,成交订单数,0.6941242841270692,0.0488984851784244
avg_price,平均商品价格,0.35514554000979237,0.03481637658506151
avg_ship_days,平均审核至承运天数,0.06123076709645865,0.009862209297434468
buyer_state_diversity,买家州数量,0.04454480247338246,0.015865382668958084
item_count,成交件数,0.02419831521625735,0.006631081449668555
avg_estimate_gap_days,平均预计提前送达天数,0.015531241285944209,0.007886433742112725
avg_product_weight_g,平均商品重量,0.012620703238723685,0.008119786614029807
seller_state_frequency,卖家所在州频率,0.012531907439172586,0.006861405707950649
avg_product_width_cm,平均商品宽度,0.010940184003997456,0.0027061871187783366
avg_product_name_length,平均商品标题长度,0.010327771499095561,0.009333150477125502
avg_product_length_cm,平均商品长度,0.008703370832865875,0.00422648855853292
avg_product_height_cm,平均商品高度,0.008609858792496095,0.004690762796494886
avg_delivery_days,平均下单至送达天数,0.007966758984824018,0.004830004202186236
avg_product_description_length,平均商品描述长度,0.007911896409652997,0.004497569355428641
avg_freight,平均运费,0.007509068861599477,0.008096164913768076
avg_review_score,平均评价得分,0.004486105957061515,0.0019338115731473478
interstate_ratio,跨州交易占比,0.0041219997493357145,0.003640313307708002
category_count,活跃品类数,0.0030524072524807265,0.0019120781198874038
avg_payment_installments,平均支付分期期数,0.003028942101560883,0.004348041461580313
avg_product_photos_qty,平均商品图片数,0.0020087481012394546,0.0023108834001304463
avg_payment_sequential,平均支付序列数,0.001966903639399842,0.0013513941929254576
debit_card_ratio,借记卡支付占比,0.00044600881189396093,0.00020099543151667434
credit_card_ratio,信用卡支付占比,0.00023656618139824558,0.0007761767419389187
marketing_origin_frequency,营销来源频率,0.0,0.0
has_marketing_deal,是否匹配营销成交线索,0.0,0.0
boleto_ratio,Boleto支付占比,-0.0003816722940046091,0.0006489335303073531
voucher_ratio,代金券支付占比,-0.0011928673863726758,0.0030540802452491745
dominant_customer_state_share,第一大买家州占比,-0.001515129291167927,0.002076817133574741
avg_approval_days,平均下单至审核天数,-0.0066235758532512175,0.00393362934048356
avg_distance_km,平均卖家-买家距离,-0.01086822641634102,0.005573498474368135
