method,q,alpha_kn,feature,label_zh,mean_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh,median_threshold
copula_knockoff_paired_mlp,0.1,0.05,avg_price,平均商品价格,0.23676657676696777,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_freight,平均运费,-0.001783692860044539,0.65,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_weight_g,平均商品重量,0.0030941844452172518,0.65,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_length_cm,平均商品长度,-0.017954910174012184,0.2,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_height_cm,平均商品高度,0.007187259383499622,0.7,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_width_cm,平均商品宽度,0.005620086099952459,0.65,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_photos_qty,平均商品图片数,0.016567926853895187,0.7,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_name_length,平均商品标题长度,0.06398652493953705,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_description_length,平均商品描述长度,0.016842633485794067,0.75,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_payment_installments,平均支付分期期数,0.0012327015865594149,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_payment_sequential,平均支付序列数,0.006459551863372326,0.6,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,credit_card_ratio,信用卡支付占比,0.0061859190464019775,0.65,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,boleto_ratio,Boleto支付占比,0.005972546525299549,0.7,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,voucher_ratio,代金券支付占比,0.013469171710312366,0.65,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,debit_card_ratio,借记卡支付占比,0.020420193672180176,0.8,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_review_score,平均评价得分,0.010085034184157848,0.55,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_delivery_days,平均下单至送达天数,0.004600060172379017,0.45,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_approval_days,平均下单至审核天数,0.003217506455257535,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_ship_days,平均审核至承运天数,0.07507715374231339,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_estimate_gap_days,平均预计提前送达天数,0.020007718354463577,0.85,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,item_count,成交件数,0.06654755026102066,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,order_count,成交订单数,0.06707179546356201,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,category_count,活跃品类数,0.0032360851764678955,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,unique_customer_count,独立顾客数,0.07899986207485199,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,buyer_state_diversity,买家州数量,0.03097471036016941,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,dominant_customer_state_share,第一大买家州占比,0.023838067427277565,0.95,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,interstate_ratio,跨州交易占比,0.01171380840241909,0.6,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_distance_km,平均卖家-买家距离,0.00907846074551344,0.55,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,seller_state_frequency,卖家所在州频率,0.012289648875594139,0.7,0.0,0.0,False,inf
