repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km,seller_state_frequency,marketing_origin_frequency,has_marketing_deal
0,0.15213883,0.009012103,-0.002988696,-0.016852498,0.0014364719,0.006750345,0.030437589,0.040802956,-0.01300168,-0.011850953,0.029216051,-0.006562948,-0.006971121,0.009721875,0.044697523,-0.02418089,0.019230723,-0.043300986,0.06846869,0.044311404,0.050305486,0.05922222,-0.031858444,0.05488062,0.01252079,0.0011005402,0.024074197,0.020423532,-0.006078124,-0.008465767,0.007029772
1,0.13163471,-0.018433332,0.00789237,-0.001749754,-0.0022066832,0.0059393644,0.042161345,0.048739076,0.059963346,-0.01335001,0.025160909,0.0051389933,0.0011917353,0.03595543,0.028999925,0.013961554,0.0028967857,0.006536722,0.042533636,0.012765408,0.03814876,0.04446411,0.011495948,0.03901732,0.009658217,-0.0003631115,-0.022472262,0.005085349,0.029090047,-0.00010418892,-0.012546301
2,0.5660368,0.0022171736,0.045976758,-0.06884432,0.0015177727,0.081445456,-0.037144184,0.2549126,0.03649366,-0.013002992,-0.015079975,-0.050452948,0.0019857883,-0.04824686,-0.0018063784,0.09778261,0.04322493,0.048410296,0.23594499,0.07147527,0.21897435,0.20269859,0.010021925,0.27881396,0.08825588,0.08571303,0.100572824,0.061703205,0.022377849,-0.07276535,-0.12986779
3,0.13025844,-0.004627824,0.011511564,-0.007938266,-0.0029969215,0.0056339502,0.03090775,0.025560856,-0.019074798,0.012756705,-0.010636568,0.009501457,0.0060789585,-0.004213929,-0.007037163,-0.034778237,-0.006544113,0.023959398,0.04117918,0.00808382,0.0312773,0.026502728,0.0046846867,0.035025954,0.019994736,0.0030374527,0.0035281181,-0.012744188,0.0075531006,0.007158041,-0.015208006
4,0.4055251,0.008631706,-0.011128545,0.0067583323,-0.010815382,0.015242815,0.06549752,0.11571646,0.0039457083,-0.029079676,-0.030682564,-0.0010957718,-0.006644368,0.050257206,0.0138498545,0.0028192997,0.06338644,-0.033437848,0.08903313,0.057866335,0.10521579,0.09589934,0.020050406,0.12947428,0.02962792,0.04319215,0.02784276,0.05660355,-0.028990865,-0.08064532,0.037465215
5,0.31149757,0.0159204,0.007080674,-0.07154119,0.028599143,0.0016230345,0.01618576,0.0730201,-0.00068187714,-0.03962159,-0.019811988,0.05327511,0.048761487,0.11109221,0.040973186,0.061368942,-0.027261019,0.012174487,0.042880774,-0.028472543,0.08399665,0.056051135,-0.02912891,0.09448588,0.055599213,0.025850058,0.0070431232,-0.014230609,0.016153336,-0.07456529,0.009175658
6,0.16313064,0.017272234,0.0038958788,-0.011967421,0.008749723,-0.009592295,0.015257359,0.02507937,0.010846257,-0.0007805824,0.015076637,0.01308167,0.008751273,0.020239592,0.036943436,-0.016379356,0.005371332,-0.0098872185,0.04297006,-0.00024712086,0.035757065,0.039791822,-0.003750205,0.044657588,0.012252569,0.008681655,0.020070195,-0.0046669245,0.019206762,-0.0074623823,-0.019492865
7,0.26966822,0.012081504,-0.0067784786,-0.011370182,0.021860242,-0.008604646,0.0628103,0.10360062,0.055470824,0.015437961,-0.0011037588,0.0069568157,-0.004352212,0.02212882,0.02075696,0.033642173,-0.0024906397,-0.010606647,0.06680524,0.035051346,0.064714074,0.08043623,-0.0009185076,0.074305534,0.03047514,0.023048878,0.007889271,-0.033581853,0.024169803,-0.009610176,-0.021535039
8,0.13771546,0.0058170557,0.020958424,-0.007937908,-0.0014998913,0.0020782948,0.031850457,0.029863,0.02996993,0.026108384,0.023908734,0.009767771,-7.5101852e-06,-0.00037837029,0.010257244,0.029141665,-0.00075268745,-0.0054297447,0.046405792,0.012117147,0.038717985,0.029819608,0.010230303,0.029197574,0.009088397,0.010701656,0.0010393858,-0.006513357,-0.012554765,-0.018517613,0.0043816566
9,0.2753613,0.005542755,0.018883228,-0.015463352,0.023542404,-0.019825697,0.06828225,0.052854776,0.035730362,-0.0038704872,0.012450814,0.02287972,0.023983955,0.010228753,-0.0013686419,0.001265049,-5.865097e-05,0.03300786,0.07142186,-0.005107999,0.08389604,0.08033669,0.071594596,0.08429384,0.035110712,0.019194841,-0.014151812,-0.006777525,0.034368634,0.0028486252,-0.009216666
10,0.17524326,-0.021621585,-0.018212438,0.0032993555,-0.029346824,-0.029283524,-0.0034441948,0.06354308,0.014922261,0.006663084,0.029464364,0.0005879402,0.0060602427,0.024656177,0.0079625845,-0.018773913,-0.009528875,-0.014871836,0.050414085,0.012232304,0.03369987,0.03847599,-0.001816988,0.037091374,0.017381787,0.022663593,-0.0012788773,0.014180541,0.037575483,-0.015155673,-0.012278557
11,0.274042,0.004888773,0.0047364235,0.0071510077,0.00067460537,-0.010422707,-0.011685252,0.041251063,-0.016776085,0.016273737,-0.006039858,-7.915497e-05,0.02392447,0.008428454,0.028660655,-0.0066473484,0.015429616,-0.0012956858,0.11049676,0.013694286,0.07196331,0.069337964,-0.021249413,0.08602488,0.02162981,0.04542327,0.020898938,-0.0056420565,0.048722863,-0.009819269,-0.0076260567
12,0.22426903,-0.039081573,0.0036987066,-0.01642561,0.0060122013,0.017457366,-0.011710048,0.013192892,0.014622092,0.005751252,0.013118744,0.020911336,0.027434826,-0.012826204,-0.0064589977,0.0068286657,-0.007536769,-0.00045359135,0.08771074,0.04679835,0.06551361,0.06779039,0.03242731,0.07324922,0.023528576,0.021145463,-0.009533286,0.03294897,0.040462255,-0.031706214,0.022050023
13,0.20602739,0.011000276,0.005278468,-0.022291541,0.007250428,0.008626342,0.0221349,0.039373636,0.009313822,0.0029968023,0.016236186,-0.005300522,0.018325925,-0.010562301,0.065529585,-0.012072563,0.008956552,0.007867575,0.06779432,0.0022779703,0.05802846,0.06733978,-0.0015587807,0.05748558,0.042345762,0.019659877,-0.012418747,-0.008043051,0.012423515,-0.029420376,-0.032156467
14,0.22939849,0.006542206,-0.00079762936,-0.009779334,0.012414455,-0.009637833,0.028853774,0.097474694,-0.011377215,-0.004012108,-0.005253792,-0.0025998354,-0.008383632,0.0004887581,0.022352695,0.007277608,-0.00027430058,0.016303182,0.09362185,0.021217227,0.07995343,0.07015276,0.03572178,0.10532653,0.048972964,0.031919956,0.04012537,0.017771482,-0.008385539,-0.036735296,0.06492126
15,0.09658098,0.0009635687,0.012198091,0.0033038855,0.00662148,0.005440712,0.005213499,0.004662156,0.012249708,0.03628707,-0.01010561,-0.010938883,0.0067768097,0.024999738,0.00018310547,-0.013178825,-0.0039441586,0.005410552,0.03590834,0.02836907,0.02018094,0.030768633,-0.026889801,0.027537107,0.020305395,0.0179708,-0.010155201,-3.8981438e-05,0.012154818,-0.021151781,-0.013485193
16,0.23503292,0.005739689,0.0030025244,-0.047799468,0.025045872,0.010394454,0.032761455,0.097931266,0.02170527,-0.0044876337,0.040885687,0.015371561,-0.037209153,0.021667123,0.009838223,0.0726639,0.011261821,0.026602507,0.07841635,0.00927031,0.054646134,0.07693851,0.007799864,0.08236182,0.036923647,0.0234617,0.04510796,0.011393189,0.0015664101,-0.04825306,0.03706503
17,0.34032536,-0.046886444,-0.045081496,-0.03218758,-0.014559865,0.032868743,-0.034639955,0.025190353,0.02733481,-0.0016429424,0.0057356358,0.0058562756,0.00771904,0.015985847,0.06962752,0.031597733,-0.014401197,-0.0032473803,0.09192264,0.026213884,0.08972323,0.10711098,0.012864351,0.12431252,0.04182887,0.041853786,-0.011960387,0.014368534,-0.017470717,-0.03199923,0.0454489
18,0.19821537,-0.009338021,0.0035120249,-0.008008242,0.050339937,-0.0065351725,0.013719559,0.045995116,0.045164466,0.016887069,0.013444185,0.015880346,0.0018137693,-0.004864216,0.010130048,-0.019961476,-0.013822794,0.014479995,0.047605276,0.015368223,0.05095613,0.04114282,-0.0154492855,0.051533222,0.03370869,0.025194526,0.026293874,0.017338753,0.015709877,0.005356908,-0.045247078
19,0.21322966,-0.0013145208,-0.0017541647,-0.029454112,0.011106014,0.01280272,-0.036091328,0.08096647,0.02003181,0.0071909428,0.0032072067,0.02153945,0.00021064281,-0.00537467,0.014312506,-0.010675907,0.008858204,-0.007871509,0.09000933,0.016869664,0.055282354,0.05715561,-0.019549131,0.070922494,0.03028512,0.007311225,-0.008239269,0.021990657,-0.0022617579,-0.017346263,-0.010247588
