method,swap_ratio,swapped_features,mmd_rbf,mmd_permutation_p,classifier_auc,classifier_permutation_p
copula_mvr,0.1,3,6.402788904247281e-05,1.0,0.5814532844387754,0.01
copula_mvr,0.3,9,0.0002528515453865676,1.0,0.5911790497448979,0.01
copula_mvr,0.5,16,0.0003808702369008099,1.0,0.6100924744897959,0.01
copula_mvr,0.7,22,0.0006533150972840573,1.0,0.6956712372448979,0.01
copula_mvr,1.0,31,0.000744647498837514,1.0,0.6962093431122449,0.01
gaussian_mvr,0.1,3,6.763198100734336e-05,1.0,0.845085299744898,0.01
gaussian_mvr,0.3,9,0.0002015713502780958,1.0,0.9871053890306123,0.01
gaussian_mvr,0.5,16,0.0002752419149316676,1.0,1.0,0.01
gaussian_mvr,0.7,22,0.000474278566700459,1.0,1.0,0.01
gaussian_mvr,1.0,31,0.000548087427339583,1.0,1.0,0.01
deep_knockoff_raw,0.1,3,0.0007443018156152448,1.0,0.9405492665816327,0.01
deep_knockoff_raw,0.3,9,0.0014594457829160135,0.4,0.998046875,0.01
deep_knockoff_raw,0.5,16,0.0022427016858233007,0.2,1.0,0.01
deep_knockoff_raw,0.7,22,0.0028889440707915437,0.1,1.0,0.01
deep_knockoff_raw,1.0,31,0.0035524195133165293,0.1,1.0,0.01
deep_knockoff_calibrated,0.1,3,0.00022488801898257194,1.0,0.8628228635204083,0.01
deep_knockoff_calibrated,0.3,9,0.0006399333503293025,1.0,0.9125478316326531,0.01
deep_knockoff_calibrated,0.5,16,0.0008407369872163173,0.9,0.9190250318877551,0.01
deep_knockoff_calibrated,0.7,22,0.001005240229754012,0.8,0.9068877551020408,0.01
deep_knockoff_calibrated,1.0,31,0.001287378143787432,0.4,0.897102200255102,0.01
