method,q,alpha_kn,feature,label_zh,mean_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh,median_threshold
copula_knockoff_paired_mlp,0.1,0.05,avg_price,平均商品价格,0.03545790910720825,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_freight,平均运费,-0.014973223209381104,0.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_weight_g,平均商品重量,-0.001624464988708496,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_length_cm,平均商品长度,-0.001708984375,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_height_cm,平均商品高度,-0.002520143985748291,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_width_cm,平均商品宽度,-0.008439421653747559,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_photos_qty,平均商品图片数,-0.0007802248001098633,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_name_length,平均商品标题长度,0.0035343170166015625,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_product_description_length,平均商品描述长度,-0.000736236572265625,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_payment_installments,平均支付分期期数,-0.0017178654670715332,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_payment_sequential,平均支付序列数,0.012259840965270996,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,credit_card_ratio,信用卡支付占比,0.006179153919219971,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,boleto_ratio,Boleto支付占比,0.008632481098175049,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,voucher_ratio,代金券支付占比,0.0009993314743041992,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,debit_card_ratio,借记卡支付占比,0.0015236735343933105,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_review_score,平均评价得分,-0.006931722164154053,0.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_delivery_days,平均下单至送达天数,0.00019317865371704102,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_approval_days,平均下单至审核天数,0.015019834041595459,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_ship_days,平均审核至承运天数,0.006932199001312256,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_estimate_gap_days,平均预计提前送达天数,0.014497518539428711,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,item_count,成交件数,0.011496961116790771,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,order_count,成交订单数,0.01550900936126709,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,category_count,活跃品类数,0.013797521591186523,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,unique_customer_count,独立顾客数,0.007744967937469482,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,buyer_state_diversity,买家州数量,0.0021057724952697754,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,dominant_customer_state_share,第一大买家州占比,-0.0016265511512756348,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,interstate_ratio,跨州交易占比,-0.013042330741882324,0.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,avg_distance_km,平均卖家-买家距离,0.004780471324920654,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,seller_state_frequency,卖家所在州频率,0.004276692867279053,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,marketing_origin_frequency,营销来源频率,0.010849714279174805,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.1,0.05,has_marketing_deal,是否匹配营销成交线索,0.009746432304382324,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_price,平均商品价格,0.03545790910720825,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_freight,平均运费,-0.014973223209381104,0.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_product_weight_g,平均商品重量,-0.001624464988708496,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_product_length_cm,平均商品长度,-0.001708984375,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_product_height_cm,平均商品高度,-0.002520143985748291,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_product_width_cm,平均商品宽度,-0.008439421653747559,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_product_photos_qty,平均商品图片数,-0.0007802248001098633,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_product_name_length,平均商品标题长度,0.0035343170166015625,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_product_description_length,平均商品描述长度,-0.000736236572265625,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_payment_installments,平均支付分期期数,-0.0017178654670715332,0.5,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,avg_payment_sequential,平均支付序列数,0.012259840965270996,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,credit_card_ratio,信用卡支付占比,0.006179153919219971,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,boleto_ratio,Boleto支付占比,0.008632481098175049,1.0,0.0,0.0,False,inf
copula_knockoff_paired_mlp,0.2,0.1,voucher_ratio,代金券支付占比,0.0009993314743041992,0.5,0.0,0.0,False,inf
