q_ebh,fixed_alpha_kn,selected_count,selected_features,selected_labels_zh
0.05,0.1,0,,
0.075,0.1,0,,
0.1,0.1,0,,
0.125,0.1,12,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、卖家所在州频率
0.15,0.1,12,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、卖家所在州频率
0.175,0.1,13,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、卖家所在州频率
0.2,0.1,14,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、卖家所在州频率
0.225,0.1,15,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
0.25,0.1,15,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
0.275,0.1,16,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_payment_sequential|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均支付序列数、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
0.3,0.1,16,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_payment_sequential|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均支付序列数、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
0.325,0.1,17,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_payment_sequential|debit_card_ratio|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均支付序列数、借记卡支付占比、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
0.35,0.1,17,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_payment_sequential|debit_card_ratio|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均支付序列数、借记卡支付占比、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
0.375,0.1,17,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_payment_sequential|debit_card_ratio|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均支付序列数、借记卡支付占比、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
0.4,0.1,17,avg_price|avg_freight|avg_product_height_cm|avg_product_name_length|avg_product_description_length|avg_payment_sequential|debit_card_ratio|avg_delivery_days|avg_ship_days|avg_estimate_gap_days|item_count|order_count|category_count|unique_customer_count|buyer_state_diversity|dominant_customer_state_share|seller_state_frequency,平均商品价格、平均运费、平均商品高度、平均商品标题长度、平均商品描述长度、平均支付序列数、借记卡支付占比、平均下单至送达天数、平均审核至承运天数、平均预计提前送达天数、成交件数、成交订单数、活跃品类数、独立顾客数、买家州数量、第一大买家州占比、卖家所在州频率
