repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km,seller_state_frequency,marketing_origin_frequency,has_marketing_deal
0,0.39406008,0.074585244,-0.0670661,0.013407523,0.06673934,0.0,-0.002832526,0.039326895,0.006709341,-0.039123315,-0.0042805057,-0.0003570362,-0.02541101,0.0027473238,0.026529638,0.012522837,0.08594719,-0.0041691596,0.20370615,0.047681667,0.090574495,0.04296915,0.04897438,1.186785,0.0,0.19535583,-0.004414129,-0.00016731792,0.041397262,0.0,0.0057444572
1,0.38531294,0.08868757,0.0053426237,-0.006552499,0.06813609,0.0023788284,-0.0013252157,0.05443098,0.036801282,-0.008946925,-0.0052735675,-0.017276876,0.0,0.0,-0.004434075,0.017010197,0.06817615,0.0,0.15171205,0.087644845,0.08404663,0.036538422,0.067275465,1.2010331,0.0,0.2506832,-0.05265441,-0.0418769,0.047849536,-0.0019957314,0.0062797545
2,0.40044948,0.13304137,-0.03749921,0.025743855,0.08232177,-0.034590952,-0.028581126,0.050080758,0.028971486,-0.0349536,-0.060333088,-0.083575256,-0.057021476,-0.004928882,-0.0063295104,-0.017603997,0.08704808,0.0,0.18854305,0.07293013,0.09294801,0.063944764,0.08229555,1.1361485,0.0,0.22365877,0.0036285208,-0.006885033,0.027954515,-0.006312596,0.0064573926
3,0.3750853,0.13741879,0.012768633,0.010798857,0.062893994,0.008599219,0.0047783754,0.076115884,0.037321128,-0.0030179247,0.012907697,0.0013667558,-0.01563505,-0.008716245,-0.03499347,0.021838287,0.031025745,0.0009556231,0.19978808,0.10955049,0.09735718,-0.060779095,0.067017116,1.2408143,0.0,0.18292272,-0.004197096,-0.06333472,0.029381588,-0.011577751,-0.0014192126
4,0.3973255,0.12700167,-0.05125595,-0.00020253472,0.062380243,-0.0054223803,-0.018526673,0.02999812,0.033589423,-0.00028086753,-0.017860526,-0.040854465,0.0120301405,-0.002537515,0.01957054,-0.0008832589,0.075757205,-0.0027805537,0.1871881,0.07893865,0.070921995,0.046237193,0.069824226,1.1903614,0.0,0.18740228,-0.014611518,-0.0024136053,0.039417878,-0.0069041923,0.00255656
5,0.3150438,0.04516931,-0.04401853,-0.0014327355,0.037125356,-0.014731134,0.0,0.06547814,0.032869067,0.0003692815,0.017147217,0.0,0.0,-0.011427793,0.023610733,0.016149694,0.025867123,-0.006178214,0.20933904,0.07946409,0.105332404,0.064386465,0.07180992,1.1354277,0.0,0.22551773,0.0,0.0,0.031940147,0.0,-0.014687609
6,0.40322876,0.12889571,0.008699756,0.012874465,0.07152604,0.00093070185,-0.0009816033,0.059672583,0.040812362,-0.011647036,-0.0155383,0.004931654,0.0,-0.010153518,-0.022861639,0.025462376,0.08242255,-0.0041603837,0.15342861,0.0914351,0.099406995,0.035122134,0.042277597,1.1533241,-0.026139194,0.24171945,-0.0056810724,0.008428921,0.049242597,-0.004534697,0.0004885914
7,0.40521336,0.14490859,0.01240375,-0.012995241,0.07051446,-0.038230773,0.0,0.0806829,0.041818596,-0.013073002,0.016437141,-0.054747097,-0.034208167,0.010328037,-0.03634993,0.020428304,0.086067356,-0.016037133,0.16829045,0.08255905,0.095873944,-0.008600876,0.0626058,1.2162061,-0.0462483,0.24784508,-0.0402451,-0.04066241,0.04373388,-0.000811316,0.009010202
8,0.3930302,0.1318988,0.008248969,-0.033484027,0.06060318,-0.008257853,-0.018173411,-0.0044733584,0.021970846,0.00497752,-0.015134959,-0.028155675,-0.030437056,0.0,0.019250866,0.011470087,0.04704047,-0.03757321,0.21336946,0.0712349,0.09820148,0.06829402,0.042568535,1.1697387,-0.007816492,0.21398626,-0.008356357,0.009957622,0.045348987,-0.04563259,-0.040585853
9,0.40951288,0.07325534,-0.03129709,-0.05494556,0.023015358,0.0,-0.0035880897,0.06786226,0.045441233,-0.005818149,0.005448317,-0.029628545,-0.0346122,-0.0017223783,0.031036573,0.004292626,0.08294941,-0.0056799552,0.14921571,0.08320239,0.09736922,0.029477239,0.07425406,1.1735052,-1.4260461e-05,0.21228532,0.0,-0.005569696,0.036051974,-0.014794068,-0.0049620722
