method,q,alpha_kn,feature,label_zh,mean_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
clustered_between_seller,0.1,0.05,avg_price,平均商品价格,0.0845256085579761,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,avg_freight,平均运费,-0.003346630185806931,0.025,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_product_weight_g,平均商品重量,0.0028593848928261645,0.55,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_product_length_cm,平均商品长度,-0.004835808344281388,0.025,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_product_height_cm,平均商品高度,-0.004325228313782135,0.0,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_product_width_cm,平均商品宽度,0.0114286082836593,0.9,0.025,0.775,False
clustered_between_seller,0.1,0.05,avg_product_photos_qty,平均商品图片数,-0.0026277764892786216,0.45,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_product_name_length,平均商品标题长度,-0.0030763237417630062,0.4,0.0,0.0,False
clustered_between_seller,0.1,0.05,avg_product_description_length,平均商品描述长度,0.011164309361751648,0.95,0.05,1.55,False
clustered_between_seller,0.1,0.05,avg_payment_installments,平均支付分期期数,0.013756997980219326,0.775,0.05,1.55,False
clustered_between_seller,0.1,0.05,avg_payment_sequential,平均支付序列数,0.032174341709955034,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,credit_card_ratio,信用卡支付占比,0.06827114612215096,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,boleto_ratio,Boleto支付占比,0.07466988439087878,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,voucher_ratio,代金券支付占比,0.06570012765954672,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,debit_card_ratio,借记卡支付占比,0.06171633712462763,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,avg_review_score,平均评价得分,0.006844544911231443,0.8,0.025,0.775,False
clustered_between_seller,0.1,0.05,avg_delivery_days,平均下单至送达天数,0.03851870821564426,0.975,0.05,1.55,False
clustered_between_seller,0.1,0.05,avg_approval_days,平均下单至审核天数,0.0007573962349584115,0.7,0.025,0.775,False
clustered_between_seller,0.1,0.05,avg_ship_days,平均审核至承运天数,0.012461061331304469,0.9,0.05,1.55,False
clustered_between_seller,0.1,0.05,avg_estimate_gap_days,平均预计提前送达天数,0.0025353046060959234,0.775,0.0,0.0,False
clustered_between_seller,0.1,0.05,item_count,成交件数,0.10657326848988291,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,order_count,成交订单数,0.13362560808012297,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,category_count,活跃品类数,0.09119980962884541,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,unique_customer_count,独立顾客数,0.2531454222280728,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,buyer_state_diversity,买家州数量,0.1350385792044288,1.0,0.05,1.55,False
clustered_between_seller,0.1,0.05,dominant_customer_state_share,第一大买家州占比,0.004752738555038262,0.725,0.05,1.55,False
clustered_between_seller,0.1,0.05,interstate_ratio,跨州交易占比,0.012454338116529937,0.875,0.025,0.775,False
clustered_between_seller,0.1,0.05,avg_distance_km,平均卖家-买家距离,0.014059014393953951,0.95,0.05,1.55,False
clustered_between_seller,0.1,0.05,seller_state_frequency,卖家所在州频率,-0.0050005122041495795,0.05,0.0,0.0,False
clustered_between_seller,0.1,0.05,marketing_origin_frequency,营销来源频率,0.006373221026390171,0.85,0.05,1.55,False
