feature,label_zh,importance_mean,importance_sd
unique_customer_count,独立顾客数,1.272134341199572,0.03406559910922498
order_count,成交订单数,0.40745103021102536,0.01698431733656491
avg_price,平均商品价格,0.18633141179840962,0.012807112337876254
avg_ship_days,平均审核至承运天数,0.03380698297498173,0.010603018993014078
buyer_state_diversity,买家州数量,0.028935089477359188,0.0032705548528047562
avg_product_weight_g,平均商品重量,0.01858062723756877,0.005930237853451367
avg_product_width_cm,平均商品宽度,0.015056952892392683,0.0038212376591793057
avg_product_name_length,平均商品标题长度,0.014687315039616244,0.0039012611395737077
avg_product_height_cm,平均商品高度,0.009820213806872414,0.003630921044794086
item_count,成交件数,0.00784247837320189,0.0018302811285086146
avg_product_description_length,平均商品描述长度,0.006196349105628052,0.001717851951288116
avg_product_length_cm,平均商品长度,0.006034292000342311,0.0020782734263080503
dominant_customer_state_share,第一大买家州占比,0.004636287867405109,0.0016129347359619475
seller_state_frequency,卖家所在州频率,0.004306331407408414,0.0034525890743697407
category_count,活跃品类数,0.003808786486186566,0.004198411234545545
avg_delivery_days,平均下单至送达天数,0.0019374031455200225,0.0012694681468552954
avg_estimate_gap_days,平均预计提前送达天数,0.0014568801876935211,0.0017427090112945892
avg_review_score,平均评价得分,0.001167489676802802,0.0010009464000720297
avg_freight,平均运费,0.0009418988499374948,0.0020740982978106155
avg_product_photos_qty,平均商品图片数,0.0009056760634236661,0.0018218526768236719
avg_payment_sequential,平均支付序列数,0.0007488039263575885,0.0006149509325725471
voucher_ratio,代金券支付占比,0.000700989906540439,0.0009163888763464348
credit_card_ratio,信用卡支付占比,0.00027092870229497026,0.00013745173340014183
debit_card_ratio,借记卡支付占比,0.0,0.0
marketing_origin_frequency,营销来源频率,0.0,0.0
has_marketing_deal,是否匹配营销成交线索,0.0,0.0
boleto_ratio,Boleto支付占比,-5.763915626157967e-05,0.00028567492143257047
avg_approval_days,平均下单至审核天数,-0.00019913997612057698,0.0005363354234855473
avg_payment_installments,平均支付分期期数,-0.00038425381717974714,0.0009694390580020252
interstate_ratio,跨州交易占比,-0.0022351178797118897,0.0003088984987829966
avg_distance_km,平均卖家-买家距离,-0.004501657952636684,0.0028054476891580284
