ablation,setting,repetitions,selected_count,overlap_with_main,jaccard_with_main,median_frequency_selected,max_mean_evalue
S矩阵,mvr,30,16,14,0.875,0.9666666666666667,28.416666666666668
S矩阵,sdp,30,16,13,0.7647058823529411,1.0,30.483333333333334
S矩阵,equicorrelated,30,12,12,0.8571428571428571,0.8500000000000001,26.866666666666667
重复次数,M=1,1,12,12,0.8571428571428571,1.0,31.0
重复次数,M=5,5,16,14,0.875,1.0,31.0
重复次数,M=10,10,15,14,0.9333333333333333,1.0,31.0
重复次数,M=20,20,17,14,0.8235294117647058,1.0,29.45
重复次数,M=40,40,16,14,0.875,0.95,28.2875
重复次数,M=60,60,14,14,1.0,0.95,28.675
边际与统计量,Copula-MVR-Lasso,60,14,14,1.0,0.95,28.675
边际与统计量,原始高斯-MVR-Lasso,40,12,11,0.7333333333333333,0.575,17.05
边际与统计量,Copula-MVR-XGBoost,25,0,0,0.0,0.0,5.58
