repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km,seller_state_frequency,marketing_origin_frequency,has_marketing_deal
0,1.1840789,0.010751724,0.06397605,0.0725497,0.1495161,0.21912622,0.32761872,0.424829,-0.056245565,0.004158497,-0.0063735247,0.18720746,0.050420046,-0.12068951,-0.17987621,0.025655985,0.11162257,0.109372735,0.5603575,0.09025538,0.58302766,0.85727966,0.09529495,0.9690781,0.15698391,0.21150434,-0.13063323,0.02565062,0.6158583,-0.020781875,0.15090573
1,1.2391598,0.08624387,0.23652929,0.088449,0.346444,0.25772965,0.0443269,0.28221667,0.02483821,0.1711322,-0.11330986,0.117857575,-0.01680398,-0.12524617,0.034547567,0.03710282,0.0069895983,-0.10918367,0.6274429,0.055361688,0.5180418,0.84109056,0.29824752,1.0492893,0.26267445,0.094227195,-0.04701376,-0.003934264,0.27352846,-0.3143441,0.28080344
2,1.0616622,0.211182,0.34215987,0.08542931,0.19140458,0.31975365,0.3560099,0.21769452,-0.08121896,0.0045894384,-0.25347114,0.0025087595,0.0044521093,-0.017675579,-0.012166262,0.19115806,0.05065036,-0.09078503,0.6900969,0.19570082,0.6690449,0.7980824,0.15045583,1.0016971,0.33127856,0.25578856,0.12525582,0.0060151815,0.16974008,-0.15800858,-0.023342967
3,1.3244884,-0.016609073,0.18517381,0.16494906,0.34978294,0.1014837,0.43735373,0.46422446,0.054893613,-0.079157114,-0.2469405,0.1163671,0.2271564,-0.036910772,0.020835876,-0.21437836,0.018618345,0.33282053,0.56197,0.07621032,0.62751305,0.8820613,0.44828844,1.0485129,0.31271493,0.18888247,0.21049064,0.0602926,0.33519816,-0.020289183,-0.056672454
4,1.2759615,0.09127319,0.046287894,0.0066651106,0.14066589,0.19914281,0.32491016,0.4245447,0.00514102,-0.15948117,0.11664748,-0.099500775,0.03914237,-0.028517485,0.15301919,0.025548577,0.054511905,-0.0011287928,0.80796295,0.08786988,0.70764816,0.9901041,0.20369649,0.9395176,0.28060699,0.22825909,-0.084147096,-0.035707355,0.20918405,0.11793029,0.045506835
5,1.2542603,0.17099434,0.3013717,-0.130355,0.28989547,0.33084327,0.2334646,0.4054793,-0.16511667,0.2495954,0.025997043,0.0496397,0.0046612024,0.004016638,0.064798355,0.23974216,0.0022666454,0.029588342,0.6146016,0.012417316,0.5463614,0.81804395,0.46609497,1.0136669,0.0062315464,0.2082001,-0.12785137,-0.06848657,0.058040023,0.058330655,0.14811683
6,1.069316,-0.0033944845,0.14804077,-0.16560876,0.15149999,0.19698942,0.29959315,0.3849671,-0.24910033,-0.04755485,-0.3141371,0.14233649,0.18476123,-0.08272195,0.2448473,0.13735771,0.11108148,0.06631529,0.7166406,0.0069087744,0.6025703,0.824929,0.23776627,0.86476564,0.33010447,0.35615194,0.03200078,0.20881438,0.10341382,0.032681108,0.029907346
7,1.166956,0.1254996,0.11380482,0.1938045,0.082952976,0.1402545,0.19344664,0.40959966,0.058562994,0.13446808,-0.00642395,0.22211158,-0.01836729,0.052253366,-0.20270765,-0.0044733286,0.06021297,0.22824317,0.70183533,-0.09231436,0.6247486,0.8004712,0.32205677,1.0782099,0.052868366,0.23604345,-0.012944818,-0.0062708855,0.26574266,0.09631014,-0.047566175
8,1.1928053,0.1099987,0.27490222,-0.011271238,0.037383676,0.12268281,0.42662668,0.1399759,-0.13782322,-0.08469701,-0.0912596,0.27922982,0.05698192,0.0217247,0.08549297,0.045052767,0.19440138,-0.040621996,0.64038134,0.025618017,0.54650486,0.8306439,0.18296134,1.0616412,0.27109194,0.16193843,-0.12044501,-0.011761546,0.4378152,-0.105975986,0.25277436
9,1.0459391,-0.008901358,0.005499959,0.11622858,0.06198597,0.33604443,-0.15616977,0.5251317,-0.0144382715,0.16167837,-0.012640715,-0.01810658,-0.0063216686,-0.07717383,0.027133465,-0.10331249,0.05693555,0.002811432,0.63979787,0.104762554,0.49287212,0.8870799,0.040609837,0.85816926,0.13113606,0.17594612,0.052164912,-0.12641168,0.25588155,-0.02139318,0.037083387
10,1.1258267,0.1274352,0.06950426,-0.008108735,0.15310407,0.28103638,-0.07446945,0.42040002,-0.12271261,-0.010773063,-0.20917964,0.18350947,0.027067304,-0.26328534,-0.046925545,-0.11776948,0.19192344,-0.03453219,0.53112155,0.024865985,0.5304112,0.8482968,0.32775855,0.99884796,0.22771144,0.17674184,-0.09356308,0.0993824,0.3821116,0.15211582,0.15556467
11,1.2103069,0.070949554,0.08012986,0.08930433,0.14096761,0.13555384,0.10800338,0.5093348,0.055562496,0.060147285,0.19275975,0.1443224,0.21496308,-0.09248054,0.19102454,0.15560853,0.101866245,0.12800652,0.81950665,-0.1573062,0.7349195,0.6929002,0.46806997,1.2305015,0.1222409,0.108801484,0.08635461,0.023044229,0.48415232,-0.14518845,0.056354284
12,1.3461714,0.041042805,0.14385998,0.30889392,0.051111102,0.32804328,0.3948766,0.46965063,0.30783045,0.24094397,-0.01747346,0.0016965866,-0.041616917,-0.08850789,0.14159858,0.12011063,0.13707697,0.12882268,0.628763,0.028182745,0.6302381,0.84111637,0.10958183,1.0454191,0.1282394,0.09711838,-0.11675441,-0.16273606,0.0035283566,-0.12585664,0.26945174
13,1.1787426,0.018694162,-0.034505486,0.026979804,0.21743202,0.06824303,0.09431672,0.10188103,-0.11917114,-0.013407707,-0.058534145,0.09347141,0.13454807,-0.10382426,0.22944045,0.030994773,0.23970795,-0.0074425936,0.621139,0.03380108,0.5222589,0.8695603,0.3185954,1.0561535,0.20260882,0.3314196,-0.15184104,0.064156055,0.19603181,-0.05061519,0.35993314
14,1.2244828,0.08095598,0.1286887,-0.017703056,0.19301528,0.18258214,-0.07669997,0.22062981,-0.05068481,-0.080712676,-0.011387825,0.15229845,0.10379958,-0.07242572,0.1503967,0.0150722265,0.25101876,0.12073171,0.610169,-0.020046115,0.5081706,0.8892396,0.27310228,0.83820194,0.18453324,0.15876853,0.1073302,-0.030842066,0.22822034,0.08440304,0.03731501
