feature,label_zh,coefficient,cluster_se,t_value,p_value,ci95_low,ci95_high
avg_price,平均商品价格,0.02535809307821737,0.03070489370951758,0.8258648708611922,0.4088807500672349,-0.03482239274156755,0.08553857889800229
avg_freight,平均运费,-0.049220158628008784,0.028070056284420903,-1.753475594394385,0.07952040517181208,-0.10423645798948597,0.005796140733468395
avg_product_weight_g,平均商品重量,-0.005630293714718782,0.04008608702361827,-0.14045505891860874,0.8883004582173426,-0.084197580562149,0.07293699313271144
avg_product_length_cm,平均商品长度,-0.0015424775988073566,0.02899350164993315,-0.0532008040088153,0.9575719150179535,-0.058368696618378964,0.05528374142076425
avg_product_height_cm,平均商品高度,0.06275005808461104,0.02925128509055277,2.1452068820346395,0.03193630961380484,0.005418592805614159,0.12008152336360792
avg_product_width_cm,平均商品宽度,-0.018608154702169016,0.029391481102020747,-0.6331138821340192,0.5266592774868553,-0.0762143991144193,0.03899808971008127
avg_product_photos_qty,平均商品图片数,-0.038274142566126955,0.02534510057006841,-1.510119972115133,0.13101281415774343,-0.08794962686800664,0.011401341735752725
avg_product_name_length,平均商品标题长度,-0.0259956448216244,0.021248328204494935,-1.223420712041016,0.2211708343631229,-0.0676416028341211,0.01565031319087231
avg_product_description_length,平均商品描述长度,0.0038754930413818015,0.02459169291542101,0.1575935847406239,0.8747770590370709,-0.04432333939171218,0.05207432547447578
avg_payment_installments,平均支付分期期数,-0.001112763900104988,0.018101082220091665,-0.061474992852629175,0.9509809295424063,-0.036590233132682976,0.034364705332473
avg_payment_sequential,平均支付序列数,-0.012983111072448419,0.017356763676507177,-0.7480145097568731,0.4544514056276081,-0.047001742766575504,0.021035520621678662
credit_card_ratio,信用卡支付占比,-0.16238321074518677,0.14747069714417574,-1.101121876344232,0.27084361707246185,-0.45142046592278506,0.1266540444324115
boleto_ratio,Boleto支付占比,-0.15020056468205462,0.13848158586955628,-1.084624816641955,0.2780878590317304,-0.4216194855083758,0.12121835614426657
voucher_ratio,代金券支付占比,-0.07152270724969721,0.06130889024745996,-1.1665960183100919,0.24337355207534994,-0.1916859240668377,0.04864050956744327
debit_card_ratio,借记卡支付占比,-0.03468434658784447,0.041068559012532355,-0.8445474450968758,0.3983635626460652,-0.11517724314936573,0.04580854997367678
avg_review_score,平均评价得分,0.005729737045948688,0.014949756799304643,0.3832662378972743,0.7015223697455215,-0.023571247858321206,0.035030721950218585
avg_delivery_days,平均下单至送达天数,0.044388794189843934,0.028633599695340607,1.5502345028965074,0.12108524131606006,-0.011732029960760719,0.10050961834044858
avg_approval_days,平均下单至审核天数,-0.003392572705740957,0.018696751436134876,-0.18145252223785746,0.8560123962403241,-0.04003753214846285,0.033252386736980936
avg_ship_days,平均审核至承运天数,-0.1077445213397177,0.019331696505010067,-5.5734643522773215,2.4972277119404007e-08,-0.14563395024959627,-0.06985509242983912
avg_estimate_gap_days,平均预计提前送达天数,0.02175702831660439,0.02548130914360666,0.8538426418355078,0.3931921839800253,-0.028185419883795828,0.0716994765170046
item_count,成交件数,-0.057481403048902424,0.04798673740595571,-1.1978602038022348,0.23097144483614385,-0.15153368010015664,0.03657087400235179
order_count,成交订单数,0.41635950111448344,0.3791801174011551,1.0980520391421111,0.2721817663487375,-0.3268198726454499,1.1595388748744169
category_count,活跃品类数,0.0042681291385693754,0.018628704426003923,0.22911572597670657,0.8187789709772049,-0.032243460615040215,0.04077971889217896
unique_customer_count,独立顾客数,0.20107117069963548,0.37651060737566944,0.5340385284258765,0.5933148780049332,-0.5368760595539774,0.9390184009532485
buyer_state_diversity,买家州数量,0.06339922658973658,0.04969219435375679,1.275838739146836,0.20201253024078825,-0.033995684656391356,0.16079413783586452
dominant_customer_state_share,第一大买家州占比,0.014549233742719244,0.032254409819533016,0.45107735110094443,0.6519338007620483,-0.04866824784616053,0.07776671533159901
interstate_ratio,跨州交易占比,0.005753140349535146,0.022470334274962263,0.25603269978700877,0.7979255878483882,-0.03828790554996683,0.04979418624903713
avg_distance_km,平均卖家-买家距离,-0.04705749316709856,0.026251153085776625,-1.7925876632289806,0.07303888049248908,-0.09850880776786824,0.004393821433671126
