target,generator,stat_model,q,alpha_kn,feature,label_zh,mean_w,median_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
log_aov_next_week,copula,lasso,0.2,0.1,avg_price,平均商品价格,0.11193061168428323,0.11250251680513451,1.0,1.0,28.2875,True
log_aov_next_week,copula,lasso,0.2,0.1,avg_freight,平均运费,0.02620936616422731,0.026890512023407444,1.0,1.0,28.2875,True
log_aov_next_week,copula,lasso,0.2,0.1,avg_product_weight_g,平均商品重量,0.0036233805869286704,0.004265680926965814,0.9,0.475,12.4,True
log_aov_next_week,copula,lasso,0.2,0.1,avg_product_length_cm,平均商品长度,-0.0015771760613367326,0.0,0.0,0.0,0.0,False
log_aov_next_week,copula,lasso,0.2,0.1,avg_product_height_cm,平均商品高度,0.012169913552329523,0.012913736441586304,1.0,0.975,27.5125,True
log_aov_next_week,copula,lasso,0.2,0.1,avg_product_width_cm,平均商品宽度,0.015401753084755504,0.01542190896278238,1.0,1.0,28.2875,True
log_aov_next_week,copula,lasso,0.2,0.1,avg_product_photos_qty,平均商品图片数,0.0030466430203763945,0.00405915646566712,0.9,0.3,6.975,False
log_aov_next_week,copula,lasso,0.2,0.1,avg_product_name_length,平均商品标题长度,0.008701945960493628,0.00934089008670914,1.0,0.875,24.4125,True
log_aov_next_week,copula,lasso,0.2,0.1,avg_product_description_length,平均商品描述长度,-0.0010784713034979628,-5.121607531606174e-05,0.05,0.0,0.0,False
log_aov_next_week,copula,lasso,0.2,0.1,avg_payment_installments,平均支付分期期数,0.0002930535792449166,0.000840057135430785,0.75,0.125,1.9375,False
log_aov_next_week,copula,lasso,0.2,0.1,avg_payment_sequential,平均支付序列数,-0.0006232494104826093,0.0005686350887921798,0.6,0.15,2.325,False
log_aov_next_week,copula,lasso,0.2,0.1,credit_card_ratio,信用卡支付占比,-0.0008703275071743832,0.0,0.0,0.0,0.0,False
log_aov_next_week,copula,lasso,0.2,0.1,boleto_ratio,Boleto支付占比,0.0034939426918401623,0.003910224736533225,0.925,0.375,8.9125,False
log_aov_next_week,copula,lasso,0.2,0.1,voucher_ratio,代金券支付占比,-0.0009945700555264517,0.00023575129368992551,0.525,0.075,1.1625,False
log_aov_next_week,copula,lasso,0.2,0.1,debit_card_ratio,借记卡支付占比,0.0019831690090127583,0.0035145201307214,0.8,0.275,6.5875,False
log_aov_next_week,copula,lasso,0.2,0.1,avg_review_score,平均评价得分,-0.0010148511946518513,0.0,0.0,0.0,0.0,False
log_aov_next_week,copula,lasso,0.2,0.1,avg_delivery_days,平均下单至送达天数,-0.0009070556359181492,0.0,0.0,0.0,0.0,False
log_aov_next_week,copula,lasso,0.2,0.1,avg_approval_days,平均下单至审核天数,-0.0003038808655632675,0.0,0.0,0.0,0.0,False
log_aov_next_week,copula,lasso,0.2,0.1,avg_ship_days,平均审核至承运天数,0.03221568074481471,0.033559743911633855,1.0,1.0,28.2875,True
log_aov_next_week,copula,lasso,0.2,0.1,avg_estimate_gap_days,平均预计提前送达天数,-0.0006403836085075589,0.0,0.0,0.0,0.0,False
log_aov_next_week,copula,lasso,0.2,0.1,item_count,成交件数,0.05453552343930457,0.05600882762970806,1.0,1.0,28.2875,True
log_aov_next_week,copula,lasso,0.2,0.1,order_count,成交订单数,0.1063268164938989,0.10756341369002204,1.0,1.0,28.2875,True
log_aov_next_week,copula,lasso,0.2,0.1,category_count,活跃品类数,0.022828208275033523,0.023504515519009714,1.0,1.0,28.2875,True
log_aov_next_week,copula,lasso,0.2,0.1,unique_customer_count,独立顾客数,0.1202603765590965,0.12293449985289029,1.0,1.0,28.2875,True
log_aov_next_week,copula,lasso,0.2,0.1,buyer_state_diversity,买家州数量,0.043859416516067895,0.04589409851105497,1.0,1.0,28.2875,True
log_aov_next_week,copula,lasso,0.2,0.1,dominant_customer_state_share,第一大买家州占比,0.04622424181505437,0.04885301738808313,1.0,1.0,28.2875,True
log_aov_next_week,copula,lasso,0.2,0.1,interstate_ratio,跨州交易占比,-0.0013093142655068797,0.0,0.0,0.0,0.0,False
log_aov_next_week,copula,lasso,0.2,0.1,avg_distance_km,平均卖家-买家距离,-0.00018329034807840498,0.0,0.0,0.0,0.0,False
log_aov_next_week,copula,lasso,0.2,0.1,seller_state_frequency,卖家所在州频率,0.003132729424629514,0.004219252629146003,0.875,0.3,6.975,False
log_aov_next_week,copula,lasso,0.2,0.1,marketing_origin_frequency,营销来源频率,0.008320949465978172,0.00914867375486517,0.975,0.7,18.9875,True
log_aov_next_week,copula,lasso,0.2,0.1,has_marketing_deal,是否匹配营销成交线索,0.011837423610950507,0.012631608674576057,1.0,0.9,25.1875,True
