repetition,avg_price,avg_freight,avg_product_weight_g,avg_product_length_cm,avg_product_height_cm,avg_product_width_cm,avg_product_photos_qty,avg_product_name_length,avg_product_description_length,avg_payment_installments,avg_payment_sequential,credit_card_ratio,boleto_ratio,voucher_ratio,debit_card_ratio,avg_review_score,avg_delivery_days,avg_approval_days,avg_ship_days,avg_estimate_gap_days,item_count,order_count,category_count,unique_customer_count,buyer_state_diversity,dominant_customer_state_share,interstate_ratio,avg_distance_km,seller_state_frequency,marketing_origin_frequency,has_marketing_deal
1,0.07517222903975004,0.048246990727400026,-0.005949393795183897,0.0,0.009606767863514411,0.016089383147017508,0.008967238953106776,0.02172703851219624,0.0,0.0,0.00244454332393779,-0.0008932960341557553,0.0,0.0,-0.0009431032531762349,0.0005534957336038996,0.0,0.0,0.041459378425274085,-0.0014376234000240606,0.0,0.15896374187823992,0.019618277579459865,0.27560549743668855,0.0,0.0575533908618033,0.0,-0.010720511565446726,0.003210189948925357,-0.0038963484430744643,0.021363473894750455
2,0.08443681934384759,0.039777088658742354,0.0,-0.010581212847460386,0.007882946680434752,0.02493139324167481,0.0064585425288500465,0.015444515325980662,-0.0005510252601596528,-0.0012965902226729656,-0.0017732183556655062,0.0,0.0,0.0,0.0,-0.001173155554176644,1.270644716946068e-06,0.0,0.04064812323461853,7.22301249920179e-05,0.0,0.1584633143940608,0.019854159961721428,0.27592271657829687,0.0,0.05877035218836579,-0.004049160090333236,0.0,0.006318995017993361,0.0,0.024062375875469645
3,0.09008770164568398,0.038960409574651515,-0.009775486882556904,0.0,0.015411792714412995,0.022451425955249463,0.008364044430307898,0.02278697981535946,-0.002556894016834792,-0.0005157665667245075,0.005099087095302857,0.0,0.00041885104220242247,0.0,0.0,0.0023809988821388087,-0.003714574118948035,0.0,0.043751442655907455,0.00115638591178397,0.0,0.15888602259353385,0.019398790787439738,0.2766610787452479,0.0,0.05876761813751398,-0.0005259447023522285,0.0,0.00536805586071471,-0.0022289421701564512,0.023013471863528104
4,0.08762861247119899,0.027858825309460794,0.0,-0.008823737834052457,0.013285601314337444,0.024703168485429267,0.005048819063362044,0.016666489490471476,0.0,0.0,0.003639214054899576,0.0,0.0005405102068143312,0.0,0.0,-0.0014013211186942568,0.003096472824281399,0.0,0.043640498446628075,0.002261059771850306,0.0,0.13547775786446617,0.018122675453254536,0.25325529713208844,-0.0011649380193688883,0.05892307933735803,0.0011024298979064456,0.0,0.0021583878326434493,-0.0010700029522183517,0.02442786143910437
5,0.08200815875830061,0.04103386292506749,0.00045814795594159346,0.0,0.010431490508243185,0.017156369425228055,0.006677513509277134,0.021771525510966973,-0.0022626506012292783,-0.0021337812976715137,0.00493602457257909,0.0,0.0,0.0,0.0,0.0020235391716125033,0.0026223701439087605,-0.00042472490347488905,0.04328271762239453,0.001567403710877079,0.0,-0.02715945403597121,0.01922424286374257,0.20451072850086607,0.0,0.0586286607635318,0.000993949286335449,0.0,0.005036297708818548,0.0,0.025227700558293913
6,0.07622314203111358,0.04314338508018805,0.0033531909411673934,0.0,0.011039082753018178,0.02045181963016737,0.009669370576194596,0.02205846621869377,0.0,-0.0021743356007762294,0.005216396963649089,-0.00046521159189331874,0.0005683053460519851,0.0,0.0,0.001434262629220431,0.005508005080785798,0.0,0.04351284282355631,-0.006240997863093029,-0.00047730486995851816,0.11418622329854894,0.009814891328765084,0.19748805555297347,0.0,0.05315506770825806,0.000359020657826936,0.0,0.006061601261222431,-0.016572241162220173,0.00970233918618481
7,0.07745209089055605,0.03744319234935956,0.005564798318985544,0.0,0.013009399806273813,0.0193306308274687,0.009037489121700954,0.02238974168563137,0.0,0.0,0.00434366738328653,-0.0027224050292131976,0.0,0.0,-0.0002181781277868447,0.003131903443482321,0.003016645513376906,-0.0030574346595056106,0.04313507665391602,0.0008765488153872426,-0.03613792393104569,0.06239020553846486,0.01007984763367789,0.1335630898915019,0.0,0.05973969340828356,0.0017385512018465263,0.0,0.0025048212833936037,0.0,0.025011462105654948
8,0.08945875024336879,0.038484711094785254,-0.005577136336918811,0.0,0.014285537499634212,0.02166593015518307,0.008445517801566714,0.020688477055399192,0.00041272186206600735,0.0,0.002622469020868561,0.0,0.0,0.0,0.0,0.0020778091590296834,0.0031217377766889634,-0.006196736366145621,0.04380679008223285,0.001636418897642421,0.0,0.16042127338790194,0.019177864948634063,0.275536985486733,0.0,0.058898134652926606,0.002083429868511167,0.0,-0.0011184424363988015,0.0,0.025216047494773876
9,0.08845820727817527,0.040405440436519176,0.003415510692635166,0.0,0.01341814100942332,0.02112320451149694,0.007305869635067294,0.013664400855431068,-0.0017785609855115931,0.0,0.000576376082921807,0.0,0.0007683311633245317,0.0,0.0,0.00025105207519914,0.00355383041049422,0.0,0.03994237619040304,0.0016279281138477084,0.0,0.12647770593298308,0.0161755367850772,0.2722994432443608,-0.004829500882779285,0.05668909115939061,0.0016329010012981376,0.0,0.003243572415149139,0.0,0.025196566181027447
10,0.09015328538109053,0.029715124091597652,0.0,-0.0010232271939559555,0.013922262814412958,0.021317544909563595,0.00890622233312497,0.022499616281695892,0.0,0.0,0.00507797938661132,0.0,0.0008087786038698984,0.0,0.0,-0.005299032874483546,0.005912970331846118,0.0,0.035768778480134975,0.0009406981128172444,0.0,0.15604394653764203,0.01967199510499403,0.26302932684619684,-0.02649112643344403,0.047362598824601906,-0.003207746223319722,0.0,0.005101690684797622,0.0,0.01808873269338534
11,0.08958651902161296,0.042655171690125525,0.0017137935296434076,-0.0020441595503782038,0.013491648257821787,0.018107586781765155,0.007280657390974233,0.013174408940697413,0.0009732013812286251,0.0,0.005217682695499211,0.0,3.6884673891354694e-05,0.0,0.0,0.0014335595590035134,0.0010152662064317622,-0.0007215776630412358,0.038651775806432837,-0.003388538401039957,-0.013584906561717899,0.14864613660356515,0.013871168651152638,0.2724280745471211,0.0,0.05848961452469754,0.0,-0.005587772242040777,0.006139967610125154,0.0,0.02503201958267177
12,0.07565390160352818,0.04226373582090454,0.00205114816287889,-0.0002932448161024388,0.009185977812404933,0.020251151689812882,0.009403120307311136,0.02004994148659122,0.0,-0.00598030268834759,-0.0005297358547986437,0.0,0.0,0.0,0.0,0.0022466872140876858,0.0029459887059165787,-0.0021250660654223894,0.04373738811197729,0.0013633691963956967,0.0,0.11259156042897826,0.018341044065589247,0.19567435368404398,-0.01137990974739695,0.05372435793060584,0.0009985264335997655,0.0,0.005402399324298697,0.0,0.02108725914231338
13,0.08838155160552676,0.04326299224856753,0.007340085441445195,0.0,0.009961767857768247,0.011682703640862432,0.003872661398777272,0.02143079504988215,-0.0010329311714047614,0.0,0.00345048762564131,1.116955489652134e-05,0.0,0.00012484972686197402,0.0,0.001173733570691581,0.0029407269918286932,-0.000876897696057471,0.04407200663319192,-0.009688406951653602,0.0,0.12851859958885153,0.018583366065607412,0.22728676578171447,0.0,0.05806423548774673,0.0,0.0,0.003634740286585351,0.0,0.024841811383819416
14,0.08785425909247377,0.038160521706081765,0.005585303350417722,0.0,0.013646593831860308,0.00850042418594858,0.009122115112023252,0.022088159166672196,-0.0007925156473803843,-0.003953796940397593,0.00042092658218186507,0.0,0.0,0.0,0.0,-0.0006310549847589337,-0.00018308570185555025,-0.0011456086686272434,0.04178729336437306,0.0,0.0,0.15858253313373288,0.019441557694491022,0.2773709286801768,0.0,0.057970094943845515,-0.009304883327757267,0.0,0.005302841742080437,0.0,0.02213013726763851
15,0.08892722689543199,0.0409533754272114,0.004196266186051824,0.0,0.01065147790578388,0.020647186757956473,0.0031183362753857196,0.02040332948411037,-0.0005567749761435166,0.0,0.005227146337837494,0.0,-0.0008334570902697368,0.0,0.0,0.002087140790087711,0.0020766051780438267,-0.0001472326184167821,0.04113088343668956,0.0010288797100930027,0.0,0.1425635594322908,0.019808964646676926,0.27072089664352494,-0.019411688842906238,0.05052859934127482,-0.0032780786967560216,-0.004636617853186735,0.00452637485325009,0.0,0.020843754662930293
16,0.08882428361978657,0.04122846642614787,0.00507024848059413,-0.004254133375820491,0.013828182974296261,0.02015238037940364,0.01006890745002239,0.02156039645505218,-0.007266297180121216,-0.004413268057401419,0.005488113567200049,-5.218927659278468e-05,0.0,0.0,0.0,-0.0033229054001131433,0.004444159736976869,-0.004955549550207947,0.04119936340864135,-0.0005792832310784317,0.0,0.07160925217819114,0.013201477852514534,0.2460695201866503,0.0,0.05528316048937396,0.0,-0.0023643665076373637,0.005577238712995998,0.0,0.02545776488834346
17,0.08825290068724573,0.04078083548029216,0.00030011829257658496,-0.00810772817644159,0.012251877468023096,0.019973399304498544,0.008264418203516132,0.022385959992746462,0.0,0.0,0.004568167755842255,-0.0031378438974089366,0.0,0.0,-8.84512161235724e-05,7.579049612829129e-05,0.0016170546234725758,-0.0033799089846604856,0.041744072432575045,0.0015388145720505828,0.0,0.15629635542177286,0.0191324258894237,0.27613833766887014,0.0,0.0429075745114866,0.0004386201301195041,-0.0017443943366463317,0.005215960212667957,-0.002512717217321898,0.022949158261043122
18,0.08429027436163074,0.041415872753029444,0.005159926767806251,-0.0001634695008206521,0.009506803123217427,0.01982824979239394,0.00792713731038663,0.02298662927260331,-0.005727627209345359,0.0,0.00440175264656084,0.0,0.0005380895944161225,0.0,0.0,-0.000690749564032422,0.007112719899770347,0.0,0.03110143169230377,0.002929401999369286,0.0,0.15667942814493996,0.019093671573588187,0.2787807078263559,0.0,0.059163400127393004,-0.003297398574154622,0.0,0.002090398236458164,0.0,0.02500992605450177
19,0.08845166768650049,0.037085441401063506,0.0013734876494502475,0.0,0.014018703412012102,0.018829852751899398,0.005441060740997972,0.017985134615197865,0.0,0.0,0.0016137581036450546,0.0,0.0009297771314743977,0.0,0.0,-0.0007676038044890532,0.0050710572354200996,0.0,0.03723693986080054,0.001602352758124852,0.0,0.06512755730749017,0.018986026896768617,0.24777610063265934,0.0,0.05843138528602587,0.0001433097701878557,-0.0011519197264259825,0.0034781176547012647,0.0,0.01830882284365256
20,0.08896696441151351,0.04000413933395913,0.002399344418003106,0.0,0.010837787960903546,0.02047928176548578,0.007233830779063261,0.022004201708584022,0.00011960402746121297,0.0,0.005141935977710141,-0.00024016416463715418,0.0005214996236239281,0.0,0.0,-0.0048687710598839876,0.002776530627817466,0.0,0.043121283003442826,0.0009647233710787536,0.0,0.11074656956351656,0.011137155650534096,0.2512723347540571,-0.006646738032560439,0.05612523609188448,0.0030589205413374195,0.0,-0.002894156156007424,0.0,0.01775579818623466
21,0.08805586113183723,0.04060876841128021,0.00399074113180781,0.0,0.013005242255675373,0.017924823713759853,0.009761168973865265,0.021668783317684272,1.5225335576693426e-05,-0.001996341195816405,0.0049609591716029055,0.0,0.0,0.0,0.0,0.0023279563676397866,0.0026199880008926264,0.0,0.04314868567903196,0.0014506697710364206,0.0,0.11563659940857875,0.0044175938867529515,0.21297382292222578,0.0,0.05800678163440245,0.0017238073340722193,0.0,0.005034903970912248,-0.000795793965578859,-0.004043227583621316
22,0.08001661306496827,0.041819533587960374,0.004402640666852031,0.0,0.01321636796586228,0.020651989632140856,0.008617239868876747,0.020069880736782238,0.0,0.0,0.005196663246324096,0.0,0.00042157214832590705,0.0,0.0,0.0019252274243812303,0.003684192799215687,0.0,0.039954750998747186,0.0017851024168838838,0.0,0.15985435768682432,0.019331703353829815,0.2759135796100161,0.0,0.05884194146106481,0.0012223590493299998,0.0,0.005609875528181885,0.0,0.02514737792892963
23,0.08952408874270507,0.03712828952019528,0.00418517562151068,0.0,0.0062776509461578926,0.019861633115405418,0.006091491254428215,0.020751264525440575,-0.003558643246602408,0.0,0.000635248050011453,0.0,0.0015098466935459325,0.0,0.0,0.0014301085426589788,0.0031494247939106586,-0.0015671251622508956,0.043368131797473876,0.0016599508619790013,0.0,0.09377111077699546,0.009704635093266226,0.2597702260983954,-0.004738578617316902,0.056335939424219605,0.0005271715934015826,0.0,0.0051442843440362845,0.0,0.024922873103472923
24,0.08927618313162484,0.0430890234717484,0.0,-0.007309734520117469,0.01304019863521921,0.023471236641060177,0.008696100376661102,0.021396037530050923,-0.0052880460816630845,-0.003283571052403449,-0.011786720659017117,0.0,-0.002547369454181427,0.0,0.0,0.0020036662210400867,0.0,0.0,0.0424169213412596,0.0006694972185122873,0.0,0.019566247459450667,0.019008976480853385,0.23506115144172185,0.0,0.05686480310315728,0.0,-0.010761901484446248,-0.0007177986453508903,0.0,0.025358614711750712
25,0.08809669937041868,0.0443480799406152,0.003492227353184102,0.0,0.008914194523900175,0.020055368445130763,0.00810630972623575,0.020739054002516487,8.312035960547073e-06,-0.0022469379027797052,0.0026383092446585835,0.0,0.0,0.0,0.0,0.0022748203492602664,0.0,-0.0014156239343204563,0.042735816390378455,0.0,0.0,0.020402794614599915,0.018743397392786076,0.2342179621238877,0.0,0.04982283323279313,-0.005974591278388172,-0.003164582532384847,0.006555083192800826,-0.0029718118540533207,0.02239981282547703
26,0.08143735702772767,0.04148552394154495,0.002047559204155092,-0.0038291655708628226,0.01235506412954429,0.022135179723168478,0.008124931723879852,0.01576774256935671,-0.0016041889903650145,0.0,0.0005829604245941008,-0.0003254217833280229,-0.0010585543153700378,0.0,-0.0012537174412491647,-0.006042040900096678,0.003991843556770423,0.0,0.043549805159219745,0.0006896649843349104,-0.008607601787575126,0.15205695151751256,0.014393927348097173,0.2665802094851055,-0.01170029004593943,0.05398374150237193,0.0012273283928808173,0.0,0.00591534765324133,-0.008973971025872435,0.016955273237167796
27,0.08447654198344282,0.042203770790389554,0.004346049465909127,0.0,0.01014130161374174,0.021669616456638997,0.009153089151836947,0.021503171101494217,-0.007418678577948829,-0.004144745140675973,0.004942984618339451,0.0,0.0031628258907862037,0.0,0.0,0.00043918063792308367,0.0025104478770399535,-0.006797420528626462,0.042490905060107616,0.00018455189332759303,0.0,0.09402664562629785,0.01821430573515563,0.15841909315974567,0.0,0.04649147818207814,0.0,0.0,-0.00037547643234707006,0.0,0.025535541113269764
28,0.08351721061174168,0.03940763281796458,0.0018987536539830123,-0.0015981622620788389,0.010040368672231265,0.02049721931174412,0.008715978704822302,0.01973949268000017,0.00021632080479990694,0.0,0.005432075332179706,0.0,0.0,0.0,0.0,-0.009524862595200264,0.0006612229470427047,-0.003348095319433849,0.041909010637341475,0.0,0.0,0.10005645413508243,0.017571926895832243,0.15831883263933927,0.0,0.0568655139485904,0.0,-0.0080359945964787,0.006131107522430359,0.0,0.02535482150746733
