target,generator,stat_model,q,alpha_kn,feature,label_zh,mean_w,median_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
log_gmv,copula,lasso,0.2,0.1,avg_price,平均商品价格,0.7449094533573577,0.7451345707649581,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,avg_freight,平均运费,0.005411105620720905,0.00588967328251455,1.0,0.95,15.1125,True
log_gmv,copula,lasso,0.2,0.1,avg_product_weight_g,平均商品重量,0.006053410855826501,0.006104464248914206,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,avg_product_length_cm,平均商品长度,0.0031430367011107026,0.003215529098688423,0.975,0.975,15.5,True
log_gmv,copula,lasso,0.2,0.1,avg_product_height_cm,平均商品高度,0.0007538220250791807,0.0011049013268133923,0.8,0.675,10.85,True
log_gmv,copula,lasso,0.2,0.1,avg_product_width_cm,平均商品宽度,0.0017714104896952825,0.002092932322209239,0.925,0.9,14.3375,True
log_gmv,copula,lasso,0.2,0.1,avg_product_photos_qty,平均商品图片数,0.0028148581078252374,0.0031155930014902817,0.975,0.95,15.1125,True
log_gmv,copula,lasso,0.2,0.1,avg_product_name_length,平均商品标题长度,0.003042922842081941,0.0033372522509340042,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,avg_product_description_length,平均商品描述长度,0.0015557261254273177,0.0019125885701796628,0.925,0.85,13.5625,True
log_gmv,copula,lasso,0.2,0.1,avg_payment_installments,平均支付分期期数,0.026497719922045294,0.026877995866178395,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,avg_payment_sequential,平均支付序列数,0.011246853250237474,0.011575020052571963,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,credit_card_ratio,信用卡支付占比,0.0017189564791890456,0.0020868160132593403,0.875,0.825,13.175,True
log_gmv,copula,lasso,0.2,0.1,boleto_ratio,Boleto支付占比,0.014618973798133672,0.015062608684584516,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,voucher_ratio,代金券支付占比,0.004771217992243804,0.005108891192780536,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,debit_card_ratio,借记卡支付占比,0.008094720949403597,0.008337775943441657,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,avg_review_score,平均评价得分,0.011877070085495857,0.012074559084793542,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,avg_delivery_days,平均下单至送达天数,0.004180958924095475,0.0042661121917614234,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,avg_approval_days,平均下单至审核天数,0.00848964431848408,0.008523823323868139,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,avg_ship_days,平均审核至承运天数,0.010978034782165302,0.011058487166632054,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,avg_estimate_gap_days,平均预计提前送达天数,-0.0003880190911014792,-0.00021480258076545997,0.075,0.075,1.1625,False
log_gmv,copula,lasso,0.2,0.1,item_count,成交件数,0.32588630180665473,0.3262892433797187,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,order_count,成交订单数,0.1284540819179903,0.12889798589112023,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,category_count,活跃品类数,0.013950573959709566,0.014056712095184606,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,unique_customer_count,独立顾客数,0.13962486375548142,0.13994202612036732,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,buyer_state_diversity,买家州数量,0.08639756707874005,0.08666643884346004,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,dominant_customer_state_share,第一大买家州占比,0.017124115086364765,0.01761725449341278,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,interstate_ratio,跨州交易占比,0.009346850182168793,0.009650854237193286,1.0,1.0,15.8875,True
log_gmv,copula,lasso,0.2,0.1,avg_distance_km,平均卖家-买家距离,0.0012245745228758407,0.001776212523630662,0.875,0.825,13.175,True
log_gmv,copula,lasso,0.2,0.1,seller_state_frequency,卖家所在州频率,0.00042021663280442464,0.0005876822448425352,0.7,0.625,10.075,True
log_gmv,copula,lasso,0.2,0.1,marketing_origin_frequency,营销来源频率,0.0008493741227052299,0.0010566925817611247,0.725,0.675,10.85,True
log_gmv,copula,lasso,0.2,0.1,has_marketing_deal,是否匹配营销成交线索,-0.00027137417679602667,-0.00016744419233214478,0.4,0.275,4.65,False
