target,generator,stat_model,q,alpha_kn,feature,label_zh,mean_w,median_w,positive_w_rate,selection_frequency,mean_evalue,selected_ebh
log_gmv_next_week,copula,lasso,0.2,0.1,avg_price,平均商品价格,0.091773203447194,0.09236969795025371,1.0,0.975,25.1875,True
log_gmv_next_week,copula,lasso,0.2,0.1,avg_freight,平均运费,0.017171963411435173,0.019183610750377868,0.975,0.9,22.8625,True
log_gmv_next_week,copula,lasso,0.2,0.1,avg_product_weight_g,平均商品重量,0.010685340437017393,0.010714979163923995,1.0,0.875,22.0875,True
log_gmv_next_week,copula,lasso,0.2,0.1,avg_product_length_cm,平均商品长度,-0.0008965459399787963,0.0,0.05,0.0,0.0,False
log_gmv_next_week,copula,lasso,0.2,0.1,avg_product_height_cm,平均商品高度,0.005519634475570246,0.006851464052756511,0.925,0.6,13.95,True
log_gmv_next_week,copula,lasso,0.2,0.1,avg_product_width_cm,平均商品宽度,0.015156144539935624,0.01635373345686495,1.0,0.9,22.8625,True
log_gmv_next_week,copula,lasso,0.2,0.1,avg_product_photos_qty,平均商品图片数,5.0639874484672034e-05,0.0013860789748937285,0.625,0.125,1.9375,False
log_gmv_next_week,copula,lasso,0.2,0.1,avg_product_name_length,平均商品标题长度,0.014841788535233566,0.01535258892559727,1.0,0.975,25.1875,True
log_gmv_next_week,copula,lasso,0.2,0.1,avg_product_description_length,平均商品描述长度,-0.0019258796859194128,0.0,0.0,0.0,0.0,False
log_gmv_next_week,copula,lasso,0.2,0.1,avg_payment_installments,平均支付分期期数,0.0008275330097272998,0.0014637021726768085,0.8,0.125,1.9375,False
log_gmv_next_week,copula,lasso,0.2,0.1,avg_payment_sequential,平均支付序列数,-0.0013736454908706997,0.0,0.1,0.0,0.0,False
log_gmv_next_week,copula,lasso,0.2,0.1,credit_card_ratio,信用卡支付占比,-3.7567868791856844e-05,0.0005109760711338309,0.65,0.125,1.9375,False
log_gmv_next_week,copula,lasso,0.2,0.1,boleto_ratio,Boleto支付占比,0.010005880552441202,0.010676071394955786,1.0,0.75,18.2125,True
log_gmv_next_week,copula,lasso,0.2,0.1,voucher_ratio,代金券支付占比,0.004732105796570513,0.005414447308122404,0.925,0.475,9.6875,True
log_gmv_next_week,copula,lasso,0.2,0.1,debit_card_ratio,借记卡支付占比,0.005507014249776429,0.007151718335563537,0.95,0.6,13.5625,True
log_gmv_next_week,copula,lasso,0.2,0.1,avg_review_score,平均评价得分,-0.0008911393093698648,0.0,0.0,0.0,0.0,False
log_gmv_next_week,copula,lasso,0.2,0.1,avg_delivery_days,平均下单至送达天数,-0.0016284692592025984,0.0,0.0,0.0,0.0,False
log_gmv_next_week,copula,lasso,0.2,0.1,avg_approval_days,平均下单至审核天数,-0.0020627790455854714,-0.00026783525397566446,0.0,0.0,0.0,False
log_gmv_next_week,copula,lasso,0.2,0.1,avg_ship_days,平均审核至承运天数,0.026739119323079437,0.02797334179647841,1.0,0.975,25.1875,True
log_gmv_next_week,copula,lasso,0.2,0.1,avg_estimate_gap_days,平均预计提前送达天数,0.008623730514259798,0.009488641795857782,1.0,0.825,20.5375,True
log_gmv_next_week,copula,lasso,0.2,0.1,item_count,成交件数,0.11862173454528224,0.12110182938402392,1.0,0.975,25.1875,True
log_gmv_next_week,copula,lasso,0.2,0.1,order_count,成交订单数,0.11320683499110354,0.11573531856217109,1.0,0.975,25.1875,True
log_gmv_next_week,copula,lasso,0.2,0.1,category_count,活跃品类数,0.02638381407252114,0.028319550680866244,1.0,0.975,25.1875,True
log_gmv_next_week,copula,lasso,0.2,0.1,unique_customer_count,独立顾客数,0.148612064563593,0.15161819762878276,1.0,0.975,25.1875,True
log_gmv_next_week,copula,lasso,0.2,0.1,buyer_state_diversity,买家州数量,0.07655134323331707,0.0784122347075546,1.0,0.975,25.1875,True
log_gmv_next_week,copula,lasso,0.2,0.1,dominant_customer_state_share,第一大买家州占比,0.02039509438438819,0.02239261575993761,1.0,0.925,23.6375,True
log_gmv_next_week,copula,lasso,0.2,0.1,interstate_ratio,跨州交易占比,0.006229934957440139,0.007210412522871433,0.925,0.6,13.5625,True
log_gmv_next_week,copula,lasso,0.2,0.1,avg_distance_km,平均卖家-买家距离,-0.0020049110373094895,0.0,0.1,0.0,0.0,False
log_gmv_next_week,copula,lasso,0.2,0.1,seller_state_frequency,卖家所在州频率,0.004504363295080994,0.005895024883086427,0.875,0.5,10.4625,True
log_gmv_next_week,copula,lasso,0.2,0.1,marketing_origin_frequency,营销来源频率,0.01033703733254572,0.01157414925775629,1.0,0.9,22.8625,True
log_gmv_next_week,copula,lasso,0.2,0.1,has_marketing_deal,是否匹配营销成交线索,-0.000636008074785689,0.0006119622316044514,0.6,0.1,1.55,False
