label_zh,strict_mean_category,robust_majority_category,replacement_median_across_selectors,replacement_positive_selector_fraction,max_abs_spearman
购买订单数,可替代候选,可替代候选,0.0027794177611387503,0.75,0.9993875760419424
独立顾客数,可替代候选,可替代候选,0.0021876051337919996,0.75,0.9993875760419424
月末已送达平均天数,可替代候选,核心候选,0.0042425634477605,0.75,0.4014058045281707
购买件数,可替代候选,可替代候选,0.0025055350776130997,0.75,0.9675133366807795
月末已送达预计提前天数,可替代候选,观察候选,0.002508466984449,0.75,0.2726021879339991
买家州数量,可替代候选,可替代候选,0.0027003233658532,0.75,0.9462695556165004
月末可见平均评价,可替代候选,核心候选,0.0047344749495747,0.75,0.2246613635365129
平均商品重量,可替代候选,可替代候选,-0.0007019175407939,0.25,0.6387653756727536
第一大买家州占比,可替代候选,可替代候选,-0.0002333894641316,0.3333333333333333,0.9029109193662204
平均运费,可替代候选,可替代候选,-0.01321671722988835,0.0,0.57412605439031
平均商品价格,核心候选,核心候选,0.057658966772576245,1.0,0.5429273772971794
月末已承运平均准备天数,观察候选,观察候选,0.0262504204636724,1.0,0.4014058045281707
平均商品标题长度,观察候选,观察候选,-0.0012468374210177,0.0,0.1629394208534368
跨州交易占比,观察候选,观察候选,,,0.602178203562012
月末已审核平均天数,观察候选,观察候选,,,0.6705083020600172
平均商品长度,观察候选,观察候选,,,0.6387653756727536
平均商品高度,观察候选,观察候选,,,0.5710997583885726
平均商品图片数,观察候选,观察候选,,,0.1629394208534368
Boleto支付占比,观察候选,观察候选,,,0.8822164522173261
已成交营销来源频率,观察候选,观察候选,,,0.9999915480395692
月末已匹配营销成交,观察候选,观察候选,,,0.9999915480395692
平均买卖家距离,证据不足,证据不足,0.0006122152435114,1.0,0.602178203562012
平均支付分期期数,证据不足,证据不足,-0.02623214221436,0.0,0.4514745157624368
活跃品类数,证据不足,证据不足,0.0041198026804772,1.0,0.5469516049756262
平均商品描述长度,证据不足,证据不足,,,0.2302898702867808
已观察卖家州频率,证据不足,证据不足,,,0.3924860039537367
借记卡支付占比,证据不足,证据不足,,,0.2581275365638309
平均支付序列数,证据不足,证据不足,,,0.8082899147591869
平均商品宽度,证据不足,证据不足,,,0.6347123009142048
信用卡支付占比,证据不足,证据不足,,,0.8822164522173261
代金券支付占比,证据不足,证据不足,,,0.8082899147591869
