feature_index,feature,label_zh,quality_category,selected_by_strong_methods_0_to_4,mean_half_sample_frequency,min_half_sample_frequency,max_half_sample_frequency,full_model_drop_delta_mean,full_model_drop_positive_month_fraction,mean_nested_replacement_delta_when_selected,max_abs_spearman,most_correlated_feature,missing_fraction
21,order_count,购买订单数,可替代候选,4,1.0,1.0,1.0,0.0015032766368879291,0.625,-0.003249586738570916,0.9993875760419424,unique_customer_count,0.0
23,unique_customer_count,独立顾客数,可替代候选,4,1.0,1.0,1.0,0.002347890034090111,0.5,-0.0037284235394709673,0.9993875760419424,order_count,0.0
16,avg_delivery_days,月末已送达平均天数,可替代候选,4,0.9875,0.95,1.0,0.004660459093916741,0.75,-0.0017848055457367895,0.4014058045281707,avg_ship_days,0.217391304347826
20,item_count,购买件数,可替代候选,4,0.9791666666666666,0.9166666666666666,1.0,0.002021322443054724,0.625,-0.003693285937334414,0.9675133366807797,order_count,0.0
19,avg_estimate_gap_days,月末已送达预计提前天数,可替代候选,4,0.9708333333333333,0.9333333333333333,1.0,0.0007469627774830401,0.375,-0.003170461953213327,0.27260218793399915,interstate_ratio,0.217391304347826
24,buyer_state_diversity,买家州数量,可替代候选,4,0.9666666666666667,0.8666666666666667,1.0,0.0005507601334311107,0.625,-0.0037155752907904642,0.9462695556165003,unique_customer_count,0.0
15,avg_review_score,月末可见平均评价,可替代候选,4,0.9625,0.9,1.0,0.005358657028576852,0.75,-0.0009314190658793377,0.2246613635365129,item_count,0.2667587610876836
2,avg_product_weight_g,平均商品重量,可替代候选,4,0.6833333333333333,0.4166666666666667,0.9333333333333333,0.00021525737104155507,0.625,-0.005624404745671422,0.6387653756727536,avg_product_length_cm,7.270612185546023e-05
25,dominant_customer_state_share,第一大买家州占比,可替代候选,3,0.8875,0.6666666666666666,1.0,0.0018950012815461825,0.75,-0.007458955261260798,0.9029109193662204,buyer_state_diversity,0.0
1,avg_freight,平均运费,可替代候选,2,0.35416666666666663,0.05,0.7166666666666667,0.0004177356236975127,0.625,-0.013216717229888413,0.57412605439031,avg_product_weight_g,0.0
0,avg_price,平均商品价格,核心候选,4,1.0,1.0,1.0,0.03719801354328384,1.0,0.05149086814591456,0.5429273772971794,avg_freight,0.0
18,avg_ship_days,月末已承运平均准备天数,观察候选,3,0.5,0.0,0.9666666666666667,0.02196157601264101,1.0,0.025640993035224085,0.4014058045281707,avg_delivery_days,0.0713974116620619
7,avg_product_name_length,平均商品标题长度,观察候选,1,0.21666666666666667,0.0,0.55,0.0025569857087885395,0.625,-0.0012468374210177213,0.1629394208534368,avg_product_photos_qty,0.0165769957830449
26,interstate_ratio,跨州交易占比,观察候选,0,0.22499999999999998,0.016666666666666666,0.36666666666666664,0.002326834430050412,0.625,,0.602178203562012,avg_distance_km,0.0
17,avg_approval_days,月末已审核平均天数,观察候选,0,0.10833333333333334,0.0,0.26666666666666666,0.005622472006984153,0.75,,0.6705083020600172,boleto_ratio,0.0061073142358586
3,avg_product_length_cm,平均商品长度,观察候选,0,0.029166666666666667,0.0,0.1,0.0004528143000014362,0.625,,0.6387653756727536,avg_product_weight_g,7.270612185546023e-05
4,avg_product_height_cm,平均商品高度,观察候选,0,0.024999999999999998,0.0,0.06666666666666667,0.0030745179799287203,0.75,,0.5710997583885726,avg_product_weight_g,7.270612185546023e-05
6,avg_product_photos_qty,平均商品图片数,观察候选,0,0.008333333333333333,0.0,0.016666666666666666,0.0016546931085030248,0.625,,0.1629394208534368,avg_product_name_length,0.0165769957830449
12,boleto_ratio,Boleto支付占比,观察候选,0,0.0,0.0,0.0,0.001696670571505715,0.625,,0.8822164522173261,credit_card_ratio,0.0
29,marketing_origin_frequency,已成交营销来源频率,观察候选,0,0.0,0.0,0.0,0.0013907001508975947,0.625,,0.9999915480395691,has_marketing_deal,0.0
30,has_marketing_deal,月末已匹配营销成交,观察候选,0,0.0,0.0,0.0,0.0013907001508975947,0.625,,0.9999915480395691,marketing_origin_frequency,0.0
27,avg_distance_km,平均买卖家距离,证据不足,1,0.4708333333333333,0.0,0.95,0.0013634672547617466,0.5,0.0006122152435114417,0.602178203562012,interstate_ratio,0.0042896611894721
9,avg_payment_installments,平均支付分期期数,证据不足,1,0.3875,0.1,1.0,-0.002759901996365749,0.5,-0.02623214221436006,0.45147451576243686,avg_price,0.0
22,category_count,活跃品类数,证据不足,1,0.10416666666666666,0.0,0.23333333333333334,0.001927606057357173,0.5,0.004119802680477218,0.5469516049756262,order_count,0.0
8,avg_product_description_length,平均商品描述长度,证据不足,0,0.0625,0.016666666666666666,0.08333333333333333,0.0008838588849171825,0.5,,0.2302898702867808,avg_price,0.0165769957830449
28,seller_state_frequency,已观察卖家州频率,证据不足,0,0.05833333333333333,0.0,0.18333333333333332,-0.0017795898025523837,0.25,,0.3924860039537367,interstate_ratio,0.0
14,debit_card_ratio,借记卡支付占比,证据不足,0,0.008333333333333333,0.0,0.03333333333333333,9.20492991663413e-05,0.375,,0.2581275365638309,unique_customer_count,0.0
10,avg_payment_sequential,平均支付序列数,证据不足,0,0.004166666666666667,0.0,0.016666666666666666,5.1159535601336126e-05,0.5,,0.8082899147591869,voucher_ratio,0.0
5,avg_product_width_cm,平均商品宽度,证据不足,0,0.0,0.0,0.0,-0.002341642998901605,0.375,,0.6347123009142048,avg_product_weight_g,7.270612185546023e-05
11,credit_card_ratio,信用卡支付占比,证据不足,0,0.0,0.0,0.0,0.0014332790920658645,0.5,,0.8822164522173261,boleto_ratio,0.0
13,voucher_ratio,代金券支付占比,证据不足,0,0.0,0.0,0.0,0.0007249058458937419,0.5,,0.8082899147591869,avg_payment_sequential,0.0
