method,label,rmse_xgb,rmse_tabm,jaccard_half,FDP12_mean_scenes,Power12_mean_scenes
copula_mvr,Copula-MVR,1.8649648259699905,1.8967379442627588,0.7354578754578757,0.32180555555555557,0.8304999999999999
elastic_net,Elastic Net,1.8624702407154912,1.8806093108449609,0.7244139194139196,0.3251388888888889,0.8264999999999999
stability_selection,稳定性选择,1.8936698226529003,1.8885379116134977,0.5827440206851972,0.3383333333333334,0.8106666666666668
shadow_trees,影子变量树,1.861148689965748,1.861204259319867,0.9388278388278388,0.3361111111111111,0.8260555555555557
xgboost_shap,XGBoost-SHAP,1.8465504196247184,1.8571433541003608,0.7681501831501834,0.23152777777777775,0.9403333333333332
deep_lasso,Deep Lasso,1.845035109247452,1.8593579526998325,0.8230219780219781,0.26875,0.8947222222222223
tabm,TabM-置换,1.845830737206842,1.8585872275772664,0.750489118724413,0.26555555555555554,0.8981111111111111
vtfs,VTFS-定额适配,1.862190942208343,1.878253055998041,0.4067669172932331,0.5305555555555556,0.5876111111111112
dl_jacobian,Deep Lasso-Jacobian,1.846067293079403,1.8599683519900936,0.8618315018315018,0.26569444444444446,0.8978333333333334
dl_jacobian_lossrank,Jacobian训练+原排名,1.845035109247452,1.8593579526998325,0.7721794871794873,0.26861111111111113,0.8943333333333333
dl_score_only,原Deep Lasso+Jacobian排名,1.845035109247452,1.8593579526998325,0.8147252747252749,0.2655555555555556,0.8985555555555554
tabm_budget_gate,TabM-预算门,1.845035109247452,1.8593579526998325,0.8071062271062271,0.27930555555555553,0.8826111111111111
ep_regression,EntryPrune-回归适配,1.881203974166106,1.8744050506826917,0.6271266968325794,0.28694444444444445,0.8728888888888888
ep_refresh,EntryPrune-刷新,2.041836436051237,2.035028692395762,0.4596075974249348,0.5202777777777778,0.6107222222222223
ep_dispersion,EntryPrune-环境波动惩罚,1.8705543689332589,1.8896543879187004,0.4497520762691041,0.507361111111111,0.6262777777777777
vtfs_cardinality,VTFS-固定K,1.8675839374067236,1.8921350314498784,0.4540149393090569,0.45930555555555547,0.6814999999999999
vtfs_pairrank,VTFS-固定K+成对损失,1.8653275080568512,1.8948567342150464,0.4332578240472977,0.4530555555555555,0.6900555555555554
random_k_search,等预算随机子集搜索,1.8661190222145108,1.892628185956263,0.4368421052631578,0.49111111111111105,0.6411666666666666
