method,stage,found,successful,required
dl_jacobian,runs,112,112,112
dl_jacobian,simulation_runs,600,600,600
dl_jacobian_lossrank,runs,112,112,112
dl_jacobian_lossrank,simulation_runs,600,600,600
dl_score_only,runs,112,112,112
dl_score_only,simulation_runs,600,600,600
tabm_budget_gate,runs,112,112,112
tabm_budget_gate,simulation_runs,600,600,600
ep_regression,runs,112,112,112
ep_regression,simulation_runs,600,600,600
ep_refresh,runs,112,112,112
ep_refresh,simulation_runs,600,600,600
ep_dispersion,runs,112,112,112
ep_dispersion,simulation_runs,600,600,600
vtfs_cardinality,runs,112,112,112
vtfs_cardinality,simulation_runs,600,600,600
vtfs_pairrank,runs,112,112,112
vtfs_pairrank,simulation_runs,600,600,600
random_k_search,runs,112,112,112
random_k_search,simulation_runs,600,600,600
