method,k,mean_abs_corr,high_corr_pairs,fit_window_only
copula_mvr,8,0.2837242383438909,6,True
copula_mvr,12,0.21861375368802174,6,True
elastic_net,8,0.2734537087433161,5,True
elastic_net,12,0.2672881254979988,9,True
stability_selection,8,0.16932002190128256,0,True
stability_selection,12,0.13564122954095914,0,True
shadow_trees,8,0.3840580793026408,9,True
shadow_trees,12,0.23820690729990757,9,True
xgboost_shap,8,0.19229786125415563,3,True
xgboost_shap,12,0.17865431003658272,6,True
deep_lasso,8,0.2556480878757443,5,True
deep_lasso,12,0.2236346563591028,9,True
tabm,8,0.27021439558747634,6,True
tabm,12,0.24153593779039265,9,True
vtfs,8,0.1574024912638676,1,True
vtfs,12,0.1726226388727046,1,True
dl_jacobian,8,0.27021439558747634,6,True
dl_jacobian,12,0.19868631305582607,6,True
dl_jacobian_lossrank,8,0.27021439558747634,6,True
dl_jacobian_lossrank,12,0.2236346563591028,9,True
dl_score_only,8,0.3590348240619466,9,True
dl_score_only,12,0.2236346563591028,9,True
tabm_budget_gate,8,0.18913627661786522,3,True
tabm_budget_gate,12,0.2236346563591028,9,True
ep_regression,8,0.1871100546267413,2,True
ep_regression,12,0.18343834670073722,5,True
ep_refresh,8,0.3148234508923416,5,True
ep_refresh,12,0.2584420497321873,9,True
ep_dispersion,8,0.4058372778261782,9,True
ep_dispersion,12,0.22941798469991828,9,True
vtfs_cardinality,8,0.1963696441082027,3,True
vtfs_cardinality,12,0.14504158152281452,3,True
vtfs_pairrank,8,0.15488791687690426,3,True
vtfs_pairrank,12,0.1753164930407,3,True
random_k_search,8,0.15488791687690426,3,True
random_k_search,12,0.1733965187403269,3,True
all_features,31,,12,True
