method,batch,J
copula_mvr,0,1.0
copula_mvr,1,1.0
copula_mvr,2,1.0
copula_mvr,3,1.0
copula_mvr,4,1.0
copula_mvr,5,1.0
copula_mvr,6,1.0
copula_mvr,7,1.0
copula_mvr,8,1.0
copula_mvr,9,1.0
elastic_net,0,1.0
elastic_net,1,1.0
elastic_net,2,1.0
elastic_net,3,1.0
elastic_net,4,1.0
elastic_net,5,1.0
elastic_net,6,1.0
elastic_net,7,1.0
elastic_net,8,1.0
elastic_net,9,1.0
stability_selection,0,0.7142857142857143
stability_selection,1,0.7142857142857143
stability_selection,2,0.7142857142857143
stability_selection,3,0.7142857142857143
stability_selection,4,1.0
stability_selection,5,0.7142857142857143
stability_selection,6,0.8461538461538461
stability_selection,7,0.7142857142857143
stability_selection,8,0.8461538461538461
stability_selection,9,0.8461538461538461
shadow_trees,0,1.0
shadow_trees,1,1.0
shadow_trees,2,1.0
shadow_trees,3,1.0
shadow_trees,4,1.0
shadow_trees,5,1.0
shadow_trees,6,1.0
shadow_trees,7,1.0
shadow_trees,8,1.0
shadow_trees,9,1.0
xgboost_shap,0,0.8461538461538461
xgboost_shap,1,0.8461538461538461
xgboost_shap,2,0.8461538461538461
xgboost_shap,3,0.8461538461538461
xgboost_shap,4,0.8461538461538461
xgboost_shap,5,1.0
xgboost_shap,6,1.0
xgboost_shap,7,0.8461538461538461
xgboost_shap,8,0.8461538461538461
xgboost_shap,9,0.8461538461538461
deep_lasso,0,0.8461538461538461
deep_lasso,1,0.8461538461538461
deep_lasso,2,0.8461538461538461
deep_lasso,3,0.8461538461538461
deep_lasso,4,0.8461538461538461
deep_lasso,5,1.0
deep_lasso,6,0.8461538461538461
deep_lasso,7,0.8461538461538461
deep_lasso,8,1.0
deep_lasso,9,0.8461538461538461
tabm,0,1.0
tabm,1,1.0
tabm,2,1.0
tabm,3,1.0
tabm,4,1.0
tabm,5,1.0
tabm,6,0.8461538461538461
tabm,7,0.8461538461538461
tabm,8,1.0
tabm,9,1.0
vtfs,0,0.2631578947368421
vtfs,1,0.3333333333333333
vtfs,2,0.4117647058823529
vtfs,3,0.3333333333333333
vtfs,4,0.3333333333333333
vtfs,5,0.3333333333333333
vtfs,6,0.2631578947368421
vtfs,7,0.2
vtfs,8,0.2
vtfs,9,0.2631578947368421
dl_jacobian,0,1.0
dl_jacobian,1,1.0
dl_jacobian,2,1.0
dl_jacobian,3,1.0
dl_jacobian,4,0.8461538461538461
dl_jacobian,5,1.0
dl_jacobian,6,1.0
dl_jacobian,7,1.0
dl_jacobian,8,1.0
dl_jacobian,9,1.0
dl_jacobian_lossrank,0,0.8461538461538461
dl_jacobian_lossrank,1,0.8461538461538461
dl_jacobian_lossrank,2,0.8461538461538461
dl_jacobian_lossrank,3,1.0
dl_jacobian_lossrank,4,1.0
dl_jacobian_lossrank,5,0.8461538461538461
dl_jacobian_lossrank,6,1.0
dl_jacobian_lossrank,7,0.8461538461538461
dl_jacobian_lossrank,8,0.8461538461538461
dl_jacobian_lossrank,9,0.8461538461538461
dl_score_only,0,1.0
dl_score_only,1,1.0
dl_score_only,2,0.8461538461538461
dl_score_only,3,1.0
dl_score_only,4,0.8461538461538461
dl_score_only,5,0.8461538461538461
dl_score_only,6,0.8461538461538461
dl_score_only,7,0.8461538461538461
dl_score_only,8,1.0
dl_score_only,9,0.8461538461538461
tabm_budget_gate,0,1.0
tabm_budget_gate,1,0.8461538461538461
tabm_budget_gate,2,0.8461538461538461
tabm_budget_gate,3,0.7142857142857143
tabm_budget_gate,4,1.0
tabm_budget_gate,5,0.8461538461538461
tabm_budget_gate,6,0.8461538461538461
tabm_budget_gate,7,0.8461538461538461
tabm_budget_gate,8,0.8461538461538461
tabm_budget_gate,9,0.8461538461538461
ep_regression,0,0.6
ep_regression,1,0.7142857142857143
ep_regression,2,0.8461538461538461
