method,fraction,group,half,run,J,features
copula_mvr,0.5,0,A,half_00_A,0.7142857142857143,"[0, 21, 20, 23, 16, 2, 27, 24, 25, 10, 26, 17]"
copula_mvr,0.5,0,B,half_00_B,0.7142857142857143,"[23, 0, 21, 20, 27, 16, 7, 25, 24, 17, 2, 9]"
copula_mvr,0.5,1,A,half_01_A,0.7142857142857143,"[21, 0, 20, 23, 24, 27, 17, 28, 2, 16, 26, 25]"
copula_mvr,0.5,1,B,half_01_B,0.6,"[21, 0, 23, 20, 24, 16, 27, 17, 7, 9, 15, 8]"
copula_mvr,0.5,2,A,half_02_A,0.7142857142857143,"[21, 0, 24, 20, 23, 27, 16, 9, 2, 17, 7, 30]"
copula_mvr,0.5,2,B,half_02_B,0.8461538461538461,"[0, 23, 21, 20, 24, 27, 2, 17, 16, 25, 22, 7]"
copula_mvr,0.5,3,A,half_03_A,0.6,"[21, 0, 20, 27, 23, 24, 16, 17, 2, 25, 28, 8]"
copula_mvr,0.5,3,B,half_03_B,0.7142857142857143,"[21, 0, 23, 24, 20, 16, 2, 27, 26, 17, 10, 30]"
copula_mvr,0.5,4,A,half_04_A,0.6,"[0, 20, 21, 23, 27, 2, 16, 25, 24, 7, 10, 12]"
copula_mvr,0.5,4,B,half_04_B,0.7142857142857143,"[0, 21, 23, 20, 27, 17, 24, 16, 22, 25, 7, 13]"
copula_mvr,0.5,5,A,half_05_A,0.7142857142857143,"[0, 21, 20, 23, 24, 16, 2, 27, 17, 25, 26, 9]"
copula_mvr,0.5,5,B,half_05_B,0.6,"[23, 0, 20, 21, 24, 27, 16, 7, 2, 12, 28, 25]"
copula_mvr,0.5,6,A,half_06_A,0.7142857142857143,"[21, 0, 20, 24, 27, 23, 16, 17, 2, 25, 12, 22]"
copula_mvr,0.5,6,B,half_06_B,0.7142857142857143,"[0, 23, 20, 21, 27, 16, 26, 24, 7, 2, 25, 9]"
copula_mvr,0.5,7,A,half_07_A,0.8461538461538461,"[0, 23, 20, 21, 24, 27, 16, 22, 17, 9, 2, 7]"
