method,fraction,mean,sd,se,ci_low,ci_high,n,nogueira
copula_mvr,0.5,0.7354578754578757,0.05989380059153387,0.010935061879566454,0.713093162763231,0.7578225881525203,30,0.6797527009614431
copula_mvr,0.7,0.7508241758241757,0.099418270582891,0.02223060112288119,0.7042949929300301,0.7973533587183214,20,0.7230609418282549
copula_mvr,0.8,0.8076923076923077,0.07807124602210047,0.01745726131935267,0.7711538398268116,0.8442307755578038,20,0.8082179132040628
deep_lasso,0.5,0.8230219780219781,0.07180249432382563,0.013109281942098648,0.7962104860069229,0.8498334700370332,30,0.7753890375656657
deep_lasso,0.7,0.8868131868131869,0.09386306995341584,0.02098842049926558,0.8428839178441885,0.9307424557821853,20,0.8475761772853185
deep_lasso,0.8,0.7615384615384613,0.08076027932439747,0.018058547445122353,0.7237414873481474,0.7993354357287752,20,0.8797783933518005
dl_jacobian,0.5,0.8618315018315018,0.06594602224127129,0.012040041319760558,0.8372068524318249,0.8864561512311787,30,0.788908712459114
dl_jacobian,0.7,0.9461538461538461,0.07528622845070661,0.016834512458535865,0.910918806633895,0.9813888856737972,20,0.918421052631579
dl_jacobian,0.8,0.9461538461538461,0.07528622845070661,0.016834512458535865,0.910918806633895,0.9813888856737972,20,0.9162742382271468
dl_jacobian_lossrank,0.5,0.7721794871794873,0.07227447971115786,0.013195454289916874,0.7451917529243421,0.7991672214346324,30,0.7591039746258302
dl_jacobian_lossrank,0.7,0.864835164835165,0.09277334420936172,0.020744750415211927,0.8214159032134306,0.9082544264568994,20,0.859741458910434
dl_jacobian_lossrank,0.8,0.7259890109890109,0.09912722366422398,0.02216552105340306,0.6795960422457455,0.7723819797322763,20,0.7287857802400739
dl_score_only,0.5,0.8147252747252749,0.07149039793704867,0.013052301198380783,0.7880303214163024,0.8414202280342474,30,0.7993557339676876
dl_score_only,0.7,0.8703296703296705,0.07268328951648322,0.016252477618715427,0.8363128437299672,0.9043464969293737,20,0.8897968605724839
dl_score_only,0.8,0.8571428571428571,0.08718612925950847,0.019495411171934433,0.8163384926094187,0.8979472216762955,20,0.8719067405355494
elastic_net,0.5,0.7244139194139196,0.0709350841887469,0.012950915242901574,0.6979263236663891,0.7509015151614502,30,0.6185300822678166
elastic_net,0.7,0.8384615384615384,0.11212873070255279,0.025072746408167576,0.7859836771191653,0.8909393998039115,20,0.7473915050784856
elastic_net,0.8,0.9087912087912088,0.08942452616545052,0.019995931936165594,0.8669392422585038,0.9506431753239137,20,0.8747691597414589
ep_dispersion,0.5,0.4497520762691041,0.07662118662750987,0.013989050766233446,0.42114125497670424,0.4783628975615039,30,0.2726261274655566
ep_dispersion,0.7,0.48575970469159324,0.1218130906402838,0.027238235122101793,0.4287494233814062,0.5427699860017803,20,0.29584487534626036
ep_dispersion,0.8,0.4632913165266106,0.14089087680497336,0.03150415779454688,0.39735235644875044,0.5292302766044708,20,0.30872576177285316
ep_refresh,0.5,0.4596075974249348,0.07760419821808454,0.01416852330704904,0.43062971357211,0.4885854812777596,30,0.274162454157994
ep_refresh,0.7,0.47325593395252846,0.08905977838392795,0.019914371852752924,0.43157467463628574,0.5149371932687712,20,0.2629270544783011
ep_refresh,0.8,0.4418133569217161,0.11918425448479618,0.026650409487563843,0.3860334088044148,0.4975933050390174,20,0.2672206832871652
ep_regression,0.5,0.6271266968325794,0.056599808519852676,0.010333663958932133,0.605991980991933,0.6482614126732258,30,0.4893250074338388
ep_regression,0.7,0.6242857142857142,0.06750104426928231,0.015093692353833787,0.592694253119302,0.6558771754521264,20,0.5298476454293628
ep_regression,0.8,0.6841047188106012,0.14412981397838845,0.03222840616400759,0.6166498894740937,0.7515595481471087,20,0.5742151431209603
random_k_search,0.5,0.4368421052631578,0.20938133895218677,0.03822762748824927,0.35865782837578347,0.5150263821505322,30,0.2834572306472396
random_k_search,0.7,0.6263157894736843,0.34740199619489565,0.077681447901091,0.46372665043543854,0.7889049285119301,20,0.3316251154201293
random_k_search,0.8,0.6000000000000001,0.3350831266333564,0.07492686492653551,0.44317626938736243,0.7568237306126377,20,0.4425438596491229
