method,k,validation_rmse
copula_mvr,4,1.770682901822389
copula_mvr,8,1.6287133836192018
copula_mvr,10,1.6227918201112388
copula_mvr,12,1.6218981630247402
copula_mvr,14,1.6271529499491897
elastic_net,4,1.7850448623425428
elastic_net,8,1.6274117770829055
elastic_net,10,1.6254508747130596
elastic_net,12,1.6392939770039643
elastic_net,14,1.6639640948664345
stability_selection,4,1.7691386215549765
stability_selection,8,1.657597872223257
stability_selection,10,1.6902009799461535
stability_selection,12,1.6839007637375638
stability_selection,14,1.688399665289557
shadow_trees,4,1.8974693098491857
shadow_trees,8,1.6440544855877366
shadow_trees,10,1.6515800851042208
shadow_trees,12,1.6443912454376526
shadow_trees,14,1.6172438543890808
xgboost_shap,4,1.7848192080631922
xgboost_shap,8,1.6114709650995733
xgboost_shap,10,1.6155752725123864
xgboost_shap,12,1.6131967260073399
xgboost_shap,14,1.6118115921851974
deep_lasso,4,1.6338322150526472
deep_lasso,8,1.648250291949581
deep_lasso,10,1.6397262320261417
deep_lasso,12,1.6141095321427903
deep_lasso,14,1.6135322959403302
tabm,4,1.6495252531638818
tabm,8,1.6455171280064513
tabm,10,1.6503832777455776
tabm,12,1.6189755192819204
tabm,14,1.6111078917397026
vtfs,4,2.1229732383093336
vtfs,8,1.6032791993089872
vtfs,10,1.6027666656812676
vtfs,12,1.603848806541791
vtfs,14,1.605111994295892
