method,group,k,complementary_jaccard
copula_mvr,0,4,1.0
copula_mvr,1,4,1.0
copula_mvr,2,4,0.6
copula_mvr,3,4,0.3333333333333333
copula_mvr,4,4,1.0
copula_mvr,5,4,1.0
copula_mvr,6,4,0.6
copula_mvr,7,4,0.6
copula_mvr,8,4,1.0
copula_mvr,9,4,1.0
copula_mvr,10,4,1.0
copula_mvr,11,4,0.6
copula_mvr,12,4,0.6
copula_mvr,13,4,0.6
copula_mvr,14,4,1.0
copula_mvr,15,4,1.0
copula_mvr,16,4,1.0
copula_mvr,17,4,0.6
copula_mvr,18,4,0.6
copula_mvr,19,4,0.6
copula_mvr,20,4,0.6
copula_mvr,21,4,1.0
copula_mvr,22,4,0.6
copula_mvr,23,4,1.0
copula_mvr,24,4,0.6
copula_mvr,25,4,0.6
copula_mvr,26,4,0.6
copula_mvr,27,4,1.0
copula_mvr,28,4,0.6
copula_mvr,29,4,0.6
copula_mvr,0,8,0.6
copula_mvr,1,8,0.7777777777777778
copula_mvr,2,8,0.6
copula_mvr,3,8,0.7777777777777778
copula_mvr,4,8,0.6
copula_mvr,5,8,0.7777777777777778
copula_mvr,6,8,0.7777777777777778
copula_mvr,7,8,0.7777777777777778
copula_mvr,8,8,0.7777777777777778
copula_mvr,9,8,0.7777777777777778
copula_mvr,10,8,0.6
copula_mvr,11,8,0.45454545454545453
copula_mvr,12,8,0.6
copula_mvr,13,8,0.7777777777777778
copula_mvr,14,8,0.45454545454545453
copula_mvr,15,8,0.7777777777777778
copula_mvr,16,8,0.7777777777777778
copula_mvr,17,8,0.7777777777777778
copula_mvr,18,8,0.45454545454545453
copula_mvr,19,8,0.7777777777777778
copula_mvr,20,8,0.7777777777777778
copula_mvr,21,8,0.7777777777777778
copula_mvr,22,8,1.0
copula_mvr,23,8,0.7777777777777778
copula_mvr,24,8,0.7777777777777778
copula_mvr,25,8,0.7777777777777778
copula_mvr,26,8,0.7777777777777778
copula_mvr,27,8,0.6
copula_mvr,28,8,0.6
copula_mvr,29,8,0.7777777777777778
copula_mvr,0,10,0.6666666666666666
copula_mvr,1,10,0.6666666666666666
copula_mvr,2,10,0.8181818181818182
copula_mvr,3,10,0.8181818181818182
copula_mvr,4,10,0.6666666666666666
copula_mvr,5,10,0.6666666666666666
copula_mvr,6,10,0.6666666666666666
copula_mvr,7,10,0.5384615384615384
copula_mvr,8,10,0.5384615384615384
copula_mvr,9,10,0.6666666666666666
copula_mvr,10,10,0.6666666666666666
copula_mvr,11,10,0.6666666666666666
copula_mvr,12,10,0.6666666666666666
copula_mvr,13,10,0.6666666666666666
copula_mvr,14,10,0.42857142857142855
copula_mvr,15,10,0.6666666666666666
copula_mvr,16,10,0.8181818181818182
copula_mvr,17,10,0.6666666666666666
copula_mvr,18,10,0.6666666666666666
copula_mvr,19,10,0.8181818181818182
copula_mvr,20,10,0.5384615384615384
copula_mvr,21,10,0.5384615384615384
copula_mvr,22,10,0.6666666666666666
copula_mvr,23,10,0.6666666666666666
copula_mvr,24,10,0.5384615384615384
copula_mvr,25,10,0.8181818181818182
copula_mvr,26,10,0.6666666666666666
copula_mvr,27,10,0.8181818181818182
copula_mvr,28,10,0.6666666666666666
copula_mvr,29,10,0.5384615384615384
copula_mvr,0,12,0.7142857142857143
copula_mvr,1,12,0.5
copula_mvr,2,12,0.7142857142857143
copula_mvr,3,12,0.6
copula_mvr,4,12,0.6
copula_mvr,5,12,0.6
copula_mvr,6,12,0.6
copula_mvr,7,12,0.7142857142857143
copula_mvr,8,12,0.6
copula_mvr,9,12,0.6
copula_mvr,10,12,0.7142857142857143
copula_mvr,11,12,0.5
copula_mvr,12,12,0.6
copula_mvr,13,12,0.7142857142857143
copula_mvr,14,12,0.5
copula_mvr,15,12,0.6
copula_mvr,16,12,0.6
copula_mvr,17,12,0.6
copula_mvr,18,12,0.6
copula_mvr,19,12,0.7142857142857143
copula_mvr,20,12,0.6
copula_mvr,21,12,0.6
copula_mvr,22,12,0.6
copula_mvr,23,12,0.7142857142857143
copula_mvr,24,12,0.4117647058823529
copula_mvr,25,12,0.7142857142857143
copula_mvr,26,12,0.6
copula_mvr,27,12,0.7142857142857143
copula_mvr,28,12,0.6
copula_mvr,29,12,0.6
copula_mvr,0,14,0.6470588235294118
copula_mvr,1,14,0.5555555555555556
copula_mvr,2,14,0.5555555555555556
copula_mvr,3,14,0.47368421052631576
copula_mvr,4,14,0.5555555555555556
copula_mvr,5,14,0.47368421052631576
copula_mvr,6,14,0.5555555555555556
copula_mvr,7,14,0.6470588235294118
copula_mvr,8,14,0.47368421052631576
copula_mvr,9,14,0.75
copula_mvr,10,14,0.6470588235294118
copula_mvr,11,14,0.5555555555555556
copula_mvr,12,14,0.6470588235294118
copula_mvr,13,14,0.5555555555555556
copula_mvr,14,14,0.5555555555555556
copula_mvr,15,14,0.5555555555555556
copula_mvr,16,14,0.5555555555555556
copula_mvr,17,14,0.6470588235294118
copula_mvr,18,14,0.47368421052631576
copula_mvr,19,14,0.6470588235294118
copula_mvr,20,14,0.47368421052631576
copula_mvr,21,14,0.5555555555555556
copula_mvr,22,14,0.47368421052631576
copula_mvr,23,14,0.5555555555555556
copula_mvr,24,14,0.47368421052631576
copula_mvr,25,14,0.5555555555555556
copula_mvr,26,14,0.47368421052631576
copula_mvr,27,14,0.5555555555555556
copula_mvr,28,14,0.5555555555555556
copula_mvr,29,14,0.5555555555555556
deep_lasso,0,4,1.0
deep_lasso,1,4,1.0
deep_lasso,2,4,1.0
deep_lasso,3,4,1.0
deep_lasso,4,4,1.0
deep_lasso,5,4,1.0
deep_lasso,6,4,1.0
