comparison,k,mean,sd,se,ci_low,ci_high,n
copula_mvr - deep_lasso,4,-0.16888888888888892,0.26187261583085486,0.04781117962781456,-0.2666737306890265,-0.07110404708875134,30
copula_mvr - elastic_net,4,0.31111111111111117,0.20516946239975595,0.037458647555851446,0.23449957477568206,0.3877226474465403,30
copula_mvr - shadow_trees,4,-0.1288888888888889,0.2939665752800217,0.053670708144469476,-0.23865781210021098,-0.01911996567756681,30
copula_mvr - stability_selection,4,0.2222222222222222,0.24090082112648045,0.043982271284163474,0.13226837726352908,0.31217606718091534,30
copula_mvr - tabm,4,0.19555555555555557,0.2706220071492933,0.049408592624330755,0.09450363734421505,0.2966074737668961,30
copula_mvr - vtfs,4,0.4898412698412698,0.4557771288697706,0.08321313822563749,0.3196512929273101,0.6600312467552295,30
copula_mvr - xgboost_shap,4,0.18222222222222223,0.22822542686159183,0.0416680714961131,0.09700144726786693,0.26744299717657755,30
deep_lasso - elastic_net,4,0.48000000000000015,0.22034455776789916,0.040229228237659516,0.39772198992821695,0.5622780100717834,30
deep_lasso - shadow_trees,4,0.04000000000000002,0.24297012729679485,0.04436007317345208,-0.050726536581519904,0.13072653658151995,30
deep_lasso - stability_selection,4,0.39111111111111113,0.2990320698511937,0.054595536691653096,0.2794507011411986,0.5027715210810236,30
deep_lasso - tabm,4,0.36444444444444446,0.2347140321407741,0.04285272332216485,0.27680078445984146,0.45208810442904745,30
deep_lasso - vtfs,4,0.6587301587301589,0.4060461291062001,0.07413354143304025,0.5071100423150321,0.8103502751452858,30
deep_lasso - xgboost_shap,4,0.35111111111111115,0.17325668803516486,0.0316321987584984,0.2864160005643969,0.4158062216578254,30
elastic_net - shadow_trees,4,-0.44,0.23527924226136154,0.04295591609975684,-0.5278547129121881,-0.3521452870878119,30
elastic_net - stability_selection,4,-0.08888888888888889,0.24090082112648042,0.04398227128416347,-0.17884273384758204,0.0010649560698042376,30
elastic_net - tabm,4,-0.11555555555555556,0.24443747813131675,0.04462797355739931,-0.20683000994346312,-0.02428110116764802,30
elastic_net - vtfs,4,0.17873015873015868,0.44626272051544286,0.08147605286664385,0.012092920283327452,0.34536739717698994,30
elastic_net - xgboost_shap,4,-0.1288888888888889,0.16602943314129864,0.03031268858042836,-0.19088529810631846,-0.06689247967145931,30
shadow_trees - stability_selection,4,0.3511111111111111,0.33307269503638315,0.06081047612015534,0.2267397227979665,0.4754824994242557,30
shadow_trees - tabm,4,0.3244444444444445,0.26593770095987956,0.048553359235596436,0.22514167491068499,0.423747213978204,30
shadow_trees - vtfs,4,0.6187301587301588,0.3942941491314633,0.07198793325720282,0.4714983037566569,0.7659620137036607,30
shadow_trees - xgboost_shap,4,0.31111111111111117,0.1617275826301661,0.029527281725774217,0.25072103927395445,0.3715011829482679,30
stability_selection - tabm,4,-0.02666666666666666,0.2721279843138947,0.04968354517904404,-0.1282809259930869,0.07494759265975358,30
stability_selection - vtfs,4,0.2676190476190477,0.4419573463985588,0.08069000269253841,0.1025894622885005,0.4326486329495949,30
stability_selection - xgboost_shap,4,-0.039999999999999994,0.2692973687152083,0.04916674784070187,-0.14055729009106754,0.06055729009106757,30
tabm - vtfs,4,0.29428571428571426,0.42959811342346715,0.07843352579456529,0.13387114239368933,0.45470028617773917,30
tabm - xgboost_shap,4,-0.013333333333333327,0.20221001184137471,0.03691832827963589,-0.0888397926688307,0.06217312600216405,30
vtfs - xgboost_shap,4,-0.30761904761904757,0.37602852409677207,0.06865310163772566,-0.44803040611287337,-0.1672076891252218,30
copula_mvr - deep_lasso,8,0.03326599326599327,0.1702589203860777,0.031084883770643647,-0.03030973244397691,0.09684171897596344,30
copula_mvr - elastic_net,8,0.1784511784511785,0.16032252493261617,0.02927075446059276,0.11858576378078614,0.23831659312157086,30
copula_mvr - shadow_trees,8,-0.28861952861952855,0.12481664060596206,0.022788296537300235,-0.33522682819132504,-0.24201222904773206,30
copula_mvr - stability_selection,8,0.23151515151515156,0.15108551648941404,0.0275843151645236,0.17509889248273725,0.2879314105475659,30
copula_mvr - tabm,8,-0.03636363636363636,0.19026769308390512,0.03473796915550817,-0.10741076058797322,0.034683487860700496,30
copula_mvr - vtfs,8,0.3625618825618825,0.3941126866629527,0.07195480289475487,0.2153977867877138,0.5097259783360512,30
copula_mvr - xgboost_shap,8,-0.07232323232323233,0.16428431472154076,0.029994075005755304,-0.1336680036133547,-0.010978461033109947,30
deep_lasso - elastic_net,8,0.1451851851851852,0.1582866132730465,0.028899049546914732,0.08607999242237352,0.20429037794799687,30
deep_lasso - shadow_trees,8,-0.32188552188552183,0.09836070316090795,0.017958125297766327,-0.3586140120616467,-0.28515703170939694,30
deep_lasso - stability_selection,8,0.19824915824915829,0.13013887887049252,0.023759999855267062,0.14965450224809734,0.24684381425021923,30
deep_lasso - tabm,8,-0.06962962962962965,0.1422246102413958,0.025966542420530914,-0.12273717189179575,-0.01652208736746355,30
deep_lasso - vtfs,8,0.3292958892958893,0.37355048933706475,0.06820067645900113,0.18980984418843816,0.4687819344033405,30
deep_lasso - xgboost_shap,8,-0.10558922558922562,0.12774118155802971,0.023322242220565264,-0.15328856669972454,-0.0578898844787267,30
elastic_net - shadow_trees,8,-0.4670707070707071,0.12135414876613897,0.02215613490868401,-0.5123850909410388,-0.42175632320037537,30
elastic_net - stability_selection,8,0.05306397306397306,0.1314292906728514,0.023995595739474677,0.003987469376966243,0.10214047675097988,30
elastic_net - tabm,8,-0.2148148148148149,0.12331661224059164,0.02251443007976324,-0.26086199458967085,-0.16876763503995895,30
elastic_net - vtfs,8,0.1841107041107041,0.35343789100161366,0.06452863519287866,0.05213482664786112,0.3160865815735471,30
