method,scenario,rep,rmse_at_12,seconds,rule,FDP,power,discoveries,FDP_gt_0.2
copula_mvr,linear_dense,0,1.1171652285838722,0.2291883749421686,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,0,1.1171652285838722,0.2291883749421686,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,0,1.1171652285838722,0.2291883749421686,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,0,1.1171652285838722,0.2291883749421686,top12,0.0,0.8,12,False
copula_mvr,linear_dense,0,1.1171652285838722,0.2291883749421686,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,0,1.1171652285838722,0.2291883749421686,native,0.0,1.0,15,False
copula_mvr,linear_dense,1,1.2453825758683321,0.2318323329091072,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,1,1.2453825758683321,0.2318323329091072,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,1,1.2453825758683321,0.2318323329091072,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,1,1.2453825758683321,0.2318323329091072,top12,0.0,0.8,12,False
copula_mvr,linear_dense,1,1.2453825758683321,0.2318323329091072,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,1,1.2453825758683321,0.2318323329091072,native,0.0,1.0,15,False
copula_mvr,linear_dense,2,1.098154911810091,0.23707491694949567,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,2,1.098154911810091,0.23707491694949567,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,2,1.098154911810091,0.23707491694949567,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,2,1.098154911810091,0.23707491694949567,top12,0.0,0.8,12,False
copula_mvr,linear_dense,2,1.098154911810091,0.23707491694949567,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,2,1.098154911810091,0.23707491694949567,native,0.0,1.0,15,False
copula_mvr,linear_dense,3,1.1633036845628173,0.2085185421165079,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,3,1.1633036845628173,0.2085185421165079,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,3,1.1633036845628173,0.2085185421165079,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,3,1.1633036845628173,0.2085185421165079,top12,0.0,0.8,12,False
copula_mvr,linear_dense,3,1.1633036845628173,0.2085185421165079,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,3,1.1633036845628173,0.2085185421165079,native,0.0,1.0,15,False
copula_mvr,linear_dense,4,1.0270517462957676,0.19464237499050796,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,4,1.0270517462957676,0.19464237499050796,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,4,1.0270517462957676,0.19464237499050796,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,4,1.0270517462957676,0.19464237499050796,top12,0.0,0.8,12,False
copula_mvr,linear_dense,4,1.0270517462957676,0.19464237499050796,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,4,1.0270517462957676,0.19464237499050796,native,0.0625,1.0,16,False
copula_mvr,linear_dense,5,1.0981666395634473,0.236143457936123,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,5,1.0981666395634473,0.236143457936123,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,5,1.0981666395634473,0.236143457936123,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,5,1.0981666395634473,0.236143457936123,top12,0.0,0.8,12,False
copula_mvr,linear_dense,5,1.0981666395634473,0.236143457936123,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,5,1.0981666395634473,0.236143457936123,native,0.11764705882352941,1.0,17,False
copula_mvr,linear_dense,6,1.049436842188628,0.2126576250884682,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,6,1.049436842188628,0.2126576250884682,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,6,1.049436842188628,0.2126576250884682,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,6,1.049436842188628,0.2126576250884682,top12,0.0,0.8,12,False
copula_mvr,linear_dense,6,1.049436842188628,0.2126576250884682,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,6,1.049436842188628,0.2126576250884682,native,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,7,1.1123826850628005,0.21720854192972183,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,7,1.1123826850628005,0.21720854192972183,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,7,1.1123826850628005,0.21720854192972183,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,7,1.1123826850628005,0.21720854192972183,top12,0.0,0.8,12,False
copula_mvr,linear_dense,7,1.1123826850628005,0.21720854192972183,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,7,1.1123826850628005,0.21720854192972183,native,0.11764705882352941,1.0,17,False
copula_mvr,linear_dense,8,1.0694156772143713,0.18478837492875755,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,8,1.0694156772143713,0.18478837492875755,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,8,1.0694156772143713,0.18478837492875755,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,8,1.0694156772143713,0.18478837492875755,top12,0.0,0.8,12,False
copula_mvr,linear_dense,8,1.0694156772143713,0.18478837492875755,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,8,1.0694156772143713,0.18478837492875755,native,0.11764705882352941,1.0,17,False
copula_mvr,linear_dense,9,1.0366497274738526,0.22014975012280047,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,9,1.0366497274738526,0.22014975012280047,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,9,1.0366497274738526,0.22014975012280047,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,9,1.0366497274738526,0.22014975012280047,top12,0.0,0.8,12,False
copula_mvr,linear_dense,9,1.0366497274738526,0.22014975012280047,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,9,1.0366497274738526,0.22014975012280047,native,0.0625,1.0,16,False
copula_mvr,linear_dense,10,1.1228782729276554,0.2371452501975,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,10,1.1228782729276554,0.2371452501975,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,10,1.1228782729276554,0.2371452501975,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,10,1.1228782729276554,0.2371452501975,top12,0.0,0.8,12,False
copula_mvr,linear_dense,10,1.1228782729276554,0.2371452501975,top14,0.0,0.9333333333333333,14,False
copula_mvr,linear_dense,10,1.1228782729276554,0.2371452501975,native,0.0,1.0,15,False
copula_mvr,linear_dense,11,1.0604924630230264,0.21903866692446172,top4,0.0,0.26666666666666666,4,False
copula_mvr,linear_dense,11,1.0604924630230264,0.21903866692446172,top8,0.0,0.5333333333333333,8,False
copula_mvr,linear_dense,11,1.0604924630230264,0.21903866692446172,top10,0.0,0.6666666666666666,10,False
copula_mvr,linear_dense,11,1.0604924630230264,0.21903866692446172,top12,0.0,0.8,12,False
