method,run,group,fraction,half,k,reference_jaccard,features,native_count,seconds
copula_mvr,half_00_A,0,0.5,A,4,1.0,"[0, 21, 20, 23]",12.0,0.7289637080393732
copula_mvr,half_00_A,0,0.5,A,8,1.0,"[0, 21, 20, 23, 16, 2, 27, 24]",12.0,0.7289637080393732
copula_mvr,half_00_A,0,0.5,A,10,0.6666666666666666,"[0, 21, 20, 23, 16, 2, 27, 24, 25, 10]",12.0,0.7289637080393732
copula_mvr,half_00_A,0,0.5,A,12,0.7142857142857143,"[0, 21, 20, 23, 16, 2, 27, 24, 25, 10, 26, 17]",12.0,0.7289637080393732
copula_mvr,half_00_A,0,0.5,A,14,0.75,"[0, 21, 20, 23, 16, 2, 27, 24, 25, 10, 26, 17, 8, 22]",12.0,0.7289637080393732
copula_mvr,half_00_B,0,0.5,B,4,1.0,"[23, 0, 21, 20]",11.0,0.6976371658965945
copula_mvr,half_00_B,0,0.5,B,8,0.6,"[23, 0, 21, 20, 27, 16, 7, 25]",11.0,0.6976371658965945
copula_mvr,half_00_B,0,0.5,B,10,0.6666666666666666,"[23, 0, 21, 20, 27, 16, 7, 25, 24, 17]",11.0,0.6976371658965945
copula_mvr,half_00_B,0,0.5,B,12,0.7142857142857143,"[23, 0, 21, 20, 27, 16, 7, 25, 24, 17, 2, 9]",11.0,0.6976371658965945
copula_mvr,half_00_B,0,0.5,B,14,0.75,"[23, 0, 21, 20, 27, 16, 7, 25, 24, 17, 2, 9, 22, 4]",11.0,0.6976371658965945
copula_mvr,half_01_A,1,0.5,A,4,1.0,"[21, 0, 20, 23]",0.0,0.6315388339571655
copula_mvr,half_01_A,1,0.5,A,8,0.6,"[21, 0, 20, 23, 24, 27, 17, 28]",0.0,0.6315388339571655
copula_mvr,half_01_A,1,0.5,A,10,0.8181818181818182,"[21, 0, 20, 23, 24, 27, 17, 28, 2, 16]",0.0,0.6315388339571655
copula_mvr,half_01_A,1,0.5,A,12,0.7142857142857143,"[21, 0, 20, 23, 24, 27, 17, 28, 2, 16, 26, 25]",0.0,0.6315388339571655
copula_mvr,half_01_A,1,0.5,A,14,0.6470588235294118,"[21, 0, 20, 23, 24, 27, 17, 28, 2, 16, 26, 25, 4, 6]",0.0,0.6315388339571655
copula_mvr,half_01_B,1,0.5,B,4,1.0,"[21, 0, 23, 20]",13.0,0.7112396671436727
copula_mvr,half_01_B,1,0.5,B,8,0.7777777777777778,"[21, 0, 23, 20, 24, 16, 27, 17]",13.0,0.7112396671436727
copula_mvr,half_01_B,1,0.5,B,10,0.6666666666666666,"[21, 0, 23, 20, 24, 16, 27, 17, 7, 9]",13.0,0.7112396671436727
copula_mvr,half_01_B,1,0.5,B,12,0.6,"[21, 0, 23, 20, 24, 16, 27, 17, 7, 9, 15, 8]",13.0,0.7112396671436727
copula_mvr,half_01_B,1,0.5,B,14,0.6470588235294118,"[21, 0, 23, 20, 24, 16, 27, 17, 7, 9, 15, 8, 2, 25]",13.0,0.7112396671436727
copula_mvr,half_02_A,2,0.5,A,4,0.6,"[21, 0, 24, 20]",0.0,0.7045271249953657
copula_mvr,half_02_A,2,0.5,A,8,0.7777777777777778,"[21, 0, 24, 20, 23, 27, 16, 9]",0.0,0.7045271249953657
copula_mvr,half_02_A,2,0.5,A,10,0.8181818181818182,"[21, 0, 24, 20, 23, 27, 16, 9, 2, 17]",0.0,0.7045271249953657
copula_mvr,half_02_A,2,0.5,A,12,0.7142857142857143,"[21, 0, 24, 20, 23, 27, 16, 9, 2, 17, 7, 30]",0.0,0.7045271249953657
copula_mvr,half_02_A,2,0.5,A,14,0.6470588235294118,"[21, 0, 24, 20, 23, 27, 16, 9, 2, 17, 7, 30, 28, 8]",0.0,0.7045271249953657
copula_mvr,half_02_B,2,0.5,B,4,1.0,"[0, 23, 21, 20]",12.0,0.7278803749941289
copula_mvr,half_02_B,2,0.5,B,8,0.7777777777777778,"[0, 23, 21, 20, 24, 27, 2, 17]",12.0,0.7278803749941289
copula_mvr,half_02_B,2,0.5,B,10,0.8181818181818182,"[0, 23, 21, 20, 24, 27, 2, 17, 16, 25]",12.0,0.7278803749941289
copula_mvr,half_02_B,2,0.5,B,12,0.8461538461538461,"[0, 23, 21, 20, 24, 27, 2, 17, 16, 25, 22, 7]",12.0,0.7278803749941289
copula_mvr,half_02_B,2,0.5,B,14,0.8666666666666667,"[0, 23, 21, 20, 24, 27, 2, 17, 16, 25, 22, 7, 26, 29]",12.0,0.7278803749941289
copula_mvr,half_03_A,3,0.5,A,4,0.6,"[21, 0, 20, 27]",0.0,0.7181433329824358
copula_mvr,half_03_A,3,0.5,A,8,0.7777777777777778,"[21, 0, 20, 27, 23, 24, 16, 17]",0.0,0.7181433329824358
copula_mvr,half_03_A,3,0.5,A,10,0.8181818181818182,"[21, 0, 20, 27, 23, 24, 16, 17, 2, 25]",0.0,0.7181433329824358
copula_mvr,half_03_A,3,0.5,A,12,0.6,"[21, 0, 20, 27, 23, 24, 16, 17, 2, 25, 28, 8]",0.0,0.7181433329824358
copula_mvr,half_03_A,3,0.5,A,14,0.5555555555555556,"[21, 0, 20, 27, 23, 24, 16, 17, 2, 25, 28, 8, 29, 18]",0.0,0.7181433329824358
copula_mvr,half_03_B,3,0.5,B,4,0.6,"[21, 0, 23, 24]",0.0,0.7021115000825375
copula_mvr,half_03_B,3,0.5,B,8,1.0,"[21, 0, 23, 24, 20, 16, 2, 27]",0.0,0.7021115000825375
copula_mvr,half_03_B,3,0.5,B,10,0.8181818181818182,"[21, 0, 23, 24, 20, 16, 2, 27, 26, 17]",0.0,0.7021115000825375
copula_mvr,half_03_B,3,0.5,B,12,0.7142857142857143,"[21, 0, 23, 24, 20, 16, 2, 27, 26, 17, 10, 30]",0.0,0.7021115000825375
copula_mvr,half_03_B,3,0.5,B,14,0.8666666666666667,"[21, 0, 23, 24, 20, 16, 2, 27, 26, 17, 10, 30, 7, 22]",0.0,0.7021115000825375
copula_mvr,half_04_A,4,0.5,A,4,1.0,"[0, 20, 21, 23]",0.0,0.7423952082172036
copula_mvr,half_04_A,4,0.5,A,8,0.7777777777777778,"[0, 20, 21, 23, 27, 2, 16, 25]",0.0,0.7423952082172036
copula_mvr,half_04_A,4,0.5,A,10,0.6666666666666666,"[0, 20, 21, 23, 27, 2, 16, 25, 24, 7]",0.0,0.7423952082172036
copula_mvr,half_04_A,4,0.5,A,12,0.6,"[0, 20, 21, 23, 27, 2, 16, 25, 24, 7, 10, 12]",0.0,0.7423952082172036
copula_mvr,half_04_A,4,0.5,A,14,0.5555555555555556,"[0, 20, 21, 23, 27, 2, 16, 25, 24, 7, 10, 12, 18, 1]",0.0,0.7423952082172036
copula_mvr,half_04_B,4,0.5,B,4,1.0,"[0, 21, 23, 20]",0.0,0.7170521658845246
copula_mvr,half_04_B,4,0.5,B,8,0.7777777777777778,"[0, 21, 23, 20, 27, 17, 24, 16]",0.0,0.7170521658845246
copula_mvr,half_04_B,4,0.5,B,10,0.8181818181818182,"[0, 21, 23, 20, 27, 17, 24, 16, 22, 25]",0.0,0.7170521658845246
copula_mvr,half_04_B,4,0.5,B,12,0.7142857142857143,"[0, 21, 23, 20, 27, 17, 24, 16, 22, 25, 7, 13]",0.0,0.7170521658845246
copula_mvr,half_04_B,4,0.5,B,14,0.75,"[0, 21, 23, 20, 27, 17, 24, 16, 22, 25, 7, 13, 19, 2]",0.0,0.7170521658845246
copula_mvr,half_05_A,5,0.5,A,4,1.0,"[0, 21, 20, 23]",12.0,0.6957772918976843
copula_mvr,half_05_A,5,0.5,A,8,1.0,"[0, 21, 20, 23, 24, 16, 2, 27]",12.0,0.6957772918976843
copula_mvr,half_05_A,5,0.5,A,10,0.8181818181818182,"[0, 21, 20, 23, 24, 16, 2, 27, 17, 25]",12.0,0.6957772918976843
copula_mvr,half_05_A,5,0.5,A,12,0.7142857142857143,"[0, 21, 20, 23, 24, 16, 2, 27, 17, 25, 26, 9]",12.0,0.6957772918976843
copula_mvr,half_05_A,5,0.5,A,14,0.6470588235294118,"[0, 21, 20, 23, 24, 16, 2, 27, 17, 25, 26, 9, 8, 10]",12.0,0.6957772918976843
copula_mvr,half_05_B,5,0.5,B,4,1.0,"[23, 0, 20, 21]",0.0,0.7317920830100775
copula_mvr,half_05_B,5,0.5,B,8,0.7777777777777778,"[23, 0, 20, 21, 24, 27, 16, 7]",0.0,0.7317920830100775
copula_mvr,half_05_B,5,0.5,B,10,0.6666666666666666,"[23, 0, 20, 21, 24, 27, 16, 7, 2, 12]",0.0,0.7317920830100775
copula_mvr,half_05_B,5,0.5,B,12,0.6,"[23, 0, 20, 21, 24, 27, 16, 7, 2, 12, 28, 25]",0.0,0.7317920830100775
copula_mvr,half_05_B,5,0.5,B,14,0.5555555555555556,"[23, 0, 20, 21, 24, 27, 16, 7, 2, 12, 28, 25, 18, 13]",0.0,0.7317920830100775
copula_mvr,half_06_A,6,0.5,A,4,0.6,"[21, 0, 20, 24]",0.0,0.6580563329625875
copula_mvr,half_06_A,6,0.5,A,8,0.7777777777777778,"[21, 0, 20, 24, 27, 23, 16, 17]",0.0,0.6580563329625875
copula_mvr,half_06_A,6,0.5,A,10,0.8181818181818182,"[21, 0, 20, 24, 27, 23, 16, 17, 2, 25]",0.0,0.6580563329625875
