method,run,J
xgb_sko_ridge,seedonly_06,0.6
xgb_sko_quad,seedonly_06,0.4117647058823529
xgb_sko_scale,seedonly_06,0.6
xgb_sko_quad_scale,seedonly_06,0.4117647058823529
tabm_sko_ridge,seedonly_06,0.5
tabm_sko_quad,seedonly_06,0.5
tabm_sko_scale,seedonly_06,0.6
tabm_sko_quad_scale,seedonly_06,0.4117647058823529
xgb_sko_ridge,seedonly_07,0.5
xgb_sko_quad,seedonly_07,0.5
xgb_sko_scale,seedonly_07,0.4117647058823529
xgb_sko_quad_scale,seedonly_07,0.5
tabm_sko_ridge,seedonly_07,0.5
tabm_sko_quad,seedonly_07,0.5
tabm_sko_scale,seedonly_07,0.4117647058823529
tabm_sko_quad_scale,seedonly_07,0.4117647058823529
xgb_sko_ridge,seedonly_00,0.5
xgb_sko_quad,seedonly_00,0.5
xgb_sko_scale,seedonly_00,0.6
xgb_sko_quad_scale,seedonly_00,0.6
tabm_sko_ridge,seedonly_00,0.5
tabm_sko_quad,seedonly_00,0.6
tabm_sko_scale,seedonly_00,0.5
tabm_sko_quad_scale,seedonly_00,0.5
xgb_sko_ridge,seedonly_01,0.4117647058823529
xgb_sko_quad,seedonly_01,0.5
xgb_sko_scale,seedonly_01,0.5
xgb_sko_quad_scale,seedonly_01,0.4117647058823529
tabm_sko_ridge,seedonly_01,0.5
tabm_sko_quad,seedonly_01,0.2631578947368421
tabm_sko_scale,seedonly_01,0.6
tabm_sko_quad_scale,seedonly_01,0.4117647058823529
xgb_sko_ridge,seedonly_02,0.6
xgb_sko_quad,seedonly_02,0.6
xgb_sko_scale,seedonly_02,0.5
xgb_sko_quad_scale,seedonly_02,0.5
tabm_sko_ridge,seedonly_02,0.5
tabm_sko_quad,seedonly_02,0.5
tabm_sko_scale,seedonly_02,0.5
tabm_sko_quad_scale,seedonly_02,0.4117647058823529
xgb_sko_ridge,seedonly_03,0.5
xgb_sko_quad,seedonly_03,0.4117647058823529
xgb_sko_scale,seedonly_03,0.3333333333333333
xgb_sko_quad_scale,seedonly_03,0.5
tabm_sko_ridge,seedonly_03,0.5
tabm_sko_quad,seedonly_03,0.5
tabm_sko_scale,seedonly_03,0.5
tabm_sko_quad_scale,seedonly_03,0.5
xgb_sko_ridge,seedonly_04,0.4117647058823529
xgb_sko_quad,seedonly_04,0.4117647058823529
xgb_sko_scale,seedonly_04,0.3333333333333333
xgb_sko_quad_scale,seedonly_04,0.6
tabm_sko_ridge,seedonly_04,0.4117647058823529
tabm_sko_quad,seedonly_04,0.5
tabm_sko_scale,seedonly_04,0.5
tabm_sko_quad_scale,seedonly_04,0.4117647058823529
xgb_sko_ridge,seedonly_08,0.6
xgb_sko_quad,seedonly_08,0.3333333333333333
xgb_sko_scale,seedonly_08,0.4117647058823529
xgb_sko_quad_scale,seedonly_08,0.4117647058823529
tabm_sko_ridge,seedonly_08,0.5
tabm_sko_quad,seedonly_08,0.5
tabm_sko_scale,seedonly_08,0.6
tabm_sko_quad_scale,seedonly_08,0.6
xgb_sko_ridge,seedonly_09,0.5
xgb_sko_quad,seedonly_09,0.3333333333333333
xgb_sko_scale,seedonly_09,0.4117647058823529
xgb_sko_quad_scale,seedonly_09,0.4117647058823529
tabm_sko_ridge,seedonly_09,0.4117647058823529
tabm_sko_quad,seedonly_09,0.5
tabm_sko_scale,seedonly_09,0.5
tabm_sko_quad_scale,seedonly_09,0.5
xgb_sko_ridge,seedonly_05,0.5
xgb_sko_quad,seedonly_05,0.5
xgb_sko_scale,seedonly_05,0.4117647058823529
xgb_sko_quad_scale,seedonly_05,0.6
tabm_sko_ridge,seedonly_05,0.5
tabm_sko_quad,seedonly_05,0.3333333333333333
tabm_sko_scale,seedonly_05,0.5
tabm_sko_quad_scale,seedonly_05,0.2631578947368421
