method,fraction,group,run,native_size
xgb_sko_ridge,0.5,0,half_00_A,0.0
xgb_sko_quad,0.5,0,half_00_A,0.0
xgb_sko_scale,0.5,0,half_00_A,0.0
xgb_sko_quad_scale,0.5,0,half_00_A,0.0
tabm_sko_ridge,0.5,0,half_00_A,0.0
tabm_sko_quad,0.5,0,half_00_A,5.0
tabm_sko_scale,0.5,0,half_00_A,0.0
tabm_sko_quad_scale,0.5,0,half_00_A,11.0
xgb_sko_ridge,0.5,0,half_00_B,0.0
xgb_sko_quad,0.5,0,half_00_B,5.0
xgb_sko_scale,0.5,0,half_00_B,0.0
xgb_sko_quad_scale,0.5,0,half_00_B,0.0
tabm_sko_ridge,0.5,0,half_00_B,0.0
tabm_sko_quad,0.5,0,half_00_B,0.0
tabm_sko_scale,0.5,0,half_00_B,7.0
tabm_sko_quad_scale,0.5,0,half_00_B,6.0
xgb_sko_ridge,0.5,1,half_01_A,0.0
xgb_sko_quad,0.5,1,half_01_A,0.0
xgb_sko_scale,0.5,1,half_01_A,0.0
xgb_sko_quad_scale,0.5,1,half_01_A,0.0
tabm_sko_ridge,0.5,1,half_01_A,0.0
tabm_sko_quad,0.5,1,half_01_A,5.0
tabm_sko_scale,0.5,1,half_01_A,0.0
tabm_sko_quad_scale,0.5,1,half_01_A,0.0
xgb_sko_ridge,0.5,1,half_01_B,0.0
xgb_sko_quad,0.5,1,half_01_B,20.0
xgb_sko_scale,0.5,1,half_01_B,0.0
xgb_sko_quad_scale,0.5,1,half_01_B,0.0
tabm_sko_ridge,0.5,1,half_01_B,0.0
tabm_sko_quad,0.5,1,half_01_B,0.0
tabm_sko_scale,0.5,1,half_01_B,0.0
tabm_sko_quad_scale,0.5,1,half_01_B,0.0
xgb_sko_ridge,0.5,2,half_02_A,8.0
xgb_sko_quad,0.5,2,half_02_A,11.0
xgb_sko_scale,0.5,2,half_02_A,9.0
xgb_sko_quad_scale,0.5,2,half_02_A,10.0
tabm_sko_ridge,0.5,2,half_02_A,0.0
tabm_sko_quad,0.5,2,half_02_A,6.0
tabm_sko_scale,0.5,2,half_02_A,0.0
tabm_sko_quad_scale,0.5,2,half_02_A,7.0
xgb_sko_ridge,0.5,2,half_02_B,5.0
xgb_sko_quad,0.5,2,half_02_B,5.0
xgb_sko_scale,0.5,2,half_02_B,0.0
xgb_sko_quad_scale,0.5,2,half_02_B,6.0
tabm_sko_ridge,0.5,2,half_02_B,0.0
tabm_sko_quad,0.5,2,half_02_B,0.0
tabm_sko_scale,0.5,2,half_02_B,6.0
tabm_sko_quad_scale,0.5,2,half_02_B,0.0
xgb_sko_ridge,0.5,3,half_03_A,0.0
xgb_sko_quad,0.5,3,half_03_A,0.0
xgb_sko_scale,0.5,3,half_03_A,0.0
xgb_sko_quad_scale,0.5,3,half_03_A,0.0
tabm_sko_ridge,0.5,3,half_03_A,0.0
tabm_sko_quad,0.5,3,half_03_A,0.0
tabm_sko_scale,0.5,3,half_03_A,0.0
tabm_sko_quad_scale,0.5,3,half_03_A,5.0
xgb_sko_ridge,0.5,3,half_03_B,0.0
xgb_sko_quad,0.5,3,half_03_B,0.0
xgb_sko_scale,0.5,3,half_03_B,0.0
xgb_sko_quad_scale,0.5,3,half_03_B,0.0
tabm_sko_ridge,0.5,3,half_03_B,0.0
tabm_sko_quad,0.5,3,half_03_B,0.0
tabm_sko_scale,0.5,3,half_03_B,0.0
tabm_sko_quad_scale,0.5,3,half_03_B,0.0
xgb_sko_ridge,0.5,4,half_04_A,0.0
xgb_sko_quad,0.5,4,half_04_A,0.0
xgb_sko_scale,0.5,4,half_04_A,0.0
xgb_sko_quad_scale,0.5,4,half_04_A,0.0
tabm_sko_ridge,0.5,4,half_04_A,0.0
tabm_sko_quad,0.5,4,half_04_A,0.0
tabm_sko_scale,0.5,4,half_04_A,0.0
tabm_sko_quad_scale,0.5,4,half_04_A,0.0
xgb_sko_ridge,0.5,4,half_04_B,0.0
xgb_sko_quad,0.5,4,half_04_B,0.0
xgb_sko_scale,0.5,4,half_04_B,0.0
xgb_sko_quad_scale,0.5,4,half_04_B,7.0
tabm_sko_ridge,0.5,4,half_04_B,0.0
tabm_sko_quad,0.5,4,half_04_B,0.0
tabm_sko_scale,0.5,4,half_04_B,0.0
tabm_sko_quad_scale,0.5,4,half_04_B,0.0
xgb_sko_ridge,0.5,5,half_05_A,0.0
xgb_sko_quad,0.5,5,half_05_A,0.0
xgb_sko_scale,0.5,5,half_05_A,0.0
xgb_sko_quad_scale,0.5,5,half_05_A,0.0
tabm_sko_ridge,0.5,5,half_05_A,0.0
tabm_sko_quad,0.5,5,half_05_A,6.0
tabm_sko_scale,0.5,5,half_05_A,0.0
tabm_sko_quad_scale,0.5,5,half_05_A,8.0
xgb_sko_ridge,0.5,5,half_05_B,0.0
xgb_sko_quad,0.5,5,half_05_B,0.0
xgb_sko_scale,0.5,5,half_05_B,0.0
xgb_sko_quad_scale,0.5,5,half_05_B,0.0
tabm_sko_ridge,0.5,5,half_05_B,0.0
tabm_sko_quad,0.5,5,half_05_B,0.0
tabm_sko_scale,0.5,5,half_05_B,0.0
tabm_sko_quad_scale,0.5,5,half_05_B,0.0
