method,scene,rep,rule,FDP,power,size,false_count,rmse,theory_regime,nominal_invalid_control
xgb_sko_ridge,nonlinear_strong,17,top12,0.6666666666666666,0.4,12,8,1.0996978881812423,,
xgb_sko_ridge,nonlinear_strong,17,top8,0.5,0.4,8,4,,,
xgb_sko_ridge,nonlinear_strong,17,native,0.0,0.0,0,0,1.1986651910219916,,
xgb_sko_ridge,nonlinear_strong,17,native10,0.0,0.0,0,0,,,
xgb_sko_quad,nonlinear_strong,17,top12,0.3333333333333333,0.8,12,4,0.8907939686772615,,
xgb_sko_quad,nonlinear_strong,17,top8,0.0,0.8,8,0,,,
xgb_sko_quad,nonlinear_strong,17,native,0.0,0.8,8,0,0.8912646384539946,,
xgb_sko_quad,nonlinear_strong,17,native10,0.0,0.0,0,0,,,
xgb_sko_scale,nonlinear_strong,17,top12,0.5833333333333334,0.5,12,7,0.9971314276717054,,
xgb_sko_scale,nonlinear_strong,17,top8,0.375,0.5,8,3,,,
xgb_sko_scale,nonlinear_strong,17,native,0.0,0.0,0,0,1.1986651910219916,,
xgb_sko_scale,nonlinear_strong,17,native10,0.0,0.0,0,0,,,
xgb_sko_quad_scale,nonlinear_strong,17,top12,0.25,0.9,12,3,0.8498348622948027,,
xgb_sko_quad_scale,nonlinear_strong,17,top8,0.0,0.8,8,0,,,
xgb_sko_quad_scale,nonlinear_strong,17,native,0.25,0.9,12,3,0.8498348622948027,,
xgb_sko_quad_scale,nonlinear_strong,17,native10,0.0,0.0,0,0,,,
tabm_sko_ridge,nonlinear_strong,17,top12,0.5833333333333334,0.5,12,7,0.9826377833501858,,
tabm_sko_ridge,nonlinear_strong,17,top8,0.375,0.5,8,3,,,
tabm_sko_ridge,nonlinear_strong,17,native,0.0,0.0,0,0,1.1986651910219916,,
tabm_sko_ridge,nonlinear_strong,17,native10,0.0,0.0,0,0,,,
tabm_sko_quad,nonlinear_strong,17,top12,0.16666666666666666,1.0,12,2,0.8460123528626228,,
tabm_sko_quad,nonlinear_strong,17,top8,0.0,0.8,8,0,,,
tabm_sko_quad,nonlinear_strong,17,native,0.0,1.0,10,0,0.844774477182026,,
tabm_sko_quad,nonlinear_strong,17,native10,0.0,0.0,0,0,,,
tabm_sko_scale,nonlinear_strong,17,top12,0.5,0.6,12,6,0.9762393652306416,,
tabm_sko_scale,nonlinear_strong,17,top8,0.25,0.6,8,2,,,
tabm_sko_scale,nonlinear_strong,17,native,0.0,0.0,0,0,1.1986651910219916,,
tabm_sko_scale,nonlinear_strong,17,native10,0.0,0.0,0,0,,,
tabm_sko_quad_scale,nonlinear_strong,17,top12,0.16666666666666666,1.0,12,2,0.8387015971834526,,
tabm_sko_quad_scale,nonlinear_strong,17,top8,0.0,0.8,8,0,,,
tabm_sko_quad_scale,nonlinear_strong,17,native,0.0,1.0,10,0,0.844774477182026,,
tabm_sko_quad_scale,nonlinear_strong,17,native10,0.0,0.0,0,0,,,
xgb_sko_ridge,nonlinear_weak,42,top12,0.75,0.3,12,9,1.6685869428618052,,
xgb_sko_ridge,nonlinear_weak,42,top8,0.625,0.3,8,5,,,
xgb_sko_ridge,nonlinear_weak,42,native,0.0,0.0,0,0,1.811944997444927,,
xgb_sko_ridge,nonlinear_weak,42,native10,0.0,0.0,0,0,,,
xgb_sko_quad,nonlinear_weak,42,top12,0.5,0.6,12,6,1.6590565555767887,,
xgb_sko_quad,nonlinear_weak,42,top8,0.25,0.6,8,2,,,
xgb_sko_quad,nonlinear_weak,42,native,0.0,0.0,0,0,1.811944997444927,,
xgb_sko_quad,nonlinear_weak,42,native10,0.0,0.0,0,0,,,
xgb_sko_scale,nonlinear_weak,42,top12,0.5833333333333334,0.5,12,7,1.6379687704136616,,
xgb_sko_scale,nonlinear_weak,42,top8,0.375,0.5,8,3,,,
xgb_sko_scale,nonlinear_weak,42,native,0.0,0.0,0,0,1.811944997444927,,
xgb_sko_scale,nonlinear_weak,42,native10,0.0,0.0,0,0,,,
xgb_sko_quad_scale,nonlinear_weak,42,top12,0.4166666666666667,0.7,12,5,1.6540762702302583,,
