method,seed_batch,J
lasso_pair_q20,0,0.7142857142857143
linear_orbit_student,0,0.7142857142857143
xgb_shap,0,0.8461538461538461
xgb_pfi,0,0.8461538461538461
tabm_pfi,0,1.0
deep_lasso,0,0.8461538461538461
xgb_naive,0,0.6
xgb_midpoint,0,0.5
xgb_orbit,0,0.4117647058823529
xgb_orbit_student,0,0.5
tabm_naive,0,0.5
tabm_midpoint,0,0.5
tabm_orbit,0,0.5
tabm_orbit_student,0,0.4117647058823529
lasso_pair_q20,1,0.7142857142857143
linear_orbit_student,1,0.8461538461538461
xgb_shap,1,0.8461538461538461
xgb_pfi,1,0.8461538461538461
tabm_pfi,1,1.0
deep_lasso,1,0.8461538461538461
xgb_naive,1,0.6
xgb_midpoint,1,0.5
xgb_orbit,1,0.5
xgb_orbit_student,1,0.5
tabm_naive,1,0.6
tabm_midpoint,1,0.7142857142857143
tabm_orbit,1,0.6
tabm_orbit_student,1,0.6
lasso_pair_q20,2,0.6
linear_orbit_student,2,0.8461538461538461
xgb_shap,2,0.8461538461538461
xgb_pfi,2,0.8461538461538461
tabm_pfi,2,1.0
deep_lasso,2,0.8461538461538461
xgb_naive,2,0.5
xgb_midpoint,2,0.6
xgb_orbit,2,0.4117647058823529
xgb_orbit_student,2,0.6
tabm_naive,2,0.7142857142857143
tabm_midpoint,2,0.5
tabm_orbit,2,0.6
tabm_orbit_student,2,0.7142857142857143
lasso_pair_q20,3,1.0
linear_orbit_student,3,0.7142857142857143
xgb_shap,3,0.8461538461538461
xgb_pfi,3,0.7142857142857143
tabm_pfi,3,1.0
deep_lasso,3,1.0
xgb_naive,3,0.7142857142857143
xgb_midpoint,3,0.5
xgb_orbit,3,0.5
xgb_orbit_student,3,0.5
tabm_naive,3,0.6
tabm_midpoint,3,0.6
tabm_orbit,3,0.6
tabm_orbit_student,3,0.5
lasso_pair_q20,4,0.8461538461538461
linear_orbit_student,4,0.7142857142857143
xgb_shap,4,0.8461538461538461
xgb_pfi,4,0.8461538461538461
tabm_pfi,4,1.0
deep_lasso,4,1.0
xgb_naive,4,0.5
xgb_midpoint,4,0.5
xgb_orbit,4,0.5
xgb_orbit_student,4,0.6
tabm_naive,4,0.5
tabm_midpoint,4,0.4117647058823529
tabm_orbit,4,0.4117647058823529
tabm_orbit_student,4,0.5
lasso_pair_q20,5,0.7142857142857143
linear_orbit_student,5,0.8461538461538461
xgb_shap,5,1.0
xgb_pfi,5,0.8461538461538461
tabm_pfi,5,1.0
deep_lasso,5,1.0
xgb_naive,5,0.6
xgb_midpoint,5,0.7142857142857143
xgb_orbit,5,0.6
xgb_orbit_student,5,0.7142857142857143
tabm_naive,5,0.6
tabm_midpoint,5,0.4117647058823529
tabm_orbit,5,0.4117647058823529
tabm_orbit_student,5,0.4117647058823529
lasso_pair_q20,6,0.8461538461538461
linear_orbit_student,6,0.7142857142857143
xgb_shap,6,1.0
xgb_pfi,6,0.8461538461538461
tabm_pfi,6,0.8461538461538461
deep_lasso,6,0.8461538461538461
xgb_naive,6,0.6
xgb_midpoint,6,0.6
xgb_orbit,6,0.7142857142857143
xgb_orbit_student,6,0.7142857142857143
tabm_naive,6,0.6
tabm_midpoint,6,0.7142857142857143
tabm_orbit,6,0.6
tabm_orbit_student,6,0.6
lasso_pair_q20,7,0.8461538461538461
linear_orbit_student,7,0.8461538461538461
xgb_shap,7,0.8461538461538461
xgb_pfi,7,0.8461538461538461
tabm_pfi,7,1.0
deep_lasso,7,1.0
xgb_naive,7,0.7142857142857143
xgb_midpoint,7,0.7142857142857143
xgb_orbit,7,0.6
xgb_orbit_student,7,0.7142857142857143
tabm_naive,7,0.7142857142857143
tabm_midpoint,7,0.6
tabm_orbit,7,0.7142857142857143
tabm_orbit_student,7,0.7142857142857143
lasso_pair_q20,8,0.8461538461538461
linear_orbit_student,8,0.7142857142857143
xgb_shap,8,0.8461538461538461
xgb_pfi,8,0.8461538461538461
tabm_pfi,8,1.0
deep_lasso,8,0.8461538461538461
xgb_naive,8,0.7142857142857143
xgb_midpoint,8,0.5
xgb_orbit,8,0.6
xgb_orbit_student,8,0.7142857142857143
tabm_naive,8,0.6
tabm_midpoint,8,0.6
tabm_orbit,8,0.7142857142857143
tabm_orbit_student,8,0.5
lasso_pair_q20,9,0.6
linear_orbit_student,9,0.8461538461538461
xgb_shap,9,0.8461538461538461
xgb_pfi,9,0.8461538461538461
tabm_pfi,9,0.8461538461538461
deep_lasso,9,0.8461538461538461
xgb_naive,9,0.6
xgb_midpoint,9,0.7142857142857143
xgb_orbit,9,0.6
xgb_orbit_student,9,0.6
tabm_naive,9,0.5
tabm_midpoint,9,0.4117647058823529
tabm_orbit,9,0.5
tabm_orbit_student,9,0.5
