candidate,comparator,metric,mean,sd,se,ci_low,ci_high,n,p_two_sided,holm_p
tabm_orbit_student,lasso_pair_q20,reference,-0.052077440962889895,0.0756690756882002,0.013815219886664332,-0.080332738187677,-0.023822143738102795,30,0.0007450937006365312,0.004470562203819187
tabm_orbit_student,linear_orbit_student,reference,-0.13213956837795848,0.10887003702633198,0.019876858371914895,-0.17279230831267242,-0.09148682844324454,30,2.7389847302631896e-07,2.1911877842105517e-06
tabm_orbit_student,tabm_midpoint,reference,-0.02928565758287121,0.07254200024798348,0.013244296634121968,-0.05637328564817585,-0.00219802951756657,30,0.03506217112918424,0.12137294507340973
tabm_orbit_student,tabm_orbit,reference,-0.01785241762021948,0.06709346032015576,0.01224953389280903,-0.04290552744010171,0.007200692199662753,30,0.15575162377005997,0.31150324754011993
tabm_orbit_student,xgb_orbit_student,reference,-0.012131006248653311,0.08714060893113222,0.01590962572877242,-0.04466984438437578,0.020407831887069156,30,0.4519225517376879,0.4519225517376879
tabm_orbit_student,xgb_shap,reference,-0.2985889686508882,0.08112239268726328,0.014810854797868742,-0.3288805679088127,-0.26829736939296367,30,1.322526145199683e-18,1.3225261451996829e-17
xgb_orbit_student,lasso_pair_q20,reference,-0.039946434714236576,0.09125276708908601,0.016660399656485813,-0.07402077794145887,-0.005872091487014279,30,0.023160278370395804,0.11580139185197902
xgb_orbit_student,linear_orbit_student,reference,-0.12000856212930518,0.12985285832310114,0.023707779886694983,-0.16849641630273127,-0.07152070795587909,30,2.135098611129408e-05,0.00014945690277905855
xgb_orbit_student,xgb_orbit,reference,-0.030175192884171212,0.07258410398339392,0.013251983689335145,-0.05727854274265855,-0.003071843025683873,30,0.030343236268352433,0.12137294507340973
xgb_orbit_student,xgb_shap,reference,-0.28645796240223487,0.08913537075577298,0.016273817744841056,-0.319741656844649,-0.25317426795982073,30,5.0687452740260587e-17,4.561870746623453e-16
tabm_orbit_student,lasso_pair_q20,complementary,0.019542483660130724,0.12176964702970258,0.022231994165870017,-0.025927049811627963,0.06501201713188941,30,0.3866133398953071,0.4523554411428405
tabm_orbit_student,linear_orbit_student,complementary,-0.04341736694677871,0.11495851698087117,0.020988457642587943,-0.08634358266004626,-0.000491151233511164,30,0.047599589983791664,0.142798769951375
tabm_orbit_student,tabm_midpoint,complementary,-0.03928104575163398,0.08606139289220599,0.01571258873912533,-0.07141689799553362,-0.007145193507734335,30,0.01832649263074201,0.09163246315371006
tabm_orbit_student,tabm_orbit,complementary,-0.05735269546415057,0.09493886668587741,0.017333386289276928,-0.09280345090151633,-0.021901940026784805,30,0.0025092486926471245,0.01756474084852987
tabm_orbit_student,xgb_orbit_student,complementary,0.04799793601651187,0.11556635938720888,0.02109943397504107,0.0048447482185360255,0.09115112381448773,30,0.03049031147842157,0.12196124591368628
tabm_orbit_student,xgb_shap,complementary,-0.22410615528262587,0.11450332650619725,0.02090535161227448,-0.2668624000792563,-0.1813499104859954,30,1.3318004175794038e-11,1.1986203758214634e-10
xgb_orbit_student,lasso_pair_q20,complementary,-0.028455452356381146,0.12604236849839978,0.02301208280931737,-0.07552044624520945,0.018609541532447156,30,0.22617772057142024,0.4523554411428405
xgb_orbit_student,linear_orbit_student,complementary,-0.0914153029632906,0.15228283050797348,0.02780291379665099,-0.1482786463978615,-0.03455195952871969,30,0.00264777937896938,0.01756474084852987
xgb_orbit_student,xgb_orbit,complementary,-0.06050027028355201,0.09319781455239196,0.017015515113509436,-0.09530090616985852,-0.0256996343972455,30,0.0013167596045199196,0.010534076836159357
xgb_orbit_student,xgb_shap,complementary,-0.27210409129913776,0.10117426505479504,0.0184718090698393,-0.3098831827525888,-0.23432499984568672,30,5.354293743209398e-15,5.3542937432093985e-14
