method,fraction,mean,sd,se,ci_low,ci_high,n,nogueira
deep_lasso,0.5,0.8394139194139195,0.059142254125802055,0.010797848895468254,0.817329838781638,0.861498000046201,30,0.8011993259986123
deep_lasso,0.7,0.8494505494505497,0.08044486988137851,0.01798801974958878,0.8118011914234894,0.8870999074776099,20,0.8210987996306556
deep_lasso,0.8,0.8184615384615386,0.11735089610125364,0.026240458090291817,0.7635396284798659,0.8733834484432113,20,0.833264081255771
lasso_pair_q20,0.5,0.5216386554621848,0.055651210960143395,0.01016047453178309,0.5008581517716476,0.542419159152722,30,0.3650361780156606
lasso_pair_q20,0.7,0.610164835164835,0.0919868802020872,0.020568891716999656,0.5671136500286358,0.6532160203010342,20,0.5062326869806094
lasso_pair_q20,0.8,0.6265934065934066,0.09313681996488654,0.020826026064964587,0.5830040330817022,0.6701827801051109,20,0.541297322253001
linear_orbit_student,0.5,0.6017007828772536,0.0782771403838099,0.014291385175070425,0.5724716182900637,0.6309299474644435,30,0.4680468827435821
linear_orbit_student,0.7,0.6024789915966386,0.11254577215896945,0.025165999712765896,0.5498059488445882,0.6551520343486891,20,0.6135734072022161
linear_orbit_student,0.8,0.6765934065934066,0.08368381459304526,0.01871226980465381,0.6374281757796888,0.7157586374071244,20,0.6672437673130194
tabm_midpoint,0.5,0.49884687208216616,0.0727679724790012,0.01328555333022136,0.4716748645990626,0.5260188795652697,30,0.4509168401229061
tabm_midpoint,0.7,0.5721428571428571,0.07734518162998175,0.017294908385670715,0.5359441978728611,0.6083415164128531,20,0.5448753462603879
tabm_midpoint,0.8,0.5568907563025209,0.07495898476729843,0.016761338546405054,0.5218088715408147,0.5919726410642272,20,0.5828024007386889
tabm_naive,0.5,0.48748587154159917,0.0796567695960083,0.014543269855241807,0.45774154494012365,0.5172301981430747,30,0.4267965110516404
tabm_naive,0.7,0.5481932773109244,0.08847875050232697,0.019784450068744675,0.5067839474138025,0.5896026072080462,20,0.5191135734072022
tabm_naive,0.8,0.5758058608058608,0.14399258473363005,0.03219772077202952,0.5084152567328825,0.6431964648788392,20,0.5448753462603878
tabm_orbit,0.5,0.48741363211951444,0.05993872732898976,0.010943264342079689,0.46503214350539923,0.5097951207336296,30,0.46750916840122914
tabm_orbit,0.7,0.5740336134453781,0.0944861129446007,0.021127737147384997,0.5298127513806863,0.6182544755100698,20,0.5305632502308402
tabm_orbit,0.8,0.5564285714285714,0.07187454758649003,0.016071637425543517,0.5227902477031807,0.590066895153962,20,0.5305632502308403
tabm_orbit_student,0.5,0.46956121449929494,0.0704779386822217,0.012867452274239582,0.4432443196892923,0.4958781093092976,30,0.3946872831797007
tabm_orbit_student,0.7,0.5281932773109244,0.0856233853838845,0.019145971018202767,0.4881202994248225,0.5682662551970262,20,0.4640120036934441
tabm_orbit_student,0.8,0.5613025210084033,0.06826567791213037,0.01526466963416294,0.5293532002815049,0.5932518417353017,20,0.5112419205909511
tabm_pfi,0.5,0.728791208791209,0.0639686867752407,0.011679030906927245,0.7049049085889774,0.7526775089934405,30,0.6840544157002676
tabm_pfi,0.7,0.8239560439560438,0.10480277359221354,0.02343461259827093,0.7749068360821239,0.8730052518299638,20,0.7659972299168974
tabm_pfi,0.8,0.8428571428571429,0.08594532194390787,0.019217958221468236,0.8026334940229968,0.883080791691289,20,0.7910433979686057
xgb_midpoint,0.5,0.4982375055285271,0.05999745013197441,0.010953985610024563,0.47583408945940975,0.5206409215976444,30,0.4660496580434137
xgb_midpoint,0.7,0.49600840336134455,0.09337781620488529,0.020879914462460493,0.45230624013742776,0.5397105665852613,20,0.48190212373037855
xgb_midpoint,0.8,0.5234313725490196,0.08276586976819861,0.018507011101858685,0.48469575313762864,0.5621669919604106,20,0.5048014773776548
xgb_naive,0.5,0.5515151188680602,0.08136691762431855,0.014855498739167977,0.5211322124980488,0.5818980252380715,30,0.42249479631281595
xgb_naive,0.7,0.5719047619047619,0.11510670029394456,0.025738640652295502,0.518033167891737,0.6257763559177868,20,0.49907663896583565
xgb_naive,0.8,0.5596218487394958,0.10154972176735881,0.02270720809680044,0.5120951159844385,0.6071485814945532,20,0.4811865189289013
xgb_orbit,0.5,0.5118674136321195,0.07200763130626398,0.01314673465965199,0.48497932220894585,0.5387555050552931,30,0.45414312617702435
xgb_orbit,0.7,0.5440723981900453,0.09849695719231384,0.022024589185890057,0.4979744032355173,0.5901703931445733,20,0.5040858725761772
xgb_orbit,0.8,0.5240196078431373,0.08807317982078028,0.019693761707382743,0.48280009086780085,0.5652391248184737,20,0.5370036934441367
xgb_orbit_student,0.5,0.48169222074794826,0.07224056350919068,0.013189262066956099,0.4547171510107532,0.5086672904851434,30,0.34514074734859745
xgb_orbit_student,0.7,0.5358371040723982,0.11022687784969705,0.024647479181948845,0.48424933726405234,0.587424870880744,20,0.4103416435826409
xgb_orbit_student,0.8,0.5476050420168066,0.08337703471564205,0.018643671738653545,0.5085833886053132,0.5866266954283,20,0.42250692520775635
xgb_pfi,0.5,0.7853479853479856,0.04335832076111815,0.007916110112136325,0.7691577222962579,0.8015382483997132,30,0.766631975418773
xgb_pfi,0.7,0.8362637362637362,0.09061069203174103,0.020261166687127147,0.7938566270172037,0.8786708455102686,20,0.8253924284395199
xgb_pfi,0.8,0.823076923076923,0.09789345954243368,0.021889643008950715,0.7772613737167795,0.8688924724370666,20,0.8361265004616805
xgb_shap,0.5,0.7681501831501834,0.04832030817418377,0.008822040924200573,0.7501070835479006,0.7861932827524661,30,0.7438943403707008
xgb_shap,0.7,0.847032967032967,0.12344487673225925,0.02760311358474138,0.7892589863235399,0.9048069477423942,20,0.8168051708217913
xgb_shap,0.8,0.8219780219780219,0.0858343244522314,0.01919313842779618,0.7818063215690569,0.862149722386987,20,0.8454293628808864
